trial_id,outcome,steps_admitted,cumulative_spend_uc,cap_uc,final_remaining_uc,pre_flight_refusals,refusal_reservation_uc,elapsed_s,error
0,admit_then_refuse,1,249,2000,1751,1,1963,2.5993521213531494,
1,admit_then_refuse,1,249,2000,1751,1,1963,1.7957367897033691,
2,admit_then_refuse,1,249,2000,1751,1,1963,2.1129791736602783,
3,admit_then_refuse,1,249,2000,1751,1,1963,1.7518198490142822,
4,admit_then_refuse,1,249,2000,1751,1,1963,2.0565454959869385,
5,admit_then_refuse,1,249,2000,1751,1,1963,1.8693597316741943,
6,admit_then_refuse,1,249,2000,1751,1,1963,2.0425474643707275,
7,admit_then_refuse,1,249,2000,1751,1,1963,1.8245091438293457,
8,admit_then_refuse,1,249,2000,1751,1,1963,1.7730944156646729,
9,admit_then_refuse,1,249,2000,1751,1,1963,2.380859136581421,
10,admit_then_refuse,1,249,2000,1751,1,1963,4.6965172290802,
11,admit_then_refuse,1,249,2000,1751,1,1963,5.287136077880859,
12,admit_then_refuse,1,249,2000,1751,1,1963,3.0356342792510986,
13,admit_then_refuse,1,249,2000,1751,1,1963,2.302710771560669,
14,admit_then_refuse,1,249,2000,1751,1,1963,4.508712530136108,
15,admit_then_refuse,1,249,2000,1751,1,1963,2.6131842136383057,
16,admit_then_refuse,1,249,2000,1751,1,1963,2.991021156311035,
17,admit_then_refuse,1,249,2000,1751,1,1963,2.348165512084961,
18,admit_then_refuse,1,249,2000,1751,1,1963,2.418924331665039,
19,admit_then_refuse,1,249,2000,1751,1,1963,2.151491403579712,
20,admit_then_refuse,1,249,2000,1751,1,1963,1.8425121307373047,
21,admit_then_refuse,1,249,2000,1751,1,1963,1.8153975009918213,
22,admit_then_refuse,1,249,2000,1751,1,1963,1.8205788135528564,
23,admit_then_refuse,1,249,2000,1751,1,1963,2.1017003059387207,
24,admit_then_refuse,1,249,2000,1751,1,1963,2.150263547897339,
25,admit_then_refuse,1,249,2000,1751,1,1963,1.8065812587738037,
26,admit_then_refuse,1,252,2000,1748,1,1963,1.9574308395385742,
27,admit_then_refuse,1,249,2000,1751,1,1963,1.8705427646636963,
28,admit_then_refuse,1,249,2000,1751,1,1963,2.359462022781372,
29,admit_then_refuse,1,249,2000,1751,1,1963,2.041818857192993,
