trial_id,outcome,steps_admitted,cumulative_spend_uc,cap_uc,final_remaining_uc,pre_flight_refusals,refusal_reservation_uc,elapsed_s,error
0,admit_then_refuse,1,249,2000,1751,1,1963,1.9709601402282715,
1,admit_then_refuse,1,249,2000,1751,1,1963,1.8012852668762207,
2,admit_then_refuse,1,249,2000,1751,1,1963,1.8419122695922852,
3,admit_then_refuse,1,249,2000,1751,1,1963,2.150360584259033,
4,admit_then_refuse,1,249,2000,1751,1,1963,1.8447082042694092,
5,admit_then_refuse,1,249,2000,1751,1,1963,1.9445576667785645,
6,admit_then_refuse,1,249,2000,1751,1,1963,1.845548391342163,
7,admit_then_refuse,1,249,2000,1751,1,1963,1.942772626876831,
8,admit_then_refuse,1,249,2000,1751,1,1963,2.3708369731903076,
9,admit_then_refuse,1,249,2000,1751,1,1963,2.4342124462127686,
10,admit_then_refuse,1,249,2000,1751,1,1963,2.4560389518737793,
11,admit_then_refuse,1,249,2000,1751,1,1963,1.923032283782959,
12,admit_then_refuse,1,249,2000,1751,1,1963,2.2627804279327393,
13,admit_then_refuse,1,249,2000,1751,1,1963,3.7124176025390625,
14,admit_then_refuse,1,249,2000,1751,1,1963,3.189682960510254,
15,admit_then_refuse,1,249,2000,1751,1,1963,2.781924247741699,
16,admit_then_refuse,1,249,2000,1751,1,1963,2.6004230976104736,
17,admit_then_refuse,1,249,2000,1751,1,1963,1.8176078796386719,
18,admit_then_refuse,1,249,2000,1751,1,1963,1.8024630546569824,
19,admit_then_refuse,1,249,2000,1751,1,1963,1.8368008136749268,
20,admit_then_refuse,1,249,2000,1751,1,1963,2.3492252826690674,
21,admit_then_refuse,1,249,2000,1751,1,1963,2.014517307281494,
22,admit_then_refuse,1,249,2000,1751,1,1963,2.514131546020508,
23,admit_then_refuse,1,249,2000,1751,1,1963,2.522888422012329,
24,admit_then_refuse,1,249,2000,1751,1,1963,2.9607698917388916,
25,admit_then_refuse,1,249,2000,1751,1,1963,3.1728882789611816,
26,admit_then_refuse,1,249,2000,1751,1,1963,2.625152587890625,
27,admit_then_refuse,1,249,2000,1751,1,1963,4.86562967300415,
28,admit_then_refuse,1,249,2000,1751,1,1963,2.9136791229248047,
29,admit_then_refuse,1,249,2000,1751,1,1963,2.794231414794922,
