trial_id,provider,model,initial_b0_uc,child0_spent_uc,child0_residual_uc,child0_calls_attempted,child0_calls_admitted,child0_outcome,child0_wall_ms,child1_spent_uc,child1_residual_uc,child1_calls_attempted,child1_calls_admitted,child1_outcome,child1_wall_ms,child2_spent_uc,child2_residual_uc,child2_calls_attempted,child2_calls_admitted,child2_outcome,child2_wall_ms,aggregate_spent_uc,aggregate_overshoot
0,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,14110,67,473,3,2,compile_time_reservation_refused,12037,66,474,3,2,compile_time_reservation_refused,12312,200,false
1,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,7267,67,473,3,2,compile_time_reservation_refused,11519,67,473,3,2,compile_time_reservation_refused,7565,201,false
2,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,9135,67,473,3,2,compile_time_reservation_refused,8921,67,473,3,2,compile_time_reservation_refused,8935,201,false
3,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,4966,67,473,3,2,compile_time_reservation_refused,4837,67,473,3,2,compile_time_reservation_refused,4352,201,false
4,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,7471,67,473,3,2,compile_time_reservation_refused,12462,67,473,3,2,compile_time_reservation_refused,9212,201,false
5,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,9992,67,473,3,2,compile_time_reservation_refused,7629,67,473,3,2,compile_time_reservation_refused,8480,201,false
6,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,5550,67,473,3,2,compile_time_reservation_refused,5902,67,473,3,2,compile_time_reservation_refused,5467,201,false
7,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,12013,67,473,3,2,compile_time_reservation_refused,12786,67,473,3,2,compile_time_reservation_refused,12409,201,false
8,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,5795,67,473,3,2,compile_time_reservation_refused,5307,67,473,3,2,compile_time_reservation_refused,5392,201,false
9,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,3565,67,473,3,2,compile_time_reservation_refused,5080,67,473,3,2,compile_time_reservation_refused,5061,201,false
10,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,3534,67,473,3,2,compile_time_reservation_refused,3588,67,473,3,2,compile_time_reservation_refused,3702,201,false
11,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,3984,67,473,3,2,compile_time_reservation_refused,4312,67,473,3,2,compile_time_reservation_refused,4956,201,false
12,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,4674,67,473,3,2,compile_time_reservation_refused,4547,67,473,3,2,compile_time_reservation_refused,4838,201,false
13,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,5888,67,473,3,2,compile_time_reservation_refused,5083,67,473,3,2,compile_time_reservation_refused,4892,201,false
14,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,5892,67,473,3,2,compile_time_reservation_refused,5847,67,473,3,2,compile_time_reservation_refused,6065,201,false
15,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,4257,67,473,3,2,compile_time_reservation_refused,4062,67,473,3,2,compile_time_reservation_refused,4206,201,false
16,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,4132,67,473,3,2,compile_time_reservation_refused,3918,67,473,3,2,compile_time_reservation_refused,4069,201,false
17,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,4471,67,473,3,2,compile_time_reservation_refused,3498,67,473,3,2,compile_time_reservation_refused,4402,201,false
18,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,4435,67,473,3,2,compile_time_reservation_refused,6172,67,473,3,2,compile_time_reservation_refused,4431,201,false
19,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,4814,67,473,3,2,compile_time_reservation_refused,5122,67,473,3,2,compile_time_reservation_refused,4374,201,false
20,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,4008,67,473,3,2,compile_time_reservation_refused,3917,67,473,3,2,compile_time_reservation_refused,3719,201,false
21,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,4297,67,473,3,2,compile_time_reservation_refused,4326,67,473,3,2,compile_time_reservation_refused,4303,201,false
22,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,7092,67,473,3,2,compile_time_reservation_refused,6545,67,473,3,2,compile_time_reservation_refused,6586,201,false
23,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,6114,67,473,3,2,compile_time_reservation_refused,6445,67,473,3,2,compile_time_reservation_refused,6044,201,false
24,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,4396,67,473,3,2,compile_time_reservation_refused,4326,67,473,3,2,compile_time_reservation_refused,4535,201,false
25,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,5383,67,473,3,2,compile_time_reservation_refused,5317,67,473,3,2,compile_time_reservation_refused,5780,201,false
26,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,5196,67,473,3,2,compile_time_reservation_refused,5261,67,473,3,2,compile_time_reservation_refused,5181,201,false
27,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,5776,67,473,3,2,compile_time_reservation_refused,4515,67,473,3,2,compile_time_reservation_refused,5470,201,false
