trial_id,provider,model,initial_b0_uc,child0_spent_uc,child0_residual_uc,child0_calls_attempted,child0_calls_admitted,child0_outcome,child0_wall_ms,child1_spent_uc,child1_residual_uc,child1_calls_attempted,child1_calls_admitted,child1_outcome,child1_wall_ms,child2_spent_uc,child2_residual_uc,child2_calls_attempted,child2_calls_admitted,child2_outcome,child2_wall_ms,aggregate_spent_uc,aggregate_overshoot
0,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,1881,928,1072,2,1,compile_time_reservation_refused,2787,928,1072,2,1,compile_time_reservation_refused,1813,2784,false
1,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,1943,928,1072,2,1,compile_time_reservation_refused,1434,928,1072,2,1,compile_time_reservation_refused,1434,2784,false
2,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,2150,928,1072,2,1,compile_time_reservation_refused,1473,928,1072,2,1,compile_time_reservation_refused,1331,2784,false
3,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,4575,928,1072,2,1,compile_time_reservation_refused,3584,928,1072,2,1,compile_time_reservation_refused,1844,2784,false
4,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,1718,928,1072,2,1,compile_time_reservation_refused,2086,928,1072,2,1,compile_time_reservation_refused,1369,2784,false
5,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,1326,928,1072,2,1,compile_time_reservation_refused,1326,928,1072,2,1,compile_time_reservation_refused,1836,2784,false
6,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,1537,928,1072,2,1,compile_time_reservation_refused,1537,928,1072,2,1,compile_time_reservation_refused,1537,2784,false
7,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,2149,928,1072,2,1,compile_time_reservation_refused,1433,928,1072,2,1,compile_time_reservation_refused,1433,2784,false
8,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,1845,928,1072,2,1,compile_time_reservation_refused,1401,928,1072,2,1,compile_time_reservation_refused,2278,2784,false
9,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,1710,928,1072,2,1,compile_time_reservation_refused,1868,928,1072,2,1,compile_time_reservation_refused,1660,2784,false
10,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,1323,928,1072,2,1,compile_time_reservation_refused,1248,928,1072,2,1,compile_time_reservation_refused,1238,2784,false
11,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,3153,928,1072,2,1,compile_time_reservation_refused,1388,928,1072,2,1,compile_time_reservation_refused,1898,2784,false
12,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,1807,928,1072,2,1,compile_time_reservation_refused,3915,928,1072,2,1,compile_time_reservation_refused,2080,2784,false
13,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,1818,928,1072,2,1,compile_time_reservation_refused,1283,928,1072,2,1,compile_time_reservation_refused,1446,2784,false
14,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,1435,928,1072,2,1,compile_time_reservation_refused,1354,928,1072,2,1,compile_time_reservation_refused,1816,2784,false
15,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,2461,928,1072,2,1,compile_time_reservation_refused,1960,928,1072,2,1,compile_time_reservation_refused,1805,2784,false
16,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,1843,928,1072,2,1,compile_time_reservation_refused,1285,928,1072,2,1,compile_time_reservation_refused,1843,2784,false
17,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,1740,928,1072,2,1,compile_time_reservation_refused,2579,928,1072,2,1,compile_time_reservation_refused,3028,2784,false
18,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,6085,928,1072,2,1,compile_time_reservation_refused,1492,928,1072,2,1,compile_time_reservation_refused,1456,2784,false
19,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,2174,928,1072,2,1,compile_time_reservation_refused,1535,928,1072,2,1,compile_time_reservation_refused,3677,2784,false
20,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,1402,928,1072,2,1,compile_time_reservation_refused,2467,928,1072,2,1,compile_time_reservation_refused,2467,2784,false
21,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,1625,928,1072,2,1,compile_time_reservation_refused,1943,928,1072,2,1,compile_time_reservation_refused,1431,2784,false
22,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,2456,928,1072,2,1,compile_time_reservation_refused,2004,928,1072,2,1,compile_time_reservation_refused,1640,2784,false
23,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,1338,928,1072,2,1,compile_time_reservation_refused,1325,928,1072,2,1,compile_time_reservation_refused,1773,2784,false
24,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,1402,928,1072,2,1,compile_time_reservation_refused,2008,928,1072,2,1,compile_time_reservation_refused,1623,2784,false
25,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,1851,928,1072,2,1,compile_time_reservation_refused,1516,928,1072,2,1,compile_time_reservation_refused,1520,2784,false
26,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,1462,928,1072,2,1,compile_time_reservation_refused,2528,928,1072,2,1,compile_time_reservation_refused,1424,2784,false
27,anthropic,claude-haiku-4-5-20251001,6000,928,1072,2,1,compile_time_reservation_refused,1549,928,1072,2,1,compile_time_reservation_refused,1405,928,1072,2,1,compile_time_reservation_refused,1641,2784,false
