trial_id,provider,model,initial_b0_uc,child0_spent_uc,child0_residual_uc,child0_calls_attempted,child0_calls_admitted,child0_outcome,child0_wall_ms,child1_spent_uc,child1_residual_uc,child1_calls_attempted,child1_calls_admitted,child1_outcome,child1_wall_ms,child2_spent_uc,child2_residual_uc,child2_calls_attempted,child2_calls_admitted,child2_outcome,child2_wall_ms,aggregate_spent_uc,aggregate_overshoot
0,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,6973,67,473,3,2,compile_time_reservation_refused,7328,67,473,3,2,compile_time_reservation_refused,5438,201,false
1,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,9101,67,473,3,2,compile_time_reservation_refused,8902,67,473,3,2,compile_time_reservation_refused,8852,201,false
2,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,13993,67,473,3,2,compile_time_reservation_refused,14544,67,473,3,2,compile_time_reservation_refused,13930,201,false
3,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,9402,67,473,3,2,compile_time_reservation_refused,9050,67,473,3,2,compile_time_reservation_refused,10751,201,false
4,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,4648,67,473,3,2,compile_time_reservation_refused,5630,67,473,3,2,compile_time_reservation_refused,5426,201,false
5,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,6424,67,473,3,2,compile_time_reservation_refused,4572,67,473,3,2,compile_time_reservation_refused,3935,201,false
6,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,14608,67,473,3,2,compile_time_reservation_refused,15818,67,473,3,2,compile_time_reservation_refused,16462,201,false
7,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,9774,67,473,3,2,compile_time_reservation_refused,14045,67,473,3,2,compile_time_reservation_refused,19561,201,false
8,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,8531,67,473,3,2,compile_time_reservation_refused,17498,67,473,3,2,compile_time_reservation_refused,6853,201,false
9,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,22698,67,473,3,2,compile_time_reservation_refused,16815,67,473,3,2,compile_time_reservation_refused,39379,201,false
10,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,12259,67,473,3,2,compile_time_reservation_refused,18269,67,473,3,2,compile_time_reservation_refused,10122,201,false
11,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,25238,67,473,3,2,compile_time_reservation_refused,10965,67,473,3,2,compile_time_reservation_refused,6345,201,false
12,openai,gpt-4o-mini,1620,67,473,3,2,compile_time_reservation_refused,23833,67,473,3,2,compile_time_reservation_refused,11508,67,473,3,2,compile_time_reservation_refused,20257,201,false
