trial_id,child_id,outcome,reserved_uc,actual_charge_uc,input_tokens,output_tokens,wall_clock_ms
0,0,spent,31,1,25,5,1571
0,1,refused_preflight,31,0,0,0,0
0,2,refused_preflight,31,0,0,0,0
1,0,spent,31,1,25,5,1033
1,1,refused_preflight,31,0,0,0,0
1,2,refused_preflight,31,0,0,0,0
2,0,spent,31,1,25,5,1013
2,1,refused_preflight,31,0,0,0,0
2,2,refused_preflight,31,0,0,0,0
3,0,spent,31,1,25,5,1022
3,1,refused_preflight,31,0,0,0,0
3,2,refused_preflight,31,0,0,0,0
4,0,spent,31,1,25,5,1228
4,1,refused_preflight,31,0,0,0,0
4,2,refused_preflight,31,0,0,0,0
5,0,spent,31,1,25,5,1165
5,1,refused_preflight,31,0,0,0,0
5,2,refused_preflight,31,0,0,0,0
6,0,spent,31,1,25,5,1183
6,1,refused_preflight,31,0,0,0,0
6,2,refused_preflight,31,0,0,0,0
7,0,spent,31,1,25,5,1883
7,1,refused_preflight,31,0,0,0,0
7,2,refused_preflight,31,0,0,0,0
8,0,spent,31,1,25,5,885
8,1,refused_preflight,31,0,0,0,0
8,2,refused_preflight,31,0,0,0,0
9,0,spent,31,1,25,5,1023
9,1,refused_preflight,31,0,0,0,0
9,2,refused_preflight,31,0,0,0,0
10,0,spent,31,1,25,5,1022
10,1,refused_preflight,31,0,0,0,0
10,2,refused_preflight,31,0,0,0,0
11,0,spent,31,1,25,5,1432
11,1,refused_preflight,31,0,0,0,0
11,2,refused_preflight,31,0,0,0,0
12,0,spent,31,1,25,5,841
12,1,refused_preflight,31,0,0,0,0
12,2,refused_preflight,31,0,0,0,0
13,0,spent,31,1,25,5,1615
13,1,refused_preflight,31,0,0,0,0
13,2,refused_preflight,31,0,0,0,0
14,0,spent,31,1,25,5,1285
14,1,refused_preflight,31,0,0,0,0
14,2,refused_preflight,31,0,0,0,0
15,0,spent,31,1,25,5,967
15,1,refused_preflight,31,0,0,0,0
15,2,refused_preflight,31,0,0,0,0
16,0,spent,31,1,25,5,1024
16,1,refused_preflight,31,0,0,0,0
16,2,refused_preflight,31,0,0,0,0
17,0,spent,31,1,25,5,942
17,1,refused_preflight,31,0,0,0,0
17,2,refused_preflight,31,0,0,0,0
18,0,spent,31,1,25,5,1103
18,1,refused_preflight,31,0,0,0,0
18,2,refused_preflight,31,0,0,0,0
19,0,spent,31,1,25,5,892
19,1,refused_preflight,31,0,0,0,0
19,2,refused_preflight,31,0,0,0,0
20,0,spent,31,1,25,5,1154
20,1,refused_preflight,31,0,0,0,0
20,2,refused_preflight,31,0,0,0,0
21,0,spent,31,1,25,5,843
21,1,refused_preflight,31,0,0,0,0
21,2,refused_preflight,31,0,0,0,0
22,0,spent,31,1,25,5,996
22,1,refused_preflight,31,0,0,0,0
22,2,refused_preflight,31,0,0,0,0
23,0,spent,31,1,25,5,1229
23,1,refused_preflight,31,0,0,0,0
23,2,refused_preflight,31,0,0,0,0
24,0,spent,31,1,25,5,1119
24,1,refused_preflight,31,0,0,0,0
24,2,refused_preflight,31,0,0,0,0
25,0,spent,31,1,25,5,1141
25,1,refused_preflight,31,0,0,0,0
25,2,refused_preflight,31,0,0,0,0
26,0,spent,31,1,25,5,2877
26,1,refused_preflight,31,0,0,0,0
26,2,refused_preflight,31,0,0,0,0
27,0,spent,31,1,25,5,848
27,1,refused_preflight,31,0,0,0,0
27,2,refused_preflight,31,0,0,0,0
28,0,spent,31,1,25,5,1041
28,1,refused_preflight,31,0,0,0,0
28,2,refused_preflight,31,0,0,0,0
29,0,spent,31,1,25,5,1398
29,1,refused_preflight,31,0,0,0,0
29,2,refused_preflight,31,0,0,0,0
