provider,model,workload,cap_micro_cents,run_idx,n_calls_attempted,n_calls_completed,actual_spent_uc,estimated_pre_call_uc,overshoot,overshoot_amount_uc,mid_loop_fired,pre_flight_refused,completed_within_cap,early_completion,error,timestamp,wall_clock_s
anthropic,claude-sonnet-4-20250514,agent_loop,300,0,1,0,0,648,False,0,False,True,False,False,,2026-05-16T09:46:57.347107Z,0.0
anthropic,claude-sonnet-4-20250514,agent_loop,300,1,1,0,0,648,False,0,False,True,False,False,,2026-05-16T09:46:57.347191Z,0.0
anthropic,claude-sonnet-4-20250514,agent_loop,300,2,1,0,0,648,False,0,False,True,False,False,,2026-05-16T09:46:57.347241Z,0.0
anthropic,claude-sonnet-4-20250514,agent_loop,750,0,2,1,163,876,False,0,True,False,False,False,,2026-05-16T09:47:00.689744Z,3.342
anthropic,claude-sonnet-4-20250514,agent_loop,750,1,2,1,163,876,False,0,True,False,False,False,,2026-05-16T09:47:04.653198Z,3.963
anthropic,claude-sonnet-4-20250514,agent_loop,750,2,2,1,163,876,False,0,True,False,False,False,,2026-05-16T09:47:09.353765Z,4.7
anthropic,claude-sonnet-4-20250514,agent_loop,1500,0,3,2,429,1208,False,0,True,False,False,False,,2026-05-16T09:47:18.184223Z,8.83
anthropic,claude-sonnet-4-20250514,agent_loop,1500,1,3,2,429,1208,False,0,True,False,False,False,,2026-05-16T09:47:26.046428Z,7.862
anthropic,claude-sonnet-4-20250514,agent_loop,1500,2,3,2,429,1208,False,0,True,False,False,False,,2026-05-16T09:47:33.726305Z,7.68
anthropic,claude-sonnet-4-20250514,agent_loop,3000,0,5,5,1436,1904,False,0,False,False,True,False,,2026-05-16T09:47:54.207624Z,20.481
anthropic,claude-sonnet-4-20250514,agent_loop,3000,1,5,5,1436,1904,False,0,False,False,True,False,,2026-05-16T09:48:17.963838Z,23.756
anthropic,claude-sonnet-4-20250514,agent_loop,3000,2,5,5,1436,1904,False,0,False,False,True,False,,2026-05-16T09:48:42.586522Z,24.623
anthropic,claude-sonnet-4-20250514,agent_loop,6000,0,5,5,1436,1904,False,0,False,False,True,False,,2026-05-16T09:49:05.845139Z,23.259
anthropic,claude-sonnet-4-20250514,agent_loop,6000,1,5,5,1436,1904,False,0,False,False,True,False,,2026-05-16T09:49:30.293157Z,24.448
anthropic,claude-sonnet-4-20250514,agent_loop,6000,2,5,5,1436,1904,False,0,False,False,True,False,,2026-05-16T09:49:52.640836Z,22.348
openai,gpt-4o,agent_loop,120,0,1,0,0,220,False,0,False,True,False,False,,2026-05-16T09:49:52.641031Z,0.0
openai,gpt-4o,agent_loop,120,1,1,0,0,220,False,0,False,True,False,False,,2026-05-16T09:49:52.641114Z,0.0
openai,gpt-4o,agent_loop,120,2,1,0,0,220,False,0,False,True,False,False,,2026-05-16T09:49:52.641157Z,0.0
openai,gpt-4o,agent_loop,300,0,2,1,92,301,False,0,True,False,False,False,,2026-05-16T09:50:02.811764Z,10.171
openai,gpt-4o,agent_loop,300,1,2,1,92,301,False,0,True,False,False,False,,2026-05-16T09:50:14.082809Z,11.271
openai,gpt-4o,agent_loop,300,2,2,1,92,301,False,0,True,False,False,False,,2026-05-16T09:50:20.452176Z,6.369
openai,gpt-4o,agent_loop,600,0,3,2,214,405,False,0,True,False,False,False,,2026-05-16T09:50:36.345669Z,15.893
openai,gpt-4o,agent_loop,600,1,3,2,222,419,False,0,True,False,False,False,,2026-05-16T09:50:48.387927Z,12.042
openai,gpt-4o,agent_loop,600,2,3,2,222,419,False,0,True,False,False,False,,2026-05-16T09:50:54.882089Z,6.494
openai,gpt-4o,agent_loop,1200,0,5,4,569,635,False,0,True,False,False,False,,2026-05-16T09:51:11.607166Z,16.725
openai,gpt-4o,agent_loop,1200,1,5,4,584,664,False,0,True,False,False,False,,2026-05-16T09:51:28.527990Z,16.921
openai,gpt-4o,agent_loop,1200,2,5,5,757,605,False,0,False,False,True,False,,2026-05-16T09:51:52.932829Z,24.405
openai,gpt-4o,agent_loop,2400,0,5,5,765,623,False,0,False,False,True,False,,2026-05-16T09:52:23.314166Z,30.381
openai,gpt-4o,agent_loop,2400,1,5,5,750,631,False,0,False,False,True,False,,2026-05-16T09:52:57.519233Z,34.205
openai,gpt-4o,agent_loop,2400,2,5,5,795,629,False,0,False,False,True,False,,2026-05-16T09:53:21.176414Z,23.657
