class,run,byte_length,estimate_with_margin,billed_input,cache_creation,cache_read,total_billed,ratio,a1_holds,min_margin_for_a1
large_tool_def,0,9109,9565,4298,0,0,4298,2.2255,True,0.4718
large_tool_def,1,9109,9565,4298,0,0,4298,2.2255,True,0.4718
large_tool_def,2,9109,9565,4298,0,0,4298,2.2255,True,0.4718
large_tool_def,3,9109,9565,4298,0,0,4298,2.2255,True,0.4718
large_tool_def,4,9109,9565,4298,0,0,4298,2.2255,True,0.4718
long_system_prompt,0,8099,8504,4015,0,0,4015,2.1181,True,0.4957
long_system_prompt,1,8099,8504,4015,0,0,4015,2.1181,True,0.4957
long_system_prompt,2,8099,8504,4015,0,0,4015,2.1181,True,0.4957
long_system_prompt,3,8099,8504,4015,0,0,4015,2.1181,True,0.4957
long_system_prompt,4,8099,8504,4015,0,0,4015,2.1181,True,0.4957
multi_turn_history,0,17388,18258,7690,0,0,7690,2.3743,True,0.4423
multi_turn_history,1,17388,18258,7690,0,0,7690,2.3743,True,0.4423
multi_turn_history,2,17388,18258,7690,0,0,7690,2.3743,True,0.4423
multi_turn_history,3,17388,18258,7690,0,0,7690,2.3743,True,0.4423
multi_turn_history,4,17388,18258,7690,0,0,7690,2.3743,True,0.4423
multi_tool_results,0,5106,5362,2731,0,0,2731,1.9634,True,0.5349
multi_tool_results,1,5106,5362,2731,0,0,2731,1.9634,True,0.5349
multi_tool_results,2,5106,5362,2731,0,0,2731,1.9634,True,0.5349
multi_tool_results,3,5106,5362,2731,0,0,2731,1.9634,True,0.5349
multi_tool_results,4,5106,5362,2731,0,0,2731,1.9634,True,0.5349
cache_control,0,524,551,215,0,0,215,2.5628,True,0.4103
cache_control,1,524,551,215,0,0,215,2.5628,True,0.4103
cache_control,2,524,551,215,0,0,215,2.5628,True,0.4103
cache_control,3,524,551,215,0,0,215,2.5628,True,0.4103
cache_control,4,524,551,215,0,0,215,2.5628,True,0.4103
nested_tool_schema,0,320,336,600,0,0,600,0.56,False,1.875
nested_tool_schema,1,320,336,600,0,0,600,0.56,False,1.875
nested_tool_schema,2,320,336,600,0,0,600,0.56,False,1.875
nested_tool_schema,3,320,336,600,0,0,600,0.56,False,1.875
nested_tool_schema,4,320,336,600,0,0,600,0.56,False,1.875
unicode_dense_tool_desc,0,11726,12313,14539,0,0,14539,0.8469,False,1.2399
unicode_dense_tool_desc,1,11726,12313,14539,0,0,14539,0.8469,False,1.2399
unicode_dense_tool_desc,2,11726,12313,14539,0,0,14539,0.8469,False,1.2399
unicode_dense_tool_desc,3,11726,12313,14539,0,0,14539,0.8469,False,1.2399
unicode_dense_tool_desc,4,11726,12313,14539,0,0,14539,0.8469,False,1.2399
