provider,workload,cap_uc,n_runs,csv_path,completed_runs,mid_loop_fired,pre_flight_refused,self_terminated,api_error_runs,overshoot_runs,total_spent_uc
openai,lang001,200,50,sweep_results_expanded/openai_lang001_n50.csv,0,50,0,0,0,0,1450
openai,clarification,200,50,sweep_results_expanded/openai_clarification_n50.csv,0,50,0,0,0,0,1050
openai,arg_hallucination,200,50,sweep_results_expanded/openai_arg_hallucination_n50.csv,0,50,0,0,0,0,1000
anthropic,lang001,2000,50,sweep_results_expanded/anthropic_lang001_n50.csv,0,50,0,0,0,0,46400
anthropic,clarification,700,50,sweep_results_expanded/anthropic_clarification_n50.csv,0,0,50,0,0,0,0
anthropic,arg_hallucination,2000,50,sweep_results_expanded/anthropic_arg_hallucination_n50.csv,0,50,0,0,0,0,43100
groq,lang001,500,50,sweep_results_expanded/groq_lang001_n50.csv,0,50,0,0,0,0,9050
groq,clarification,500,50,sweep_results_expanded/groq_clarification_n50.csv,0,50,0,0,0,0,8100
groq,arg_hallucination,500,50,sweep_results_expanded/groq_arg_hallucination_n50.csv,0,50,0,0,0,0,7800
ollama,lang001,150,50,sweep_results_expanded/ollama_lang001_n50.csv,0,0,0,0,50,0,0
ollama,clarification,150,50,sweep_results_expanded/ollama_clarification_n50.csv,0,0,0,0,50,0,0
ollama,arg_hallucination,150,50,sweep_results_expanded/ollama_arg_hallucination_n50.csv,0,0,0,0,50,0,0
