trial_id,cap_uc,total_spent_uc,overshoot,children_admitted,children_completed,elapsed_s,error
0,60,23,0,1,1,1.809,
1,60,23,0,1,1,1.431,
2,60,23,0,1,1,1.434,
3,60,23,0,1,1,1.108,
4,60,23,0,1,1,1.358,
5,60,23,0,1,1,1.163,
6,60,23,0,1,1,1.096,
7,60,23,0,1,1,1.258,
8,60,23,0,1,1,1.201,
9,60,23,0,1,1,1.153,
10,60,23,0,1,1,1.475,
11,60,23,0,1,1,1.153,
12,60,23,0,1,1,1.654,
13,60,23,0,1,1,1.237,
14,60,23,0,1,1,1.361,
15,60,23,0,1,1,1.109,
16,60,23,0,1,1,1.824,
17,60,23,0,1,1,0.932,
18,60,23,0,1,1,1.282,
19,60,23,0,1,1,1.803,
20,60,23,0,1,1,1.565,
21,60,23,0,1,1,1.434,
22,60,23,0,1,1,1.767,
23,60,23,0,1,1,2.973,
24,60,23,0,1,1,1.526,
25,60,23,0,1,1,3.449,
26,60,23,0,1,1,1.360,
27,60,23,0,1,1,1.655,
28,60,23,0,1,1,1.666,
29,60,23,0,1,1,4.542,
