trial_id,cap_uc,total_spent_uc,overshoot,children_admitted,children_completed,elapsed_s,error
0,60,69,1,3,3,2.620,
1,60,69,1,3,3,1.912,
2,60,69,1,3,3,2.249,
3,60,69,1,3,3,1.865,
4,60,69,1,3,3,2.229,
5,60,69,1,3,3,1.457,
6,60,69,1,3,3,1.413,
7,60,69,1,3,3,1.434,
8,60,69,1,3,3,1.201,
9,60,69,1,3,3,2.054,
10,60,69,1,3,3,1.659,
11,60,69,1,3,3,1.432,
12,60,69,1,3,3,1.969,
13,60,69,1,3,3,1.511,
14,60,69,1,3,3,3.036,
15,60,69,1,3,3,2.932,
16,60,69,1,3,3,3.036,
17,60,69,1,3,3,1.773,
18,60,69,1,3,3,2.251,
19,60,69,1,3,3,1.191,
20,60,69,1,3,3,1.401,
21,60,69,1,3,3,1.502,
22,60,69,1,3,3,1.508,
23,60,69,1,3,3,1.840,
24,60,69,1,3,3,1.564,
25,60,69,1,3,3,1.723,
26,60,69,1,3,3,1.279,
27,60,69,1,3,3,1.447,
28,60,69,1,3,3,1.559,
29,60,69,1,3,3,2.045,
