trial_id,cap_uc,total_spent_uc,overshoot,children_admitted,children_completed,elapsed_s,error
0,60,0,0,0,0,0.000022525,
1,60,0,0,0,0,8.115e-6,
2,60,0,0,0,0,7.695e-6,
3,60,0,0,0,0,6.715e-6,
4,60,0,0,0,0,7.555e-6,
5,60,0,0,0,0,6.646e-6,
6,60,0,0,0,0,6.716e-6,
7,60,0,0,0,0,8.185e-6,
8,60,0,0,0,0,6.225e-6,
9,60,0,0,0,0,6.226e-6,
10,60,0,0,0,0,6.715e-6,
11,60,0,0,0,0,7.205e-6,
12,60,0,0,0,0,7.206e-6,
13,60,0,0,0,0,6.226e-6,
14,60,0,0,0,0,5.736e-6,
15,60,0,0,0,0,6.576e-6,
16,60,0,0,0,0,6.715e-6,
17,60,0,0,0,0,7.205e-6,
18,60,0,0,0,0,6.996e-6,
19,60,0,0,0,0,7.205e-6,
20,60,0,0,0,0,6.645e-6,
21,60,0,0,0,0,6.995e-6,
22,60,0,0,0,0,6.716e-6,
23,60,0,0,0,0,7.625e-6,
24,60,0,0,0,0,7.485e-6,
25,60,0,0,0,0,6.646e-6,
26,60,0,0,0,0,7.206e-6,
27,60,0,0,0,0,7.066e-6,
28,60,0,0,0,0,7.136e-6,
29,60,0,0,0,0,7.205e-6,
