trial_id,cap_uc,total_spent_uc,overshoot,children_admitted,children_completed,elapsed_s,error
0,100,69,0,3,3,1.6586467360000001,
1,100,69,0,3,3,1.790016507,
2,100,69,0,3,3,1.43365259,
3,100,69,0,3,3,1.230181225,
4,100,69,0,3,3,1.5237497599999998,
5,100,69,0,3,3,1.344474473,
6,100,69,0,3,3,1.241455663,
7,100,69,0,3,3,1.672380059,
8,100,69,0,3,3,1.18308405,
9,100,69,0,3,3,1.434631411,
10,100,69,0,3,3,2.796985904,
11,100,69,0,3,3,1.301623127,
12,100,69,0,3,3,1.8436651240000002,
13,100,69,0,3,3,1.432610575,
14,100,69,0,3,3,6.559216441,
15,100,69,0,3,3,1.433822517,
16,100,69,0,3,3,1.454649238,
17,100,69,0,3,3,2.028776005,
18,100,69,0,3,3,2.288076988,
19,100,69,0,3,3,2.220174759,
20,100,69,0,3,3,2.457282439,
21,100,69,0,3,3,1.230606131,
22,100,69,0,3,3,1.844692365,
23,100,69,0,3,3,2.867559747,
24,100,69,0,3,3,2.662770691,
25,100,69,0,3,3,1.433934466,
26,100,69,0,3,3,1.844512063,
27,100,69,0,3,3,1.434413185,
28,100,69,0,3,3,1.228989594,
29,100,69,0,3,3,1.395488716,
