estimator,prompt_id,category,prompt_chars,input_tokens,output_tokens,billed_uc,reserved_uc,effective_margin,observed_max_after
static_2.0x,nts_00,nested_tool_schemas,1698,770,48,3030,11688,3.8574,2.0
static_2.0x,nts_01,nested_tool_schemas,1929,875,44,3285,13074,3.9799,2.0
static_2.0x,nts_02,nested_tool_schemas,2161,980,46,3630,14466,3.9851,2.0
static_2.0x,nts_03,nested_tool_schemas,2393,1085,48,3975,15858,3.9894,2.0
static_2.0x,nts_04,nested_tool_schemas,2624,1190,45,4245,17244,4.0622,2.0
static_2.0x,nts_05,nested_tool_schemas,2855,1295,47,4590,18630,4.0588,2.0
static_2.0x,nts_06,nested_tool_schemas,3086,1400,42,4830,20016,4.1441,2.0
static_2.0x,nts_07,nested_tool_schemas,3317,1505,41,5130,21402,4.1719,2.0
static_2.0x,nts_08,nested_tool_schemas,3548,1610,47,5535,22788,4.1171,2.0
static_2.0x,nts_09,nested_tool_schemas,3780,1715,48,5865,24180,4.1228,2.0
static_2.0x,nts_10,nested_tool_schemas,4112,1820,48,6180,26172,4.235,2.0
static_2.0x,nts_11,nested_tool_schemas,4349,1925,42,6405,27594,4.3082,2.0
static_2.0x,nts_12,nested_tool_schemas,4586,2030,43,6735,29016,4.3082,2.0
static_2.0x,nts_13,nested_tool_schemas,4823,2135,41,7020,30438,4.3359,2.0
static_2.0x,nts_14,nested_tool_schemas,5060,2240,46,7410,31860,4.2996,2.0
static_2.0x,nts_15,nested_tool_schemas,5297,2345,48,7755,33282,4.2917,2.0
static_2.0x,nts_16,nested_tool_schemas,5535,2450,43,7995,34710,4.3415,2.0
static_2.0x,nts_17,nested_tool_schemas,5772,2555,51,8430,36132,4.2861,2.0
static_2.0x,nts_18,nested_tool_schemas,6009,2660,45,8655,37554,4.339,2.0
static_2.0x,nts_19,nested_tool_schemas,6246,2765,44,8955,38976,4.3524,2.0
static_2.0x,ucm_00,unicode_combining_marks,1331,335,91,2370,9486,4.0025,2.0
static_2.0x,ucm_01,unicode_combining_marks,1056,374,100,2622,7836,2.9886,2.0
static_2.0x,ucm_02,unicode_combining_marks,1015,403,100,2709,7590,2.8018,2.0
static_2.0x,ucm_03,unicode_combining_marks,801,297,18,1161,6306,5.4315,2.0
static_2.0x,ucm_04,unicode_combining_marks,1959,491,14,1683,13254,7.8752,2.0
static_2.0x,ucm_05,unicode_combining_marks,947,335,100,2505,7182,2.8671,2.0
static_2.0x,ucm_06,unicode_combining_marks,921,365,100,2595,7026,2.7075,2.0
static_2.0x,ucm_07,unicode_combining_marks,735,272,100,2316,5910,2.5518,2.0
static_2.0x,ucm_08,unicode_combining_marks,1802,452,100,2856,12312,4.3109,2.0
static_2.0x,ucm_09,unicode_combining_marks,1383,491,100,2973,9798,3.2957,2.0
static_2.0x,ucm_10,unicode_combining_marks,827,327,100,2481,6462,2.6046,2.0
static_2.0x,ucm_11,unicode_combining_marks,669,247,18,1011,5514,5.454,2.0
static_2.0x,ucm_12,unicode_combining_marks,1645,413,100,2739,11370,4.1512,2.0
static_2.0x,ucm_13,unicode_combining_marks,1274,452,100,2856,9144,3.2017,2.0
static_2.0x,ucm_14,unicode_combining_marks,1203,479,100,2937,8718,2.9683,2.0
static_2.0x,b64_00,base64_dense,791,629,5,1962,6246,3.1835,2.0
static_2.0x,b64_01,base64_dense,1059,849,5,2622,7854,2.9954,2.0
static_2.0x,b64_02,base64_dense,1323,1067,5,3276,9438,2.881,2.0
static_2.0x,b64_03,base64_dense,1591,1307,5,3996,11046,2.7643,2.0
static_2.0x,b64_04,base64_dense,1859,1550,5,4725,12654,2.6781,2.0
static_2.0x,b64_05,base64_dense,791,622,5,1941,6246,3.2179,2.0
static_2.0x,b64_06,base64_dense,1059,858,1,2589,7854,3.0336,2.0
static_2.0x,b64_07,base64_dense,1323,1062,5,3261,9438,2.8942,2.0
static_2.0x,b64_08,base64_dense,1591,1312,49,4671,11046,2.3648,2.0
static_2.0x,b64_09,base64_dense,1859,1560,6,4770,12654,2.6528,2.0
static_2.0x,b64_10,base64_dense,791,632,5,1971,6246,3.1689,2.0
static_2.0x,b64_11,base64_dense,1059,845,5,2610,7854,3.0092,2.0
static_2.0x,b64_12,base64_dense,1323,1099,5,3372,9438,2.7989,2.0
static_2.0x,b64_13,base64_dense,1591,1311,45,4608,11046,2.3971,2.0
static_2.0x,b64_14,base64_dense,1859,1555,46,5355,12654,2.363,2.0
adaptive_eps_0.10,nts_00,nested_tool_schemas,1698,770,47,3015,7103,2.3559,1.0
adaptive_eps_0.10,nts_01,nested_tool_schemas,1929,875,44,3285,7865,2.3942,1.0
adaptive_eps_0.10,nts_02,nested_tool_schemas,2161,980,46,3630,8631,2.3777,1.0
adaptive_eps_0.10,nts_03,nested_tool_schemas,2393,1085,45,3930,9396,2.3908,1.0
adaptive_eps_0.10,nts_04,nested_tool_schemas,2624,1190,45,4245,10159,2.3932,1.0
adaptive_eps_0.10,nts_05,nested_tool_schemas,2855,1295,45,4560,10921,2.395,1.0
adaptive_eps_0.10,nts_06,nested_tool_schemas,3086,1400,43,4845,11683,2.4114,1.0
adaptive_eps_0.10,nts_07,nested_tool_schemas,3317,1505,40,5115,12446,2.4332,1.0
adaptive_eps_0.10,nts_08,nested_tool_schemas,3548,1610,42,5460,13208,2.419,1.0
adaptive_eps_0.10,nts_09,nested_tool_schemas,3780,1715,48,5865,13974,2.3826,1.0
adaptive_eps_0.10,nts_10,nested_tool_schemas,4112,1820,45,6135,15069,2.4562,1.0
adaptive_eps_0.10,nts_11,nested_tool_schemas,4349,1925,45,6450,15851,2.4575,1.0
adaptive_eps_0.10,nts_12,nested_tool_schemas,4586,2030,44,6750,16633,2.4641,1.0
adaptive_eps_0.10,nts_13,nested_tool_schemas,4823,2135,41,7020,17415,2.4808,1.0
adaptive_eps_0.10,nts_14,nested_tool_schemas,5060,2240,46,7410,18198,2.4559,1.0
adaptive_eps_0.10,nts_15,nested_tool_schemas,5297,2345,45,7710,18980,2.4617,1.0
adaptive_eps_0.10,nts_16,nested_tool_schemas,5535,2450,47,8055,19765,2.4538,1.0
adaptive_eps_0.10,nts_17,nested_tool_schemas,5772,2555,43,8310,20547,2.4726,1.0
adaptive_eps_0.10,nts_18,nested_tool_schemas,6009,2660,50,8730,21329,2.4432,1.0
adaptive_eps_0.10,nts_19,nested_tool_schemas,6246,2765,42,8925,22111,2.4774,1.0
adaptive_eps_0.10,ucm_00,unicode_combining_marks,1331,335,91,2370,5892,2.4861,1.0
adaptive_eps_0.10,ucm_01,unicode_combining_marks,1056,374,100,2622,4984,1.9008,1.0
adaptive_eps_0.10,ucm_02,unicode_combining_marks,1015,403,100,2709,4849,1.79,1.0
adaptive_eps_0.10,ucm_03,unicode_combining_marks,801,297,100,2391,4143,1.7327,1.0
adaptive_eps_0.10,ucm_04,unicode_combining_marks,1959,491,14,1683,7964,4.732,1.0
adaptive_eps_0.10,ucm_05,unicode_combining_marks,947,335,100,2505,4625,1.8463,1.0
adaptive_eps_0.10,ucm_06,unicode_combining_marks,921,365,100,2595,4539,1.7491,1.0
adaptive_eps_0.10,ucm_07,unicode_combining_marks,735,272,100,2316,3925,1.6947,1.0
