estimator,prompt_id,category,prompt_chars,input_tokens,output_tokens,billed_uc,reserved_uc,effective_margin,observed_max_after
static_2.0x,0,simple_qa,30,14,10,192,3180,16.5625,
adaptive_eps_0.10,0,simple_qa,30,14,10,192,3102,16.1562,1.0
static_2.0x,1,simple_qa,39,17,33,546,3234,5.9231,
adaptive_eps_0.10,1,simple_qa,39,17,33,546,3129,5.7308,1.0
static_2.0x,2,simple_qa,20,16,14,258,3120,12.093,
adaptive_eps_0.10,2,simple_qa,20,16,14,258,3069,11.8953,1.0
static_2.0x,3,simple_qa,17,12,35,561,3102,5.5294,
adaptive_eps_0.10,3,simple_qa,17,12,35,561,3057,5.4492,1.0
static_2.0x,4,simple_qa,38,15,58,915,3228,3.5279,
adaptive_eps_0.10,4,simple_qa,38,15,58,915,3126,3.4164,1.0
static_2.0x,5,simple_qa,27,12,63,981,3162,3.2232,
adaptive_eps_0.10,5,simple_qa,27,12,63,981,3090,3.1498,1.0
static_2.0x,6,simple_qa,27,14,91,1407,3162,2.2473,
adaptive_eps_0.10,6,simple_qa,27,14,91,1407,3090,2.1962,1.0
static_2.0x,7,simple_qa,30,14,92,1422,3180,2.2363,
adaptive_eps_0.10,7,simple_qa,30,14,92,1422,3102,2.1814,1.0
static_2.0x,8,simple_qa,15,10,200,3030,3090,1.0198,
adaptive_eps_0.10,8,simple_qa,15,10,200,3030,3051,1.0069,1.0
static_2.0x,9,simple_qa,27,13,55,864,3162,3.6597,
adaptive_eps_0.10,9,simple_qa,27,13,55,864,3090,3.5764,1.0
static_2.0x,10,simple_qa,27,12,107,1641,3162,1.9269,
adaptive_eps_0.10,10,simple_qa,27,12,107,1641,3090,1.883,1.0
static_2.0x,11,simple_qa,37,15,26,435,3222,7.4069,
adaptive_eps_0.10,11,simple_qa,37,15,26,435,3123,7.1793,1.0
static_2.0x,12,simple_qa,20,13,24,399,3120,7.8195,
adaptive_eps_0.10,12,simple_qa,20,13,24,399,3069,7.6917,1.0
static_2.0x,13,simple_qa,23,13,200,3039,3138,1.0326,
adaptive_eps_0.10,13,simple_qa,23,13,200,3039,3078,1.0128,1.0
static_2.0x,14,simple_qa,29,16,16,288,3174,11.0208,
adaptive_eps_0.10,14,simple_qa,29,16,16,288,3096,10.75,1.0
static_2.0x,15,simple_qa,16,11,200,3033,3096,1.0208,
adaptive_eps_0.10,15,simple_qa,16,11,200,3033,3054,1.0069,1.0
static_2.0x,16,simple_qa,37,15,103,1590,3222,2.0264,
adaptive_eps_0.10,16,simple_qa,37,15,103,1590,3123,1.9642,1.0
static_2.0x,17,simple_qa,34,15,15,270,3204,11.8667,
adaptive_eps_0.10,17,simple_qa,34,15,15,270,3114,11.5333,1.0
static_2.0x,18,simple_qa,11,10,200,3030,3066,1.0119,
adaptive_eps_0.10,18,simple_qa,11,10,200,3030,3039,1.003,1.0
static_2.0x,19,simple_qa,23,14,200,3042,3138,1.0316,
adaptive_eps_0.10,19,simple_qa,23,14,200,3042,3078,1.0118,1.0
static_2.0x,20,tool_call,75,26,200,3078,3450,1.1209,
adaptive_eps_0.10,20,tool_call,75,26,200,3078,3249,1.0556,1.0
static_2.0x,21,tool_call,80,26,182,2808,3480,1.2393,
adaptive_eps_0.10,21,tool_call,80,26,182,2808,3267,1.1635,1.0
static_2.0x,22,tool_call,77,25,200,3075,3462,1.1259,
adaptive_eps_0.10,22,tool_call,77,25,200,3075,3255,1.0585,1.0
static_2.0x,23,tool_call,81,24,200,3072,3486,1.1348,
adaptive_eps_0.10,23,tool_call,81,24,200,3072,3270,1.0645,1.0
static_2.0x,24,tool_call,72,34,200,3102,3432,1.1064,
adaptive_eps_0.10,24,tool_call,72,34,200,3102,3240,1.0445,1.0
static_2.0x,25,tool_call,80,26,200,3078,3480,1.1306,
adaptive_eps_0.10,25,tool_call,80,26,200,3078,3267,1.0614,1.0
static_2.0x,26,tool_call,62,26,200,3078,3372,1.0955,
adaptive_eps_0.10,26,tool_call,62,26,200,3078,3207,1.0419,1.0
static_2.0x,27,tool_call,57,22,200,3066,3342,1.09,
adaptive_eps_0.10,27,tool_call,57,22,200,3066,3189,1.0401,1.0
static_2.0x,28,tool_call,58,18,200,3054,3348,1.0963,
adaptive_eps_0.10,28,tool_call,58,18,200,3054,3192,1.0452,1.0
static_2.0x,29,tool_call,53,19,200,3057,3318,1.0854,
adaptive_eps_0.10,29,tool_call,53,19,200,3057,3177,1.0393,1.0
static_2.0x,30,tool_call,63,21,200,3063,3378,1.1028,
adaptive_eps_0.10,30,tool_call,63,21,200,3063,3210,1.048,1.0
static_2.0x,31,tool_call,51,16,200,3048,3306,1.0846,
adaptive_eps_0.10,31,tool_call,51,16,200,3048,3171,1.0404,1.0
static_2.0x,32,tool_call,56,23,200,3069,3336,1.087,
adaptive_eps_0.10,32,tool_call,56,23,200,3069,3186,1.0381,1.0
static_2.0x,33,tool_call,46,17,200,3051,3276,1.0737,
adaptive_eps_0.10,33,tool_call,46,17,200,3051,3153,1.0334,1.0
static_2.0x,34,tool_call,58,23,200,3069,3348,1.0909,
adaptive_eps_0.10,34,tool_call,58,23,200,3069,3192,1.0401,1.0
static_2.0x,35,tool_call,42,23,200,3069,3252,1.0596,
adaptive_eps_0.10,35,tool_call,42,23,200,3069,3141,1.0235,1.0
static_2.0x,36,tool_call,59,18,200,3054,3354,1.0982,
adaptive_eps_0.10,36,tool_call,59,18,200,3054,3195,1.0462,1.0
static_2.0x,37,tool_call,59,20,200,3060,3354,1.0961,
adaptive_eps_0.10,37,tool_call,59,20,200,3060,3195,1.0441,1.0
static_2.0x,38,tool_call,63,20,200,3060,3378,1.1039,
adaptive_eps_0.10,38,tool_call,63,20,200,3060,3210,1.049,1.0
static_2.0x,39,tool_call,49,18,200,3054,3294,1.0786,
adaptive_eps_0.10,39,tool_call,49,18,200,3054,3162,1.0354,1.0
static_2.0x,40,dense_text,125,30,200,3090,3750,1.2136,
adaptive_eps_0.10,40,dense_text,125,30,200,3090,3414,1.1049,1.0
static_2.0x,41,dense_text,105,38,200,3114,3630,1.1657,
adaptive_eps_0.10,41,dense_text,105,38,200,3114,3348,1.0751,1.0
static_2.0x,42,dense_text,121,49,1,162,3726,23.0,
adaptive_eps_0.10,42,dense_text,121,49,1,162,3402,21.0,1.0
static_2.0x,43,dense_text,104,27,200,3081,3624,1.1762,
adaptive_eps_0.10,43,dense_text,104,27,200,3081,3345,1.0857,1.0
static_2.0x,44,dense_text,110,39,200,3117,3660,1.1742,
adaptive_eps_0.10,44,dense_text,110,39,200,3117,3366,1.0799,1.0
