trial_id,workload,framework,cap_usd,cap_uc_equiv,n_calls,total_input_tokens,total_output_tokens,total_cost_usd,total_cost_uc_equiv,overshoot,refused_pre_flight,refused_reason,response_truncated,wall_time_s
0,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
1,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
2,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
3,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
4,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
5,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
6,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
7,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
8,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
9,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
10,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
11,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
12,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
13,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
14,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
15,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
16,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
17,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
18,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
19,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
20,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
21,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
22,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
23,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
24,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
25,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
26,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
27,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
28,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
29,lang001,agent_contracts_v0.3.1_manual,0.00054,540,0,0,0,0.0,0,0,1,pre-flight: est_call_cost=$0.003271 > cap=$0.000540,,0.0
