runtime,run_id,provider,workload,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds
langgraph_only,1,anthropic,lang001,completed_no_cap_hit,4,540,4722,874.44,4182,0,0,8.373
langgraph_only,2,anthropic,lang001,completed_no_cap_hit,4,540,4722,874.44,4182,0,0,6.718
langgraph_only,3,anthropic,lang001,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,5.944
langgraph_only,4,anthropic,lang001,completed_no_cap_hit,4,540,4777,884.63,4237,0,0,6.726
langgraph_only,5,anthropic,lang001,completed_no_cap_hit,4,540,4762,881.85,4222,0,0,8.053
langgraph_only,6,anthropic,lang001,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,7.34
langgraph_only,7,anthropic,lang001,completed_no_cap_hit,4,540,4722,874.44,4182,0,0,6.555
langgraph_only,8,anthropic,lang001,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,5.951
langgraph_only,9,anthropic,lang001,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,6.337
langgraph_only,10,anthropic,lang001,completed_no_cap_hit,4,540,4722,874.44,4182,0,0,7.589
langgraph_only,11,anthropic,lang001,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,6.542
langgraph_only,12,anthropic,lang001,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,6.35
langgraph_only,13,anthropic,lang001,completed_no_cap_hit,4,540,4722,874.44,4182,0,0,7.166
langgraph_only,14,anthropic,lang001,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,6.348
langgraph_only,15,anthropic,lang001,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,8.805
langgraph_only,16,anthropic,lang001,completed_no_cap_hit,4,540,4787,886.48,4247,0,0,6.145
langgraph_only,17,anthropic,lang001,completed_no_cap_hit,4,540,4722,874.44,4182,0,0,6.551
langgraph_only,18,anthropic,lang001,completed_no_cap_hit,4,540,4722,874.44,4182,0,0,6.348
langgraph_only,19,anthropic,lang001,completed_no_cap_hit,4,540,4762,881.85,4222,0,0,7.166
langgraph_only,20,anthropic,lang001,completed_no_cap_hit,4,540,4762,881.85,4222,0,0,6.75
langgraph_only,21,anthropic,lang001,completed_no_cap_hit,4,540,4809,890.56,4269,0,0,7.173
langgraph_only,22,anthropic,lang001,completed_no_cap_hit,4,540,4585,849.07,4045,0,0,6.758
langgraph_only,23,anthropic,lang001,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,7.645
langgraph_only,24,anthropic,lang001,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,7.304
langgraph_only,25,anthropic,lang001,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,6.553
langgraph_only,26,anthropic,lang001,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,6.419
langgraph_only,27,anthropic,lang001,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,6.7
langgraph_only,28,anthropic,lang001,completed_no_cap_hit,4,540,4722,874.44,4182,0,0,6.196
langgraph_only,29,anthropic,lang001,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,6.887
langgraph_only,30,anthropic,lang001,completed_no_cap_hit,4,540,4787,886.48,4247,0,0,6.764
langgraph_with_guard,1,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.174
langgraph_with_guard,2,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.089
langgraph_with_guard,3,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.103
langgraph_with_guard,4,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.677
langgraph_with_guard,5,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.715
langgraph_with_guard,6,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.432
langgraph_with_guard,7,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.23
langgraph_with_guard,8,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.459
langgraph_with_guard,9,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.149
langgraph_with_guard,10,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.488
langgraph_with_guard,11,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.146
langgraph_with_guard,12,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.188
langgraph_with_guard,13,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.147
langgraph_with_guard,14,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.193
langgraph_with_guard,15,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.113
langgraph_with_guard,16,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.584
langgraph_with_guard,17,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.131
langgraph_with_guard,18,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.043
langgraph_with_guard,19,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.308
langgraph_with_guard,20,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.142
langgraph_with_guard,21,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.231
langgraph_with_guard,22,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.186
langgraph_with_guard,23,anthropic,lang001,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.215
