# Recosted Anthropic head-to-head CSV.
# Original input: sweep_results/claude_sonnet_lang001_n30_full.csv
# Multiplier applied: 3.0 (haiku-to-sonnet, derived
# from identical 1:5 input:output price ratio across both providers).
# Added columns: spent_uc_original, spent_uc_recosted,
# recost_multiplier, overshoot_uc_recosted, pct_of_cap_recosted.
# Original spent_uc and overshoot_uc columns preserved unchanged.
# Algebra: sonnet_cost = (3I + 15O)/Mtok = 3 * (I + 5O)/Mtok = 3 * haiku_cost.
runtime,run_id,provider,workload,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds,spent_uc_original,spent_uc_recosted,recost_multiplier,overshoot_uc_recosted,pct_of_cap_recosted
langgraph_only,1,anthropic,lang001,completed_no_cap_hit,4,540,4722,874.44,4182,0,0,8.373,4722,14166,3.0,13626,2623.33
langgraph_only,2,anthropic,lang001,completed_no_cap_hit,4,540,4722,874.44,4182,0,0,6.718,4722,14166,3.0,13626,2623.33
langgraph_only,3,anthropic,lang001,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,5.944,4754,14262,3.0,13722,2641.11
langgraph_only,4,anthropic,lang001,completed_no_cap_hit,4,540,4777,884.63,4237,0,0,6.726,4777,14331,3.0,13791,2653.89
langgraph_only,5,anthropic,lang001,completed_no_cap_hit,4,540,4762,881.85,4222,0,0,8.053,4762,14286,3.0,13746,2645.56
langgraph_only,6,anthropic,lang001,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,7.34,4754,14262,3.0,13722,2641.11
langgraph_only,7,anthropic,lang001,completed_no_cap_hit,4,540,4722,874.44,4182,0,0,6.555,4722,14166,3.0,13626,2623.33
langgraph_only,8,anthropic,lang001,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,5.951,4754,14262,3.0,13722,2641.11
langgraph_only,9,anthropic,lang001,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,6.337,4754,14262,3.0,13722,2641.11
langgraph_only,10,anthropic,lang001,completed_no_cap_hit,4,540,4722,874.44,4182,0,0,7.589,4722,14166,3.0,13626,2623.33
