runtime,run_id,provider,workload,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds
langgraph_only,1,openai,arg_hallucination,completed_no_cap_hit,2,540,958,177.41,418,0,0,3.496
langgraph_only,2,openai,arg_hallucination,completed_no_cap_hit,2,540,958,177.41,418,0,0,3.075
langgraph_only,3,openai,arg_hallucination,completed_no_cap_hit,2,540,958,177.41,418,0,0,3.071
langgraph_only,4,openai,arg_hallucination,completed_no_cap_hit,2,540,958,177.41,418,0,0,2.599
langgraph_only,5,openai,arg_hallucination,completed_no_cap_hit,2,540,958,177.41,418,0,0,5.428
langgraph_only,6,openai,arg_hallucination,completed_no_cap_hit,2,540,968,179.26,428,0,0,4.284
langgraph_only,7,openai,arg_hallucination,completed_no_cap_hit,2,540,968,179.26,428,0,0,2.848
langgraph_only,8,openai,arg_hallucination,completed_no_cap_hit,2,540,958,177.41,418,0,0,4.868
langgraph_only,9,openai,arg_hallucination,completed_no_cap_hit,2,540,958,177.41,418,0,0,6.839
langgraph_only,10,openai,arg_hallucination,completed_no_cap_hit,2,540,958,177.41,418,0,0,3.759
langgraph_only,11,openai,arg_hallucination,completed_no_cap_hit,2,540,958,177.41,418,0,0,3.174
langgraph_only,12,openai,arg_hallucination,completed_no_cap_hit,2,540,958,177.41,418,0,0,3.495
langgraph_only,13,openai,arg_hallucination,completed_no_cap_hit,2,540,968,179.26,428,0,0,3.634
langgraph_only,14,openai,arg_hallucination,completed_no_cap_hit,2,540,968,179.26,428,0,0,9.097
langgraph_only,15,openai,arg_hallucination,completed_no_cap_hit,2,540,958,177.41,418,0,0,3.419
langgraph_only,16,openai,arg_hallucination,completed_no_cap_hit,2,540,968,179.26,428,0,0,2.223
langgraph_only,17,openai,arg_hallucination,completed_no_cap_hit,2,540,958,177.41,418,0,0,3.21
langgraph_only,18,openai,arg_hallucination,completed_no_cap_hit,2,540,958,177.41,418,0,0,3.244
langgraph_only,19,openai,arg_hallucination,completed_no_cap_hit,2,540,958,177.41,418,0,0,2.408
langgraph_only,20,openai,arg_hallucination,completed_no_cap_hit,2,540,958,177.41,418,0,0,6.439
langgraph_only,21,openai,arg_hallucination,completed_no_cap_hit,2,540,958,177.41,418,0,0,2.794
langgraph_only,22,openai,arg_hallucination,completed_no_cap_hit,2,540,958,177.41,418,0,0,3.029
