runtime,run_id,provider,workload,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds
langgraph_only,1,openai,clarification,completed_no_cap_hit,2,540,1092,202.22,552,0,0,5.581
langgraph_only,2,openai,clarification,completed_no_cap_hit,2,540,1103,204.26,563,0,0,4.932
langgraph_only,3,openai,clarification,completed_no_cap_hit,2,540,1092,202.22,552,0,0,2.757
langgraph_only,4,openai,clarification,completed_no_cap_hit,1,540,410,75.93,0,0,0,2.372
langgraph_only,5,openai,clarification,completed_no_cap_hit,2,540,1082,200.37,542,0,0,6.622
langgraph_only,6,openai,clarification,completed_no_cap_hit,1,540,410,75.93,0,0,0,2.121
langgraph_only,7,openai,clarification,completed_no_cap_hit,2,540,1092,202.22,552,0,0,2.574
langgraph_only,8,openai,clarification,completed_no_cap_hit,1,540,410,75.93,0,0,0,2.889
langgraph_only,9,openai,clarification,completed_no_cap_hit,1,540,410,75.93,0,0,0,3.174
langgraph_only,10,openai,clarification,completed_no_cap_hit,1,540,410,75.93,0,0,0,2.38
langgraph_only,11,openai,clarification,completed_no_cap_hit,2,540,1082,200.37,542,0,0,2.873
langgraph_only,12,openai,clarification,completed_no_cap_hit,2,540,1072,198.52,532,0,0,2.81
langgraph_only,13,openai,clarification,completed_no_cap_hit,2,540,1013,187.59,473,0,0,2.689
langgraph_only,14,openai,clarification,completed_no_cap_hit,2,540,1092,202.22,552,0,0,3.485
langgraph_only,15,openai,clarification,completed_no_cap_hit,2,540,1072,198.52,532,0,0,3.069
langgraph_only,16,openai,clarification,completed_no_cap_hit,2,540,1092,202.22,552,0,0,2.589
langgraph_only,17,openai,clarification,completed_no_cap_hit,2,540,1013,187.59,473,0,0,3.25
langgraph_only,18,openai,clarification,completed_no_cap_hit,1,540,410,75.93,0,0,0,2.045
langgraph_only,19,openai,clarification,completed_no_cap_hit,2,540,1082,200.37,542,0,0,2.767
langgraph_only,20,openai,clarification,completed_no_cap_hit,1,540,410,75.93,0,0,0,2.047
langgraph_only,21,openai,clarification,completed_no_cap_hit,2,540,1103,204.26,563,0,0,2.967
langgraph_only,22,openai,clarification,completed_no_cap_hit,1,540,410,75.93,0,0,0,2.259
langgraph_only,23,openai,clarification,completed_no_cap_hit,2,540,1092,202.22,552,0,0,3.275
langgraph_only,24,openai,clarification,completed_no_cap_hit,2,540,1092,202.22,552,0,0,2.414
langgraph_only,25,openai,clarification,completed_no_cap_hit,2,540,1092,202.22,552,0,0,2.909
langgraph_only,26,openai,clarification,completed_no_cap_hit,1,540,410,75.93,0,0,0,2.122
langgraph_only,27,openai,clarification,completed_no_cap_hit,2,540,1092,202.22,552,0,0,2.792
