runtime,run_id,provider,workload,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds
langgraph_only,1,openai,lang001,completed_no_cap_hit,5,540,4433,820.93,3893,0,0,15.448
langgraph_only,2,openai,lang001,structural_recursion_limit_hit,10,540,14271,2642.78,13731,0,0,16.408
langgraph_only,3,openai,lang001,completed_no_cap_hit,5,540,4181,774.26,3641,0,0,7.103
langgraph_only,4,openai,lang001,completed_no_cap_hit,6,540,5421,1003.89,4881,0,0,6.746
langgraph_only,5,openai,lang001,completed_no_cap_hit,6,540,5705,1056.48,5165,0,0,8.603
langgraph_only,6,openai,lang001,completed_no_cap_hit,7,540,7723,1430.19,7183,0,0,16.035
langgraph_only,7,openai,lang001,structural_recursion_limit_hit,10,540,14376,2662.22,13836,0,0,12.021
langgraph_only,8,openai,lang001,completed_no_cap_hit,5,540,4103,759.81,3563,0,0,7.168
langgraph_only,9,openai,lang001,completed_no_cap_hit,6,540,5493,1017.22,4953,0,0,7.578
langgraph_only,10,openai,lang001,structural_recursion_limit_hit,10,540,14006,2593.7,13466,0,0,16.591
langgraph_with_guard,1,openai,lang001,runtime_guard_fired_after_call,2,540,980,181.48,440,0,560,1.84
langgraph_with_guard,2,openai,lang001,runtime_guard_fired_after_call,2,540,970,179.63,430,0,550,2.252
langgraph_with_guard,3,openai,lang001,runtime_guard_fired_after_call,2,540,980,181.48,440,0,560,3.276
langgraph_with_guard,4,openai,lang001,runtime_guard_fired_after_call,2,540,970,179.63,430,0,550,5.125
langgraph_with_guard,5,openai,lang001,runtime_guard_fired_after_call,2,540,980,181.48,440,0,560,16.381
langgraph_with_guard,6,openai,lang001,runtime_guard_fired_after_call,2,540,980,181.48,440,0,560,1.639
langgraph_with_guard,7,openai,lang001,runtime_guard_fired_after_call,2,540,980,181.48,440,0,560,3.599
langgraph_with_guard,8,openai,lang001,runtime_guard_fired_after_call,2,540,970,179.63,430,0,550,2.34
langgraph_with_guard,9,openai,lang001,runtime_guard_fired_after_call,2,540,980,181.48,440,0,560,2.068
langgraph_with_guard,10,openai,lang001,runtime_guard_fired_after_call,2,540,980,181.48,440,0,560,1.618
crewai,1,openai,lang001,completed_no_cap_hit,1,540,8090,1498.15,7550,0,0,12.593
crewai,2,openai,lang001,completed_no_cap_hit,1,540,7660,1418.52,7120,0,0,7.701
crewai,3,openai,lang001,completed_no_cap_hit,1,540,7732,1431.85,7192,0,0,8.398
crewai,4,openai,lang001,completed_no_cap_hit,1,540,8192,1517.04,7652,0,0,7.987
crewai,5,openai,lang001,completed_no_cap_hit,1,540,7913,1465.37,7373,0,0,8.397
crewai,6,openai,lang001,completed_no_cap_hit,1,540,5285,978.7,4745,0,0,7.29
crewai,7,openai,lang001,completed_no_cap_hit,1,540,7720,1429.63,7180,0,0,8.027
crewai,8,openai,lang001,completed_no_cap_hit,1,540,8000,1481.48,7460,0,0,8.198
crewai,9,openai,lang001,completed_no_cap_hit,1,540,7980,1477.78,7440,0,0,18.12
crewai,10,openai,lang001,completed_no_cap_hit,1,540,5412,1002.22,4872,0,0,5.752
autogen,1,openai,lang001,structural_max_turns_hit,4,540,3440,637.04,2900,0,0,9.527
autogen,2,openai,lang001,structural_max_turns_hit,4,540,3413,632.04,2873,0,0,6.349
autogen,3,openai,lang001,structural_max_turns_hit,4,540,3098,573.7,2558,0,0,6.73
autogen,4,openai,lang001,structural_max_turns_hit,4,540,3415,632.41,2875,0,0,5.967
autogen,5,openai,lang001,structural_max_turns_hit,4,540,3415,632.41,2875,0,0,5.325
autogen,6,openai,lang001,structural_max_turns_hit,4,540,3415,632.41,2875,0,0,4.711
autogen,7,openai,lang001,structural_max_turns_hit,4,540,3048,564.44,2508,0,0,6.144
autogen,8,openai,lang001,structural_max_turns_hit,4,540,3428,634.81,2888,0,0,4.503
autogen,9,openai,lang001,structural_max_turns_hit,4,540,2902,537.41,2362,0,0,4.713
autogen,10,openai,lang001,structural_max_turns_hit,4,540,3505,649.07,2965,0,0,10.637
token_capabilities,1,openai,lang001,compile_time_reservation_refused,0,540,0,0.0,0,0,0,0.004
token_capabilities,2,openai,lang001,compile_time_reservation_refused,0,540,0,0.0,0,0,0,0.003
token_capabilities,3,openai,lang001,compile_time_reservation_refused,0,540,0,0.0,0,0,0,0.005
token_capabilities,4,openai,lang001,compile_time_reservation_refused,0,540,0,0.0,0,0,0,0.003
token_capabilities,5,openai,lang001,compile_time_reservation_refused,0,540,0,0.0,0,0,0,0.003
token_capabilities,6,openai,lang001,compile_time_reservation_refused,0,540,0,0.0,0,0,0,0.003
token_capabilities,7,openai,lang001,compile_time_reservation_refused,0,540,0,0.0,0,0,0,0.003
token_capabilities,8,openai,lang001,compile_time_reservation_refused,0,540,0,0.0,0,0,0,0.003
token_capabilities,9,openai,lang001,compile_time_reservation_refused,0,540,0,0.0,0,0,0,0.003
token_capabilities,10,openai,lang001,compile_time_reservation_refused,0,540,0,0.0,0,0,0,0.003
litellm_proxy,1,openai,lang001,litellm_budget_exceeded_after_call,2,540,980,181.48,440,0,560,4.69
litellm_proxy,2,openai,lang001,litellm_budget_exceeded_after_call,2,540,980,181.48,440,0,560,1.834
litellm_proxy,3,openai,lang001,litellm_budget_exceeded_after_call,2,540,980,181.48,440,0,560,2.162
litellm_proxy,4,openai,lang001,litellm_budget_exceeded_after_call,2,540,980,181.48,440,0,560,1.691
litellm_proxy,5,openai,lang001,litellm_budget_exceeded_after_call,2,540,970,179.63,430,0,550,1.366
litellm_proxy,6,openai,lang001,litellm_budget_exceeded_after_call,2,540,980,181.48,440,0,560,1.778
litellm_proxy,7,openai,lang001,litellm_budget_exceeded_after_call,2,540,980,181.48,440,0,560,1.568
litellm_proxy,8,openai,lang001,litellm_budget_exceeded_after_call,2,540,970,179.63,430,0,550,1.354
litellm_proxy,9,openai,lang001,litellm_budget_exceeded_after_call,2,540,980,181.48,440,0,560,2.142
litellm_proxy,10,openai,lang001,litellm_budget_exceeded_after_call,2,540,980,181.48,440,0,560,1.875
