runtime,run_id,provider,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds
langgraph_only,1,anthropic,completed_no_cap_hit,4,540,4787,886.48,4247,0,0,10.87
langgraph_only,2,anthropic,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,10.713
langgraph_only,3,anthropic,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,8.099
langgraph_only,4,anthropic,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,10.386
langgraph_only,5,anthropic,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,7.664
langgraph_only,6,anthropic,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,8.292
langgraph_only,7,anthropic,completed_no_cap_hit,4,540,4762,881.85,4222,0,0,9.827
langgraph_only,8,anthropic,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,10.604
langgraph_only,9,anthropic,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,6.198
langgraph_only,10,anthropic,completed_no_cap_hit,4,540,4754,880.37,4214,0,0,8.469
langgraph_with_guard,1,anthropic,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,2.16
langgraph_with_guard,2,anthropic,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.517
langgraph_with_guard,3,anthropic,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.266
langgraph_with_guard,4,anthropic,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.184
langgraph_with_guard,5,anthropic,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.203
langgraph_with_guard,6,anthropic,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.935
langgraph_with_guard,7,anthropic,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,2.695
langgraph_with_guard,8,anthropic,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.185
langgraph_with_guard,9,anthropic,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.184
langgraph_with_guard,10,anthropic,runtime_guard_fired_after_call,1,540,906,167.78,366,0,906,1.319
crewai,1,anthropic,completed_no_cap_hit,1,540,7303,1352.41,6763,0,0,18.369
crewai,2,anthropic,completed_no_cap_hit,1,540,6947,1286.48,6407,0,0,12.492
crewai,3,anthropic,completed_no_cap_hit,1,540,8504,1574.81,7964,0,0,16.413
crewai,4,anthropic,completed_no_cap_hit,1,540,6853,1269.07,6313,0,0,13.599
crewai,5,anthropic,completed_no_cap_hit,1,540,8384,1552.59,7844,0,0,17.012
crewai,6,anthropic,completed_no_cap_hit,1,540,6905,1278.7,6365,0,0,14.762
crewai,7,anthropic,completed_no_cap_hit,1,540,6832,1265.19,6292,0,0,12.423
crewai,8,anthropic,completed_no_cap_hit,1,540,8640,1600.0,8100,0,0,11.81
crewai,9,anthropic,completed_no_cap_hit,1,540,8235,1525.0,7695,0,0,21.303
crewai,10,anthropic,completed_no_cap_hit,1,540,6722,1244.81,6182,0,0,15.19
token_capabilities,1,anthropic,compile_time_reservation_refused,1,540,906,167.78,366,0,0,2.529
token_capabilities,2,anthropic,compile_time_reservation_refused,1,540,906,167.78,366,0,0,1.855
token_capabilities,3,anthropic,compile_time_reservation_refused,1,540,906,167.78,366,0,0,1.51
token_capabilities,4,anthropic,compile_time_reservation_refused,1,540,906,167.78,366,0,0,1.765
token_capabilities,5,anthropic,compile_time_reservation_refused,1,540,906,167.78,366,0,0,1.361
token_capabilities,6,anthropic,compile_time_reservation_refused,1,540,906,167.78,366,0,0,5.078
token_capabilities,7,anthropic,compile_time_reservation_refused,1,540,906,167.78,366,0,0,1.308
token_capabilities,8,anthropic,compile_time_reservation_refused,1,540,906,167.78,366,0,0,1.872
token_capabilities,9,anthropic,compile_time_reservation_refused,1,540,906,167.78,366,0,0,1.483
token_capabilities,10,anthropic,compile_time_reservation_refused,1,540,906,167.78,366,0,0,1.599
autogen,1,anthropic,structural_max_turns_hit,4,540,4900,907.41,4360,0,0,10.416
autogen,2,anthropic,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,8.546
autogen,3,anthropic,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,7.514
autogen,4,anthropic,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,11.448
autogen,5,anthropic,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,7.219
autogen,6,anthropic,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,13.124
autogen,7,anthropic,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,11.015
autogen,8,anthropic,structural_max_turns_hit,4,540,4900,907.41,4360,0,0,8.58
autogen,9,anthropic,structural_max_turns_hit,4,540,4900,907.41,4360,0,0,6.086
autogen,10,anthropic,structural_max_turns_hit,4,540,4880,903.7,4340,0,0,9.421
