runtime,run_id,provider,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds
autogen,1,anthropic,structural_max_turns_hit,4,540,4900,907.41,4360,0,0,10.416
autogen,2,anthropic,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,8.546
autogen,3,anthropic,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,7.514
autogen,4,anthropic,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,11.448
autogen,5,anthropic,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,7.219
autogen,6,anthropic,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,13.124
autogen,7,anthropic,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,11.015
autogen,8,anthropic,structural_max_turns_hit,4,540,4900,907.41,4360,0,0,8.58
autogen,9,anthropic,structural_max_turns_hit,4,540,4900,907.41,4360,0,0,6.086
autogen,10,anthropic,structural_max_turns_hit,4,540,4880,903.7,4340,0,0,9.421
