runtime,run_id,provider,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds
langgraph_only,1,groq,structural_recursion_limit_hit,10,540,3263,604.26,2723,0,0,4.236
langgraph_only,2,groq,structural_recursion_limit_hit,10,540,3284,608.15,2744,0,0,3.595
langgraph_only,3,groq,structural_recursion_limit_hit,10,540,3272,605.93,2732,0,0,16.234
langgraph_only,5,groq,structural_recursion_limit_hit,10,540,3281,607.59,2741,0,0,26.572
langgraph_only,6,groq,structural_recursion_limit_hit,10,540,3266,604.81,2726,0,0,27.664
langgraph_only,7,groq,structural_recursion_limit_hit,10,540,3289,609.07,2749,0,0,33.154
langgraph_only,8,groq,structural_recursion_limit_hit,10,540,3262,604.07,2722,0,0,21.07
langgraph_only,9,groq,structural_recursion_limit_hit,10,540,3282,607.78,2742,0,0,28.533
langgraph_only,10,groq,structural_recursion_limit_hit,10,540,3272,605.93,2732,0,0,27.075
langgraph_with_guard,1,groq,runtime_guard_fired_after_call,3,540,609,112.78,69,0,238,8.388
langgraph_with_guard,2,groq,runtime_guard_fired_after_call,3,540,609,112.78,69,0,238,8.956
langgraph_with_guard,3,groq,runtime_guard_fired_after_call,3,540,609,112.78,69,0,238,7.948
langgraph_with_guard,4,groq,runtime_guard_fired_after_call,3,540,609,112.78,69,0,238,7.886
langgraph_with_guard,5,groq,runtime_guard_fired_after_call,3,540,609,112.78,69,0,238,7.987
langgraph_with_guard,6,groq,runtime_guard_fired_after_call,3,540,609,112.78,69,0,238,7.783
langgraph_with_guard,7,groq,runtime_guard_fired_after_call,3,540,609,112.78,69,0,238,7.781
langgraph_with_guard,8,groq,runtime_guard_fired_after_call,3,540,609,112.78,69,0,238,7.987
langgraph_with_guard,9,groq,runtime_guard_fired_after_call,3,540,609,112.78,69,0,238,7.704
langgraph_with_guard,10,groq,runtime_guard_fired_after_call,3,540,609,112.78,69,0,238,8.146
token_capabilities,1,groq,compile_time_reservation_refused,4,540,829,153.52,289,0,0,9.158
token_capabilities,2,groq,compile_time_reservation_refused,4,540,828,153.33,288,0,0,11.647
token_capabilities,3,groq,compile_time_reservation_refused,4,540,824,152.59,284,0,0,12.066
token_capabilities,4,groq,compile_time_reservation_refused,4,540,827,153.15,287,0,0,10.62
token_capabilities,5,groq,compile_time_reservation_refused,4,540,824,152.59,284,0,0,9.955
token_capabilities,6,groq,compile_time_reservation_refused,4,540,827,153.15,287,0,0,9.983
token_capabilities,7,groq,compile_time_reservation_refused,4,540,824,152.59,284,0,0,9.963
token_capabilities,8,groq,compile_time_reservation_refused,4,540,827,153.15,287,0,0,11.95
token_capabilities,9,groq,compile_time_reservation_refused,4,540,824,152.59,284,0,0,11.468
token_capabilities,10,groq,compile_time_reservation_refused,4,540,824,152.59,284,0,0,11.469
autogen,1,groq,structural_max_turns_hit,4,540,931,172.41,391,0,0,2.752
autogen,2,groq,structural_max_turns_hit,4,540,931,172.41,391,0,0,1.465
autogen,3,groq,structural_max_turns_hit,4,540,931,172.41,391,0,0,2.455
autogen,4,groq,structural_max_turns_hit,4,540,931,172.41,391,0,0,2.362
autogen,5,groq,structural_max_turns_hit,4,540,931,172.41,391,0,0,1.472
autogen,6,groq,structural_max_turns_hit,4,540,931,172.41,391,0,0,1.376
autogen,7,groq,structural_max_turns_hit,4,540,931,172.41,391,0,0,1.535
autogen,8,groq,structural_max_turns_hit,4,540,931,172.41,391,0,0,7.005
autogen,9,groq,structural_max_turns_hit,4,540,931,172.41,391,0,0,13.342
autogen,10,groq,structural_max_turns_hit,4,540,931,172.41,391,0,0,9.518
