runtime,run_id,provider,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds
langgraph_only,1,openai,structural_recursion_limit_hit,10,540,634,117.41,94,0,0,24.942
langgraph_only,2,openai,structural_recursion_limit_hit,10,540,643,119.07,103,0,0,17.066
langgraph_only,3,openai,structural_recursion_limit_hit,10,540,634,117.41,94,0,0,11.468
langgraph_only,4,openai,structural_recursion_limit_hit,10,540,643,119.07,103,0,0,13.927
langgraph_only,5,openai,structural_recursion_limit_hit,10,540,634,117.41,94,0,0,14.154
langgraph_only,6,openai,structural_recursion_limit_hit,10,540,634,117.41,94,0,0,14.518
langgraph_only,7,openai,structural_recursion_limit_hit,10,540,643,119.07,103,0,0,14.462
langgraph_only,8,openai,structural_recursion_limit_hit,10,540,634,117.41,94,0,0,11.956
langgraph_only,9,openai,structural_recursion_limit_hit,10,540,634,117.41,94,0,0,12.923
langgraph_only,10,openai,structural_recursion_limit_hit,10,540,634,117.41,94,0,0,14.316
langgraph_with_guard,1,openai,runtime_guard_fired_after_call,10,540,634,117.41,94,0,101,15.562
langgraph_with_guard,2,openai,runtime_guard_fired_after_call,10,540,634,117.41,94,0,101,13.715
langgraph_with_guard,3,openai,runtime_guard_fired_after_call,10,540,634,117.41,94,0,101,13.823
langgraph_with_guard,4,openai,runtime_guard_fired_after_call,10,540,634,117.41,94,0,101,13.831
langgraph_with_guard,5,openai,runtime_guard_fired_after_call,10,540,634,117.41,94,0,101,11.458
langgraph_with_guard,6,openai,runtime_guard_fired_after_call,10,540,634,117.41,94,0,101,13.117
langgraph_with_guard,7,openai,runtime_guard_fired_after_call,10,540,634,117.41,94,0,101,13.105
langgraph_with_guard,8,openai,runtime_guard_fired_after_call,10,540,634,117.41,94,0,101,11.611
langgraph_with_guard,9,openai,runtime_guard_fired_after_call,9,540,540,100.0,0,0,94,16.037
langgraph_with_guard,10,openai,runtime_guard_fired_after_call,10,540,634,117.41,94,0,101,11.468
crewai,1,openai,completed_no_cap_hit,1,540,442,81.85,0,0,0,11.436
crewai,2,openai,completed_no_cap_hit,1,540,426,78.89,0,0,0,20.05
crewai,3,openai,completed_no_cap_hit,1,540,428,79.26,0,0,0,20.009
crewai,4,openai,completed_no_cap_hit,1,540,436,80.74,0,0,0,20.009
crewai,5,openai,completed_no_cap_hit,1,540,430,79.63,0,0,0,20.016
crewai,6,openai,completed_no_cap_hit,1,540,430,79.63,0,0,0,20.008
crewai,7,openai,completed_no_cap_hit,1,540,444,82.22,0,0,0,20.005
crewai,8,openai,completed_no_cap_hit,1,540,432,80.0,0,0,0,20.009
crewai,9,openai,completed_no_cap_hit,1,540,432,80.0,0,0,0,20.009
crewai,10,openai,completed_no_cap_hit,1,540,431,79.81,0,0,0,20.006
token_capabilities,1,openai,compile_time_reservation_refused,8,540,379,70.19,0,0,0,11.602
token_capabilities,2,openai,compile_time_reservation_refused,8,540,379,70.19,0,0,0,12.067
token_capabilities,3,openai,compile_time_reservation_refused,8,540,379,70.19,0,0,0,14.556
token_capabilities,4,openai,compile_time_reservation_refused,8,540,379,70.19,0,0,0,15.77
token_capabilities,5,openai,compile_time_reservation_refused,8,540,379,70.19,0,0,0,12.076
token_capabilities,6,openai,compile_time_reservation_refused,8,540,379,70.19,0,0,0,11.906
token_capabilities,7,openai,compile_time_reservation_refused,8,540,379,70.19,0,0,0,19.64
token_capabilities,8,openai,compile_time_reservation_refused,8,540,379,70.19,0,0,0,9.989
token_capabilities,9,openai,compile_time_reservation_refused,8,540,379,70.19,0,0,0,10.899
token_capabilities,10,openai,compile_time_reservation_refused,8,540,379,70.19,0,0,0,10.241
autogen,1,openai,structural_max_turns_hit,4,540,173,32.04,0,367,0,11.878
autogen,2,openai,structural_max_turns_hit,4,540,173,32.04,0,367,0,11.546
autogen,3,openai,structural_max_turns_hit,4,540,173,32.04,0,367,0,11.994
autogen,4,openai,structural_max_turns_hit,4,540,174,32.22,0,366,0,13.265
autogen,5,openai,structural_max_turns_hit,4,540,173,32.04,0,367,0,9.234
autogen,6,openai,structural_max_turns_hit,4,540,173,32.04,0,367,0,11.906
autogen,7,openai,structural_max_turns_hit,4,540,174,32.22,0,366,0,15.177
autogen,8,openai,structural_max_turns_hit,4,540,173,32.04,0,367,0,11.359
autogen,9,openai,structural_max_turns_hit,4,540,174,32.22,0,366,0,14.341
autogen,10,openai,structural_max_turns_hit,4,540,173,32.04,0,367,0,5.715
