runtime,run_id,provider,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds
autogen,1,openai,structural_max_turns_hit,4,540,173,32.04,0,367,0,11.878
autogen,2,openai,structural_max_turns_hit,4,540,173,32.04,0,367,0,11.546
autogen,3,openai,structural_max_turns_hit,4,540,173,32.04,0,367,0,11.994
autogen,4,openai,structural_max_turns_hit,4,540,174,32.22,0,366,0,13.265
autogen,5,openai,structural_max_turns_hit,4,540,173,32.04,0,367,0,9.234
autogen,6,openai,structural_max_turns_hit,4,540,173,32.04,0,367,0,11.906
autogen,7,openai,structural_max_turns_hit,4,540,174,32.22,0,366,0,15.177
autogen,8,openai,structural_max_turns_hit,4,540,173,32.04,0,367,0,11.359
autogen,9,openai,structural_max_turns_hit,4,540,174,32.22,0,366,0,14.341
autogen,10,openai,structural_max_turns_hit,4,540,173,32.04,0,367,0,5.715
