runtime,run_id,provider,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds
langgraph_only,1,mock,structural_recursion_limit_hit,10,540,735,136.11,195,0,0,0.113
langgraph_only,2,mock,structural_recursion_limit_hit,10,540,735,136.11,195,0,0,0.015
langgraph_only,3,mock,structural_recursion_limit_hit,10,540,735,136.11,195,0,0,0.016
langgraph_only,4,mock,structural_recursion_limit_hit,10,540,735,136.11,195,0,0,0.017
langgraph_only,5,mock,structural_recursion_limit_hit,10,540,735,136.11,195,0,0,0.015
langgraph_only,6,mock,structural_recursion_limit_hit,10,540,735,136.11,195,0,0,0.014
langgraph_only,7,mock,structural_recursion_limit_hit,10,540,735,136.11,195,0,0,0.015
langgraph_only,8,mock,structural_recursion_limit_hit,10,540,735,136.11,195,0,0,0.016
langgraph_only,9,mock,structural_recursion_limit_hit,10,540,735,136.11,195,0,0,0.015
langgraph_only,10,mock,structural_recursion_limit_hit,10,540,735,136.11,195,0,0,0.016
langgraph_with_guard,1,mock,runtime_guard_fired_after_call,9,540,621,115.0,81,0,105,0.013
langgraph_with_guard,2,mock,runtime_guard_fired_after_call,9,540,621,115.0,81,0,105,0.014
langgraph_with_guard,3,mock,runtime_guard_fired_after_call,9,540,621,115.0,81,0,105,0.014
langgraph_with_guard,4,mock,runtime_guard_fired_after_call,9,540,621,115.0,81,0,105,0.014
langgraph_with_guard,5,mock,runtime_guard_fired_after_call,9,540,621,115.0,81,0,105,0.013
langgraph_with_guard,6,mock,runtime_guard_fired_after_call,9,540,621,115.0,81,0,105,0.015
langgraph_with_guard,7,mock,runtime_guard_fired_after_call,9,540,621,115.0,81,0,105,0.013
langgraph_with_guard,8,mock,runtime_guard_fired_after_call,9,540,621,115.0,81,0,105,0.013
langgraph_with_guard,9,mock,runtime_guard_fired_after_call,9,540,621,115.0,81,0,105,0.013
langgraph_with_guard,10,mock,runtime_guard_fired_after_call,9,540,621,115.0,81,0,105,0.014
token_capabilities,1,mock,compile_time_reservation_refused,8,540,516,95.56,0,0,0,0.003
token_capabilities,2,mock,compile_time_reservation_refused,8,540,516,95.56,0,0,0,0.003
token_capabilities,3,mock,compile_time_reservation_refused,8,540,516,95.56,0,0,0,0.003
token_capabilities,4,mock,compile_time_reservation_refused,8,540,516,95.56,0,0,0,0.002
token_capabilities,5,mock,compile_time_reservation_refused,8,540,516,95.56,0,0,0,0.002
token_capabilities,6,mock,compile_time_reservation_refused,8,540,516,95.56,0,0,0,0.002
token_capabilities,7,mock,compile_time_reservation_refused,8,540,516,95.56,0,0,0,0.002
token_capabilities,8,mock,compile_time_reservation_refused,8,540,516,95.56,0,0,0,0.002
token_capabilities,9,mock,compile_time_reservation_refused,8,540,516,95.56,0,0,0,0.002
token_capabilities,10,mock,compile_time_reservation_refused,8,540,516,95.56,0,0,0,0.003
