workload,cap_tokens,cap_uc,trial_id,steps,total_input_tokens,total_output_tokens,total_billed_uc,total_reserved_uc,overshoot,refused_at_step,refused_reason,retries_total
arg-hallucination,2000,12000,0,1,117,500,7851,10338,0,1,"Insufficient: requested 18558 uc, only 4149 available",0
arg-hallucination,2000,12000,1,1,117,500,7851,10338,0,1,"Insufficient: requested 18510 uc, only 4149 available",0
arg-hallucination,2000,12000,2,1,117,500,7851,10338,0,1,"Insufficient: requested 19086 uc, only 4149 available",0
arg-hallucination,2000,12000,3,1,117,500,7851,10338,0,1,"Insufficient: requested 18546 uc, only 4149 available",0
arg-hallucination,2000,12000,4,1,117,500,7851,10338,0,1,"Insufficient: requested 18216 uc, only 4149 available",0
arg-hallucination,2000,12000,5,1,117,500,7851,10338,0,1,"Insufficient: requested 18714 uc, only 4149 available",0
arg-hallucination,2000,12000,6,1,117,500,7851,10338,0,1,"Insufficient: requested 18342 uc, only 4149 available",0
arg-hallucination,2000,12000,7,1,117,500,7851,10338,0,1,"Insufficient: requested 18768 uc, only 4149 available",0
arg-hallucination,2000,12000,8,1,117,500,7851,10338,0,1,"Insufficient: requested 18552 uc, only 4149 available",0
arg-hallucination,2000,12000,9,1,117,500,7851,10338,0,1,"Insufficient: requested 18708 uc, only 4149 available",0
arg-hallucination,2000,12000,10,1,117,500,7851,10338,0,1,"Insufficient: requested 18078 uc, only 4149 available",0
arg-hallucination,2000,12000,11,1,117,500,7851,10338,0,1,"Insufficient: requested 18588 uc, only 4149 available",0
arg-hallucination,2000,12000,12,1,117,500,7851,10338,0,1,"Insufficient: requested 18012 uc, only 4149 available",0
arg-hallucination,2000,12000,13,1,117,500,7851,10338,0,1,"Insufficient: requested 18534 uc, only 4149 available",0
arg-hallucination,2000,12000,14,1,117,500,7851,10338,0,1,"Insufficient: requested 18606 uc, only 4149 available",0
arg-hallucination,2000,12000,15,1,117,500,7851,10338,0,1,"Insufficient: requested 18582 uc, only 4149 available",0
arg-hallucination,2000,12000,16,1,117,500,7851,10338,0,1,"Insufficient: requested 18570 uc, only 4149 available",0
arg-hallucination,2000,12000,17,1,117,500,7851,10338,0,1,"Insufficient: requested 18504 uc, only 4149 available",0
arg-hallucination,2000,12000,18,1,117,500,7851,10338,0,1,"Insufficient: requested 18330 uc, only 4149 available",0
arg-hallucination,2000,12000,19,1,117,500,7851,10338,0,1,"Insufficient: requested 18684 uc, only 4149 available",0
arg-hallucination,2000,12000,20,1,117,500,7851,10338,0,1,"Insufficient: requested 18420 uc, only 4149 available",0
arg-hallucination,2000,12000,21,1,117,500,7851,10338,0,1,"Insufficient: requested 18432 uc, only 4149 available",0
arg-hallucination,2000,12000,22,1,117,500,7851,10338,0,1,"Insufficient: requested 18834 uc, only 4149 available",0
arg-hallucination,2000,12000,23,1,117,500,7851,10338,0,1,"Insufficient: requested 18414 uc, only 4149 available",0
arg-hallucination,2000,12000,24,1,117,500,7851,10338,0,1,"Insufficient: requested 18264 uc, only 4149 available",0
arg-hallucination,2000,12000,25,1,117,500,7851,10338,0,1,"Insufficient: requested 18732 uc, only 4149 available",0
arg-hallucination,2000,12000,26,1,117,500,7851,10338,0,1,"Insufficient: requested 18300 uc, only 4149 available",0
arg-hallucination,2000,12000,27,1,117,500,7851,10338,0,1,"Insufficient: requested 18546 uc, only 4149 available",0
arg-hallucination,2000,12000,28,1,117,500,7851,10338,0,1,"Insufficient: requested 18342 uc, only 4149 available",0
arg-hallucination,2000,12000,29,1,117,500,7851,10338,0,1,"Insufficient: requested 18696 uc, only 4149 available",0
