workload,cap_tokens,cap_uc,trial_id,steps,total_input_tokens,total_output_tokens,total_billed_uc,total_reserved_uc,overshoot,refused_at_step,refused_reason,retries_total
clarification,2000,12000,0,2,226,115,2403,20286,0,2,"Insufficient: requested 12798 uc, only 9597 available",0
clarification,2000,12000,1,2,226,93,2073,20286,0,2,"Insufficient: requested 12102 uc, only 9927 available",0
clarification,2000,12000,2,2,226,111,2343,20286,0,2,"Insufficient: requested 12678 uc, only 9657 available",0
clarification,2000,12000,3,2,226,68,1698,20286,0,2,"Insufficient: requested 11412 uc, only 10302 available",0
clarification,2000,12000,4,2,222,111,2331,20172,0,2,"Insufficient: requested 12630 uc, only 9669 available",0
clarification,2000,12000,5,2,224,86,1962,20226,0,2,"Insufficient: requested 11916 uc, only 10038 available",0
clarification,2000,12000,6,2,225,88,1995,20256,0,2,"Insufficient: requested 12018 uc, only 10005 available",0
clarification,2000,12000,7,2,226,87,1983,20286,0,2,"Insufficient: requested 12012 uc, only 10017 available",0
clarification,2000,12000,8,2,212,49,1371,19944,0,2,"Insufficient: requested 10956 uc, only 10629 available",0
clarification,2000,12000,9,2,225,89,2010,20262,0,2,"Insufficient: requested 12012 uc, only 9990 available",0
clarification,2000,12000,10,2,226,92,2058,20286,0,2,"Insufficient: requested 12090 uc, only 9942 available",0
clarification,2000,12000,11,2,224,109,2307,20220,0,2,"Insufficient: requested 12600 uc, only 9693 available",0
clarification,2000,12000,12,2,222,104,2226,20172,0,2,"Insufficient: requested 12420 uc, only 9774 available",0
clarification,2000,12000,13,2,222,106,2256,20172,0,2,"Insufficient: requested 12444 uc, only 9744 available",0
clarification,2000,12000,14,2,219,56,1497,20040,0,2,"Insufficient: requested 11052 uc, only 10503 available",0
clarification,2000,12000,15,2,222,82,1896,20172,0,2,"Insufficient: requested 11790 uc, only 10104 available",0
clarification,2000,12000,16,2,225,90,2025,20256,0,2,"Insufficient: requested 12000 uc, only 9975 available",0
clarification,2000,12000,17,2,225,95,2100,20256,0,2,"Insufficient: requested 12168 uc, only 9900 available",0
clarification,2000,12000,18,2,226,107,2283,20286,0,2,"Insufficient: requested 12504 uc, only 9717 available",0
clarification,2000,12000,19,2,226,92,2058,20286,0,2,"Insufficient: requested 12084 uc, only 9942 available",0
clarification,2000,12000,20,2,226,62,1608,20286,0,2,"Insufficient: requested 11250 uc, only 10392 available",0
clarification,2000,12000,21,2,219,57,1512,20040,0,2,"Insufficient: requested 11076 uc, only 10488 available",0
clarification,2000,12000,22,2,225,87,1980,20256,0,2,"Insufficient: requested 11958 uc, only 10020 available",0
clarification,2000,12000,23,2,226,86,1968,20286,0,2,"Insufficient: requested 11988 uc, only 10032 available",0
clarification,2000,12000,24,2,226,92,2058,20286,0,2,"Insufficient: requested 12090 uc, only 9942 available",0
clarification,2000,12000,25,2,225,84,1935,20256,0,2,"Insufficient: requested 11910 uc, only 10065 available",0
clarification,2000,12000,26,2,226,115,2403,20286,0,2,"Insufficient: requested 12714 uc, only 9597 available",0
clarification,2000,12000,27,2,225,93,2070,20262,0,2,"Insufficient: requested 12108 uc, only 9930 available",0
clarification,2000,12000,28,2,226,92,2058,20286,0,2,"Insufficient: requested 12066 uc, only 9942 available",0
clarification,2000,12000,29,2,226,87,1983,20286,0,2,"Insufficient: requested 11994 uc, only 10017 available",0
