runtime,run_id,provider,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds,workload,actual_input_tokens,actual_output_tokens,byte_length_estimate,reservation_uc,actual_cost_uc
token_capabilities_rust,1,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,10.820,lang001,2170,204,2570,16710,9570
token_capabilities_rust,2,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,13.636,lang001,2170,204,2570,16710,9570
token_capabilities_rust,3,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,9.366,lang001,2170,204,2570,16710,9570
token_capabilities_rust,4,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,14.673,lang001,2170,204,2570,16710,9570
token_capabilities_rust,5,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,12.507,lang001,2170,204,2570,16710,9570
token_capabilities_rust,6,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,14.133,lang001,2170,204,2570,16710,9570
token_capabilities_rust,7,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,21.616,lang001,2170,204,2570,16710,9570
token_capabilities_rust,8,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,18.654,lang001,2170,204,2570,16710,9570
token_capabilities_rust,9,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,9.219,lang001,2170,204,2570,16710,9570
token_capabilities_rust,10,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,13.302,lang001,2170,204,2570,16710,9570
token_capabilities_rust,11,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,10.307,lang001,2170,204,2570,16710,9570
token_capabilities_rust,12,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,14.027,lang001,2170,204,2570,16710,9570
token_capabilities_rust,13,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,13.247,lang001,2170,204,2570,16710,9570
token_capabilities_rust,14,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,10.755,lang001,2170,204,2570,16710,9570
token_capabilities_rust,15,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,9.603,lang001,2170,204,2570,16710,9570
token_capabilities_rust,16,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,11.705,lang001,2170,204,2570,16710,9570
token_capabilities_rust,17,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,12.209,lang001,2170,204,2570,16710,9570
token_capabilities_rust,18,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,11.848,lang001,2170,204,2570,16710,9570
token_capabilities_rust,19,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,10.638,lang001,2170,204,2570,16710,9570
token_capabilities_rust,20,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,16.298,lang001,2170,204,2570,16710,9570
token_capabilities_rust,21,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,17.455,lang001,2170,204,2570,16710,9570
token_capabilities_rust,22,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,10.594,lang001,2170,204,2570,16710,9570
token_capabilities_rust,23,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,9.698,lang001,2170,204,2570,16710,9570
token_capabilities_rust,24,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,13.082,lang001,2170,204,2570,16710,9570
token_capabilities_rust,25,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,11.737,lang001,2170,204,2570,16710,9570
token_capabilities_rust,26,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,10.765,lang001,2170,204,2570,16710,9570
token_capabilities_rust,27,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,14.621,lang001,2170,204,2570,16710,9570
token_capabilities_rust,28,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,9.264,lang001,2170,204,2570,16710,9570
token_capabilities_rust,29,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,7.847,lang001,2170,204,2570,16710,9570
token_capabilities_rust,30,anthropic-sonnet,compile_time_reservation_refused,3,20000,9570,47.85,0,0,0,10.514,lang001,2170,204,2570,16710,9570
