runtime,run_id,provider,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds,workload,actual_input_tokens,actual_output_tokens,byte_length_estimate,reservation_uc,actual_cost_uc,token_limit,token_overshoot,retries_total,tokencap_view,error_repr
tokencap,trial_0,anthropic,compile_time_reservation_refused,9,10000,16493,164.9%,6493,0,0,24.688,lang001,8268,1645,,,16493,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:06:12.104140+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='82be3370-e837-4297-9e47-4e1fdb71b189'), limit=10000, used=9913, remaining=87, pct_used=0.9913)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_1,anthropic,compile_time_reservation_refused,8,10000,13970,139.7%,3970,0,0,20.566,lang001,6555,1483,,,13970,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:06:34.170367+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='2e15e4f4-ca25-422d-b537-81d979b5395b'), limit=10000, used=8038, remaining=1962, pct_used=0.8038)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_2,anthropic,compile_time_reservation_refused,9,10000,16668,166.7%,6668,0,0,24.117,lang001,8323,1669,,,16668,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:06:59.787268+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='daeff50b-7cd8-491d-9c0f-1359d67236b6'), limit=10000, used=9992, remaining=8, pct_used=0.9992)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_3,anthropic,compile_time_reservation_refused,9,10000,14927,149.3%,4927,0,0,22.578,lang001,7437,1498,,,14927,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:07:23.864990+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='fb8846b6-ad6d-4103-90c4-e6cc50068f5c'), limit=10000, used=8935, remaining=1065, pct_used=0.8935)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_4,anthropic,compile_time_reservation_refused,9,10000,14798,148.0%,4798,0,0,24.237,lang001,7368,1486,,,14798,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:07:49.602422+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='8c3b71ff-c0d1-49bb-b142-4d88ce95f167'), limit=10000, used=8854, remaining=1146, pct_used=0.8854)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_5,anthropic,compile_time_reservation_refused,9,10000,15294,152.9%,5294,0,0,25.765,lang001,7539,1551,,,15294,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:08:16.867706+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='4f8404bf-89f3-4cad-84c0-6145c707af71'), limit=10000, used=9090, remaining=910, pct_used=0.909)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_6,anthropic,compile_time_reservation_refused,9,10000,16370,163.7%,6370,0,0,22.149,lang001,8240,1626,,,16370,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:08:40.516675+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='efd5cee1-947b-42cd-80a6-6f8bc5cc06cd'), limit=10000, used=9866, remaining=134, pct_used=0.9866)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_7,anthropic,compile_time_reservation_refused,9,10000,15211,152.1%,5211,0,0,24.351,lang001,7511,1540,,,15211,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:09:06.367524+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='ec3f6550-8b34-497b-9e1c-04468a68801a'), limit=10000, used=9051, remaining=949, pct_used=0.9051)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_8,anthropic,compile_time_reservation_refused,9,10000,15139,151.4%,5139,0,0,25.528,lang001,7469,1534,,,15139,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:09:33.395342+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='01990cf3-d2af-4875-b533-87379c37e476'), limit=10000, used=9003, remaining=997, pct_used=0.9003)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_9,anthropic,compile_time_reservation_refused,9,10000,16115,161.2%,6115,0,0,26.149,lang001,8050,1613,,,16115,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:10:01.044052+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='d85e9503-c059-4f6f-b4f3-43a3bb9708f4'), limit=10000, used=9663, remaining=337, pct_used=0.9663)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_10,anthropic,compile_time_reservation_refused,8,10000,14195,141.9%,4195,0,0,19.86,lang001,6675,1504,,,14195,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:10:22.403999+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='af64bdf0-03bd-443c-9ac6-a5adf91b2a06'), limit=10000, used=8179, remaining=1821, pct_used=0.8179)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_11,anthropic,compile_time_reservation_refused,9,10000,16606,166.1%,6606,0,0,25.418,lang001,8291,1663,,,16606,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:10:49.322495+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='195b2bd4-cdc2-4415-b246-037f6f6b53cb'), limit=10000, used=9954, remaining=46, pct_used=0.9954)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_12,anthropic,compile_time_reservation_refused,9,10000,15010,150.1%,5010,0,0,23.014,lang001,7430,1516,,,15010,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:11:13.836448+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='cba630a6-c8cc-4f67-8ead-32109a423882'), limit=10000, used=8946, remaining=1054, pct_used=0.8946)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_13,anthropic,compile_time_reservation_refused,9,10000,15340,153.4%,5340,0,0,23.987,lang001,7580,1552,,,15340,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:11:39.323408+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='0c692c0b-eb48-4d4c-93bb-72fbffbe060c'), limit=10000, used=9132, remaining=868, pct_used=0.9132)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_14,anthropic,compile_time_reservation_refused,9,10000,15259,152.6%,5259,0,0,34.874,lang001,7579,1536,,,15259,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:12:15.697408+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='2855f9e9-3cea-4fbf-9d0a-d06b47acd567'), limit=10000, used=9115, remaining=885, pct_used=0.9115)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_15,anthropic,compile_time_reservation_refused,9,10000,16476,164.8%,6476,0,0,35.283,lang001,8226,1650,,,16476,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:12:52.480643+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='c7582248-fa7f-4b6e-b594-b2f246ca41de'), limit=10000, used=9876, remaining=124, pct_used=0.9876)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_16,anthropic,compile_time_reservation_refused,9,10000,15193,151.9%,5193,0,0,26.72,lang001,7498,1539,,,15193,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:13:20.700791+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='c57e1f21-db15-457d-9f74-b73f9c1bc97c'), limit=10000, used=9037, remaining=963, pct_used=0.9037)}, active_policy='default', next_threshold=None)",budget_block_exception
tokencap,trial_17,anthropic,compile_time_reservation_refused,9,10000,14704,147.0%,4704,0,0,32.533,lang001,7379,1465,,,14704,10000,0,0,"StatusResponse(timestamp='2026-05-19T08:13:54.734204+00:00', dimensions={'session': BudgetState(key=BudgetKey(dimension='session', identifier='7ec26294-80eb-49a7-b83e-452fcbc57ce3'), limit=10000, used=8844, remaining=1156, pct_used=0.8844)}, active_policy='default', next_threshold=None)",budget_block_exception
