runtime,workload,run_id,provider,outcome,agent_steps,cap_uc,total_spent_uc,remaining_uc,pct_of_cap,overshoot_uc,capital_efficiency,wall_seconds,actual_input_tokens,actual_output_tokens,count_tokens_calls,count_tokens_total_latency_ms,count_tokens_mean_latency_ms,error_repr
tokenizer_direct,arg-hallucination,trial_0,anthropic,compile_time_reservation_refused,5,5000,3380,1620,67.6%,0,1.0,10.825,1775,321,6,3546.0,591.0,"refused: predicted=1675uc, remaining=1620uc, input_tokens=675"
tokenizer_direct,arg-hallucination,trial_1,anthropic,compile_time_reservation_refused,6,5000,4146,854,82.9%,0,1.0,29.907,2401,349,7,19666.3,2809.5,"refused: predicted=1741uc, remaining=854uc, input_tokens=741"
tokenizer_direct,arg-hallucination,trial_2,anthropic,compile_time_reservation_refused,5,5000,3665,1335,73.3%,0,1.0,21.078,1775,378,6,11173.1,1862.2,"refused: predicted=1732uc, remaining=1335uc, input_tokens=732"
tokenizer_direct,arg-hallucination,trial_3,anthropic,compile_time_reservation_refused,6,5000,4088,912,81.8%,0,1.0,24.642,2403,337,7,12920.9,1845.8,"refused: predicted=1729uc, remaining=912uc, input_tokens=729"
tokenizer_direct,arg-hallucination,trial_4,anthropic,compile_time_reservation_refused,5,5000,3505,1495,70.1%,0,1.0,17.095,1780,345,6,7896.5,1316.1,"refused: predicted=1699uc, remaining=1495uc, input_tokens=699"
tokenizer_direct,arg-hallucination,trial_5,anthropic,compile_time_reservation_refused,6,5000,4104,896,82.1%,0,1.0,25.722,2399,341,7,14682.0,2097.4,"refused: predicted=1733uc, remaining=896uc, input_tokens=733"
tokenizer_direct,arg-hallucination,trial_6,anthropic,compile_time_reservation_refused,5,5000,3504,1496,70.1%,0,1.0,10.602,1779,345,6,3676.5,612.8,"refused: predicted=1699uc, remaining=1496uc, input_tokens=699"
tokenizer_direct,arg-hallucination,trial_7,anthropic,compile_time_reservation_refused,5,5000,3505,1495,70.1%,0,1.0,18.223,1780,345,6,8172.8,1362.1,"refused: predicted=1699uc, remaining=1495uc, input_tokens=699"
tokenizer_direct,arg-hallucination,trial_8,anthropic,compile_time_reservation_refused,5,5000,3504,1496,70.1%,0,1.0,32.51,1779,345,6,23361.6,3893.6,"refused: predicted=1699uc, remaining=1496uc, input_tokens=699"
tokenizer_direct,arg-hallucination,trial_9,anthropic,compile_time_reservation_refused,5,5000,3505,1495,70.1%,0,1.0,17.503,1780,345,6,5131.9,855.3,"refused: predicted=1699uc, remaining=1495uc, input_tokens=699"
