runtime,run_id,provider,outcome,agent_steps,cap_uc,total_spent_uc,remaining_uc,pct_of_cap,overshoot_uc,capital_efficiency,wall_seconds,workload,actual_input_tokens,actual_output_tokens,count_tokens_calls,count_tokens_total_latency_ms,count_tokens_mean_latency_ms,error_repr
tokenizer_direct,trial_0,anthropic,compile_time_reservation_refused,4,5000,4031,969,80.6%,0,1.0,15.616,lang001,1291,548,5,4323.5,864.7,"refused: predicted=1776uc, remaining=969uc, input_tokens=776"
tokenizer_direct,trial_1,anthropic,compile_time_reservation_refused,4,5000,3925,1075,78.5%,0,1.0,11.217,lang001,1265,532,5,2262.8,452.6,"refused: predicted=1760uc, remaining=1075uc, input_tokens=760"
tokenizer_direct,trial_2,anthropic,compile_time_reservation_refused,4,5000,3870,1130,77.4%,0,1.0,14.43,lang001,1265,521,5,5544.1,1108.8,"refused: predicted=1749uc, remaining=1130uc, input_tokens=749"
tokenizer_direct,trial_3,anthropic,compile_time_reservation_refused,4,5000,3965,1035,79.3%,0,1.0,12.312,lang001,1285,536,5,4129.7,825.9,"refused: predicted=1764uc, remaining=1035uc, input_tokens=764"
tokenizer_direct,trial_4,anthropic,compile_time_reservation_refused,4,5000,4784,216,95.7%,0,1.0,15.795,lang001,1444,668,5,4139.7,827.9,"refused: predicted=1902uc, remaining=216uc, input_tokens=902"
tokenizer_direct,trial_5,anthropic,compile_time_reservation_refused,4,5000,4570,430,91.4%,0,1.0,12.532,lang001,1415,631,5,3772.0,754.4,"refused: predicted=1859uc, remaining=430uc, input_tokens=859"
tokenizer_direct,trial_6,anthropic,compile_time_reservation_refused,4,5000,4693,307,93.9%,0,1.0,17.87,lang001,1418,655,5,7112.6,1422.5,"refused: predicted=1886uc, remaining=307uc, input_tokens=886"
tokenizer_direct,trial_7,anthropic,compile_time_reservation_refused,4,5000,4075,925,81.5%,0,1.0,12.764,lang001,1290,557,5,2948.2,589.6,"refused: predicted=1785uc, remaining=925uc, input_tokens=785"
tokenizer_direct,trial_8,anthropic,compile_time_reservation_refused,3,5000,3300,1700,66.0%,0,1.0,10.792,lang001,780,504,4,3906.5,976.6,"refused: predicted=1703uc, remaining=1700uc, input_tokens=703"
tokenizer_direct,trial_9,anthropic,compile_time_reservation_refused,4,5000,3885,1115,77.7%,0,1.0,15.105,lang001,1265,524,5,5267.1,1053.4,"refused: predicted=1752uc, remaining=1115uc, input_tokens=752"
tokenizer_direct,trial_10,anthropic,compile_time_reservation_refused,4,5000,4154,846,83.1%,0,1.0,14.027,lang001,1269,577,5,4521.3,904.3,"refused: predicted=1808uc, remaining=846uc, input_tokens=808"
tokenizer_direct,trial_11,anthropic,compile_time_reservation_refused,4,5000,3804,1196,76.1%,0,1.0,19.095,lang001,1254,510,5,8261.4,1652.3,"refused: predicted=1738uc, remaining=1196uc, input_tokens=738"
tokenizer_direct,trial_12,anthropic,compile_time_reservation_refused,4,5000,3940,1060,78.8%,0,1.0,18.432,lang001,1265,535,5,4385.1,877.0,"refused: predicted=1763uc, remaining=1060uc, input_tokens=763"
tokenizer_direct,trial_13,anthropic,compile_time_reservation_refused,4,5000,4741,259,94.8%,0,1.0,13.335,lang001,1426,663,5,3700.9,740.2,"refused: predicted=1894uc, remaining=259uc, input_tokens=894"
tokenizer_direct,trial_14,anthropic,compile_time_reservation_refused,4,5000,4059,941,81.2%,0,1.0,18.305,lang001,1269,558,5,5778.9,1155.8,"refused: predicted=1786uc, remaining=941uc, input_tokens=786"
tokenizer_direct,trial_15,anthropic,compile_time_reservation_refused,4,5000,4730,270,94.6%,0,1.0,17.545,lang001,1475,651,5,4531.4,906.3,"refused: predicted=1880uc, remaining=270uc, input_tokens=880"
tokenizer_direct,trial_16,anthropic,compile_time_reservation_refused,4,5000,4054,946,81.1%,0,1.0,21.016,lang001,1269,557,5,9909.5,1981.9,"refused: predicted=1785uc, remaining=946uc, input_tokens=785"
tokenizer_direct,trial_17,anthropic,count_tokens_error: Connection error.,0,5000,0,5000,0.0%,0,1.0,11.384,lang001,0,0,1,11358.5,11358.5,Connection error.
tokenizer_direct,trial_18,anthropic,compile_time_reservation_refused,4,5000,4006,994,80.1%,0,1.0,24.029,lang001,1291,543,5,14765.6,2953.1,"refused: predicted=1771uc, remaining=994uc, input_tokens=771"
tokenizer_direct,trial_19,anthropic,compile_time_reservation_refused,4,5000,4880,120,97.6%,0,1.0,13.172,lang001,1460,684,5,2937.9,587.6,"refused: predicted=1918uc, remaining=120uc, input_tokens=918"
tokenizer_direct,trial_20,anthropic,compile_time_reservation_refused,4,5000,4844,156,96.9%,0,1.0,11.932,lang001,1439,681,5,2985.2,597.0,"refused: predicted=1912uc, remaining=156uc, input_tokens=912"
tokenizer_direct,trial_21,anthropic,compile_time_reservation_refused,4,5000,4059,941,81.2%,0,1.0,14.307,lang001,1269,558,5,4954.2,990.8,"refused: predicted=1786uc, remaining=941uc, input_tokens=786"
tokenizer_direct,trial_22,anthropic,compile_time_reservation_refused,4,5000,4994,6,99.9%,0,1.0,13.449,lang001,1479,703,5,3193.2,638.6,"refused: predicted=1937uc, remaining=6uc, input_tokens=937"
tokenizer_direct,trial_23,anthropic,compile_time_reservation_refused,4,5000,3946,1054,78.9%,0,1.0,11.647,lang001,1241,541,5,2903.3,580.7,"refused: predicted=1769uc, remaining=1054uc, input_tokens=769"
tokenizer_direct,trial_24,anthropic,compile_time_reservation_refused,4,5000,3900,1100,78.0%,0,1.0,14.558,lang001,1265,527,5,3233.9,646.8,"refused: predicted=1755uc, remaining=1100uc, input_tokens=755"
tokenizer_direct,trial_25,anthropic,compile_time_reservation_refused,4,5000,3819,1181,76.4%,0,1.0,12.856,lang001,1254,513,5,3378.7,675.7,"refused: predicted=1741uc, remaining=1181uc, input_tokens=741"
tokenizer_direct,trial_26,anthropic,compile_time_reservation_refused,4,5000,4070,930,81.4%,0,1.0,14.154,lang001,1290,556,5,2898.6,579.7,"refused: predicted=1784uc, remaining=930uc, input_tokens=784"
tokenizer_direct,trial_27,anthropic,compile_time_reservation_refused,4,5000,3974,1026,79.5%,0,1.0,19.631,lang001,1284,538,5,6239.5,1247.9,"refused: predicted=1766uc, remaining=1026uc, input_tokens=766"
tokenizer_direct,trial_28,anthropic,compile_time_reservation_refused,4,5000,4685,315,93.7%,0,1.0,12.647,lang001,1415,654,5,2877.7,575.5,"refused: predicted=1885uc, remaining=315uc, input_tokens=885"
tokenizer_direct,trial_29,anthropic,compile_time_reservation_refused,4,5000,3900,1100,78.0%,0,1.0,10.776,lang001,1265,527,5,2416.2,483.2,"refused: predicted=1755uc, remaining=1100uc, input_tokens=755"
