runtime,run_id,provider,workload,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds
autogen,1,anthropic,arg_hallucination,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,9.991
autogen,2,anthropic,arg_hallucination,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,11.827
autogen,3,anthropic,arg_hallucination,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,6.524
autogen,4,anthropic,arg_hallucination,structural_max_turns_hit,4,540,4880,903.7,4340,0,0,8.001
autogen,5,anthropic,arg_hallucination,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,8.248
autogen,6,anthropic,arg_hallucination,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,6.707
autogen,7,anthropic,arg_hallucination,structural_max_turns_hit,4,540,4855,899.07,4315,0,0,7.932
autogen,8,anthropic,arg_hallucination,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,7.332
autogen,9,anthropic,arg_hallucination,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,9.841
autogen,10,anthropic,arg_hallucination,structural_max_turns_hit,4,540,4880,903.7,4340,0,0,8.439
