runtime,run_id,provider,workload,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds
langgraph_only,1,anthropic,arg_hallucination,completed_no_cap_hit,2,540,2077,384.63,1537,0,0,4.1
langgraph_only,2,anthropic,arg_hallucination,completed_no_cap_hit,2,540,2077,384.63,1537,0,0,3.496
langgraph_only,3,anthropic,arg_hallucination,completed_no_cap_hit,2,540,2072,383.7,1532,0,0,2.9
langgraph_only,4,anthropic,arg_hallucination,completed_no_cap_hit,2,540,2077,384.63,1537,0,0,4.016
langgraph_only,5,anthropic,arg_hallucination,completed_no_cap_hit,2,540,2077,384.63,1537,0,0,4.171
langgraph_only,6,anthropic,arg_hallucination,completed_no_cap_hit,2,540,2077,384.63,1537,0,0,3.725
langgraph_only,7,anthropic,arg_hallucination,completed_no_cap_hit,2,540,2072,383.7,1532,0,0,3.901
langgraph_only,8,anthropic,arg_hallucination,completed_no_cap_hit,2,540,2072,383.7,1532,0,0,3.255
langgraph_only,9,anthropic,arg_hallucination,completed_no_cap_hit,2,540,2077,384.63,1537,0,0,6.004
langgraph_only,10,anthropic,arg_hallucination,completed_no_cap_hit,2,540,2077,384.63,1537,0,0,4.482
langgraph_with_guard,1,anthropic,arg_hallucination,runtime_guard_fired_after_call,1,540,862,159.63,322,0,862,1.367
langgraph_with_guard,2,anthropic,arg_hallucination,runtime_guard_fired_after_call,1,540,862,159.63,322,0,862,1.3
langgraph_with_guard,3,anthropic,arg_hallucination,runtime_guard_fired_after_call,1,540,862,159.63,322,0,862,1.496
langgraph_with_guard,4,anthropic,arg_hallucination,runtime_guard_fired_after_call,1,540,862,159.63,322,0,862,3.015
langgraph_with_guard,5,anthropic,arg_hallucination,runtime_guard_fired_after_call,1,540,862,159.63,322,0,862,1.434
langgraph_with_guard,6,anthropic,arg_hallucination,runtime_guard_fired_after_call,1,540,862,159.63,322,0,862,1.123
langgraph_with_guard,7,anthropic,arg_hallucination,runtime_guard_fired_after_call,1,540,862,159.63,322,0,862,1.1
langgraph_with_guard,8,anthropic,arg_hallucination,runtime_guard_fired_after_call,1,540,862,159.63,322,0,862,1.876
langgraph_with_guard,9,anthropic,arg_hallucination,runtime_guard_fired_after_call,1,540,862,159.63,322,0,862,1.047
langgraph_with_guard,10,anthropic,arg_hallucination,runtime_guard_fired_after_call,1,540,862,159.63,322,0,862,1.412
crewai,1,anthropic,arg_hallucination,completed_no_cap_hit,1,540,8299,1536.85,7759,0,0,20.844
crewai,2,anthropic,arg_hallucination,completed_no_cap_hit,1,540,6872,1272.59,6332,0,0,13.697
crewai,3,anthropic,arg_hallucination,completed_no_cap_hit,1,540,6622,1226.3,6082,0,0,18.408
crewai,4,anthropic,arg_hallucination,completed_no_cap_hit,1,540,6812,1261.48,6272,0,0,18.833
crewai,5,anthropic,arg_hallucination,completed_no_cap_hit,1,540,6772,1254.07,6232,0,0,16.218
crewai,6,anthropic,arg_hallucination,completed_no_cap_hit,1,540,6842,1267.04,6302,0,0,11.487
crewai,7,anthropic,arg_hallucination,completed_no_cap_hit,1,540,6782,1255.93,6242,0,0,10.856
crewai,8,anthropic,arg_hallucination,completed_no_cap_hit,1,540,7099,1314.63,6559,0,0,12.466
crewai,9,anthropic,arg_hallucination,completed_no_cap_hit,1,540,6747,1249.44,6207,0,0,10.379
crewai,10,anthropic,arg_hallucination,completed_no_cap_hit,1,540,7102,1315.19,6562,0,0,13.213
token_capabilities,1,anthropic,arg_hallucination,compile_time_reservation_refused,1,540,862,159.63,322,0,0,1.276
token_capabilities,2,anthropic,arg_hallucination,compile_time_reservation_refused,1,540,862,159.63,322,0,0,2.364
token_capabilities,3,anthropic,arg_hallucination,compile_time_reservation_refused,1,540,862,159.63,322,0,0,1.27
token_capabilities,4,anthropic,arg_hallucination,compile_time_reservation_refused,1,540,862,159.63,322,0,0,1.113
token_capabilities,5,anthropic,arg_hallucination,compile_time_reservation_refused,1,540,862,159.63,322,0,0,1.345
token_capabilities,6,anthropic,arg_hallucination,compile_time_reservation_refused,1,540,862,159.63,322,0,0,2.667
token_capabilities,7,anthropic,arg_hallucination,compile_time_reservation_refused,1,540,862,159.63,322,0,0,1.434
token_capabilities,8,anthropic,arg_hallucination,compile_time_reservation_refused,1,540,862,159.63,322,0,0,1.64
token_capabilities,9,anthropic,arg_hallucination,compile_time_reservation_refused,1,540,862,159.63,322,0,0,1.436
token_capabilities,10,anthropic,arg_hallucination,compile_time_reservation_refused,1,540,862,159.63,322,0,0,1.267
