runtime,run_id,provider,workload,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds
autogen,1,anthropic,clarification,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,9.612
autogen,2,anthropic,clarification,structural_max_turns_hit,4,540,4880,903.7,4340,0,0,7.374
autogen,3,anthropic,clarification,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,7.766
autogen,4,anthropic,clarification,structural_max_turns_hit,4,540,4850,898.15,4310,0,0,8.419
autogen,5,anthropic,clarification,structural_max_turns_hit,4,540,4900,907.41,4360,0,0,11.871
autogen,6,anthropic,clarification,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,8.064
autogen,7,anthropic,clarification,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,6.866
autogen,8,anthropic,clarification,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,9.875
autogen,9,anthropic,clarification,structural_max_turns_hit,4,540,4910,909.26,4370,0,0,6.782
autogen,10,anthropic,clarification,structural_max_turns_hit,4,540,4900,907.41,4360,0,0,11.449
