runtime,run_id,provider,workload,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds
langgraph_only,1,anthropic,clarification,completed_no_cap_hit,1,540,982,181.85,442,0,0,2.743
langgraph_only,2,anthropic,clarification,completed_no_cap_hit,1,540,982,181.85,442,0,0,1.764
langgraph_only,3,anthropic,clarification,completed_no_cap_hit,1,540,982,181.85,442,0,0,2.714
langgraph_only,4,anthropic,clarification,completed_no_cap_hit,1,540,982,181.85,442,0,0,1.846
langgraph_only,5,anthropic,clarification,completed_no_cap_hit,1,540,982,181.85,442,0,0,2.05
langgraph_only,6,anthropic,clarification,completed_no_cap_hit,1,540,982,181.85,442,0,0,2.256
langgraph_only,7,anthropic,clarification,completed_no_cap_hit,1,540,982,181.85,442,0,0,2.407
langgraph_only,8,anthropic,clarification,completed_no_cap_hit,1,540,982,181.85,442,0,0,1.568
langgraph_only,9,anthropic,clarification,completed_no_cap_hit,1,540,982,181.85,442,0,0,4.017
langgraph_only,10,anthropic,clarification,completed_no_cap_hit,1,540,982,181.85,442,0,0,1.902
langgraph_with_guard,1,anthropic,clarification,runtime_guard_fired_after_call,1,540,982,181.85,442,0,982,1.992
langgraph_with_guard,2,anthropic,clarification,runtime_guard_fired_after_call,1,540,982,181.85,442,0,982,1.843
langgraph_with_guard,3,anthropic,clarification,runtime_guard_fired_after_call,1,540,982,181.85,442,0,982,2.05
langgraph_with_guard,4,anthropic,clarification,runtime_guard_fired_after_call,1,540,982,181.85,442,0,982,1.432
langgraph_with_guard,5,anthropic,clarification,runtime_guard_fired_after_call,1,540,982,181.85,442,0,982,1.639
langgraph_with_guard,6,anthropic,clarification,runtime_guard_fired_after_call,1,540,982,181.85,442,0,982,2.867
langgraph_with_guard,7,anthropic,clarification,runtime_guard_fired_after_call,1,540,982,181.85,442,0,982,2.049
langgraph_with_guard,8,anthropic,clarification,runtime_guard_fired_after_call,1,540,982,181.85,442,0,982,2.367
langgraph_with_guard,9,anthropic,clarification,runtime_guard_fired_after_call,1,540,982,181.85,442,0,982,2.022
langgraph_with_guard,10,anthropic,clarification,runtime_guard_fired_after_call,1,540,982,181.85,442,0,982,1.781
crewai,1,anthropic,clarification,completed_no_cap_hit,1,540,6687,1238.33,6147,0,0,19.401
crewai,2,anthropic,clarification,completed_no_cap_hit,1,540,5582,1033.7,5042,0,0,12.321
crewai,3,anthropic,clarification,completed_no_cap_hit,1,540,6697,1240.19,6157,0,0,11.561
crewai,4,anthropic,clarification,completed_no_cap_hit,1,540,7082,1311.48,6542,0,0,12.99
crewai,5,anthropic,clarification,completed_no_cap_hit,1,540,5437,1006.85,4897,0,0,9.482
crewai,6,anthropic,clarification,completed_no_cap_hit,1,540,6692,1239.26,6152,0,0,12.621
crewai,7,anthropic,clarification,completed_no_cap_hit,1,540,6687,1238.33,6147,0,0,12.487
crewai,8,anthropic,clarification,completed_no_cap_hit,1,540,6577,1217.96,6037,0,0,10.848
crewai,9,anthropic,clarification,completed_no_cap_hit,1,540,7104,1315.56,6564,0,0,13.104
crewai,10,anthropic,clarification,completed_no_cap_hit,1,540,6752,1250.37,6212,0,0,11.262
token_capabilities,1,anthropic,clarification,compile_time_reservation_refused,1,540,982,181.85,442,0,0,5.097
token_capabilities,2,anthropic,clarification,compile_time_reservation_refused,1,540,982,181.85,442,0,0,1.432
token_capabilities,3,anthropic,clarification,compile_time_reservation_refused,1,540,982,181.85,442,0,0,3.48
token_capabilities,4,anthropic,clarification,compile_time_reservation_refused,1,540,982,181.85,442,0,0,4.415
token_capabilities,5,anthropic,clarification,compile_time_reservation_refused,1,540,982,181.85,442,0,0,1.355
token_capabilities,6,anthropic,clarification,compile_time_reservation_refused,1,540,982,181.85,442,0,0,1.413
token_capabilities,7,anthropic,clarification,compile_time_reservation_refused,1,540,982,181.85,442,0,0,2.643
token_capabilities,8,anthropic,clarification,compile_time_reservation_refused,1,540,982,181.85,442,0,0,1.844
token_capabilities,9,anthropic,clarification,compile_time_reservation_refused,1,540,982,181.85,442,0,0,4.015
token_capabilities,10,anthropic,clarification,compile_time_reservation_refused,1,540,982,181.85,442,0,0,1.319
