runtime,run_id,provider,workload,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds
autogen,1,openai,arg_hallucination,structural_max_turns_hit,4,540,173,32.04,0,367,0,7.573
autogen,2,openai,arg_hallucination,structural_max_turns_hit,4,540,173,32.04,0,367,0,7.552
autogen,3,openai,arg_hallucination,structural_max_turns_hit,4,540,174,32.22,0,366,0,6.765
autogen,4,openai,arg_hallucination,structural_max_turns_hit,4,540,174,32.22,0,366,0,11.269
autogen,5,openai,arg_hallucination,structural_max_turns_hit,4,540,173,32.04,0,367,0,9.427
autogen,6,openai,arg_hallucination,structural_max_turns_hit,4,540,173,32.04,0,367,0,7.522
autogen,7,openai,arg_hallucination,structural_max_turns_hit,4,540,173,32.04,0,367,0,7.248
autogen,8,openai,arg_hallucination,structural_max_turns_hit,4,540,173,32.04,0,367,0,5.593
autogen,9,openai,arg_hallucination,structural_max_turns_hit,4,540,173,32.04,0,367,0,5.115
autogen,10,openai,arg_hallucination,structural_max_turns_hit,4,540,173,32.04,0,367,0,6.651
