runtime,run_id,provider,workload,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds
langgraph_only,1,openai,arg_hallucination,completed_no_cap_hit,2,540,56,10.37,0,0,0,5.249
langgraph_only,2,openai,arg_hallucination,completed_no_cap_hit,2,540,56,10.37,0,0,0,2.784
langgraph_only,3,openai,arg_hallucination,completed_no_cap_hit,2,540,56,10.37,0,0,0,3.362
langgraph_only,4,openai,arg_hallucination,completed_no_cap_hit,2,540,57,10.56,0,0,0,3.689
langgraph_only,5,openai,arg_hallucination,completed_no_cap_hit,2,540,56,10.37,0,0,0,3.082
langgraph_only,6,openai,arg_hallucination,completed_no_cap_hit,2,540,56,10.37,0,0,0,3.475
langgraph_only,7,openai,arg_hallucination,completed_no_cap_hit,2,540,56,10.37,0,0,0,2.012
langgraph_only,8,openai,arg_hallucination,completed_no_cap_hit,2,540,56,10.37,0,0,0,2.775
langgraph_only,9,openai,arg_hallucination,completed_no_cap_hit,2,540,59,10.93,0,0,0,4.432
langgraph_only,10,openai,arg_hallucination,completed_no_cap_hit,2,540,56,10.37,0,0,0,3.532
langgraph_with_guard,1,openai,arg_hallucination,completed_no_cap_hit,2,540,56,10.37,0,0,0,1.998
langgraph_with_guard,2,openai,arg_hallucination,completed_no_cap_hit,2,540,56,10.37,0,0,0,2.871
langgraph_with_guard,3,openai,arg_hallucination,completed_no_cap_hit,2,540,56,10.37,0,0,0,3.672
langgraph_with_guard,4,openai,arg_hallucination,completed_no_cap_hit,2,540,59,10.93,0,0,0,2.8
langgraph_with_guard,5,openai,arg_hallucination,completed_no_cap_hit,2,540,56,10.37,0,0,0,2.636
langgraph_with_guard,6,openai,arg_hallucination,completed_no_cap_hit,2,540,56,10.37,0,0,0,2.708
langgraph_with_guard,7,openai,arg_hallucination,completed_no_cap_hit,2,540,56,10.37,0,0,0,3.471
langgraph_with_guard,8,openai,arg_hallucination,completed_no_cap_hit,2,540,56,10.37,0,0,0,2.485
langgraph_with_guard,9,openai,arg_hallucination,completed_no_cap_hit,2,540,56,10.37,0,0,0,2.264
langgraph_with_guard,10,openai,arg_hallucination,completed_no_cap_hit,2,540,59,10.93,0,0,0,4.251
crewai,1,openai,arg_hallucination,completed_no_cap_hit,1,540,432,80.0,0,0,0,13.119
crewai,2,openai,arg_hallucination,completed_no_cap_hit,1,540,427,79.07,0,0,0,12.276
crewai,3,openai,arg_hallucination,completed_no_cap_hit,1,540,425,78.7,0,0,0,11.866
crewai,4,openai,arg_hallucination,completed_no_cap_hit,1,540,431,79.81,0,0,0,12.162
crewai,5,openai,arg_hallucination,completed_no_cap_hit,1,540,424,78.52,0,0,0,10.467
crewai,6,openai,arg_hallucination,completed_no_cap_hit,1,540,429,79.44,0,0,0,10.236
crewai,7,openai,arg_hallucination,completed_no_cap_hit,1,540,431,79.81,0,0,0,10.3
crewai,8,openai,arg_hallucination,completed_no_cap_hit,1,540,434,80.37,0,0,0,11.905
crewai,9,openai,arg_hallucination,completed_no_cap_hit,1,540,420,77.78,0,0,0,8.451
crewai,10,openai,arg_hallucination,completed_no_cap_hit,1,540,432,80.0,0,0,0,12.217
token_capabilities,1,openai,arg_hallucination,compile_time_reservation_refused,8,540,380,70.37,0,0,0,13.081
token_capabilities,2,openai,arg_hallucination,compile_time_reservation_refused,8,540,404,74.81,0,0,0,14.738
token_capabilities,3,openai,arg_hallucination,compile_time_reservation_refused,8,540,402,74.44,0,0,0,14.124
token_capabilities,4,openai,arg_hallucination,compile_time_reservation_refused,8,540,382,70.74,0,0,0,15.965
token_capabilities,5,openai,arg_hallucination,compile_time_reservation_refused,8,540,417,77.22,0,0,0,18.006
token_capabilities,6,openai,arg_hallucination,compile_time_reservation_refused,8,540,396,73.33,0,0,0,20.068
token_capabilities,7,openai,arg_hallucination,compile_time_reservation_refused,8,540,387,71.67,0,0,0,15.147
token_capabilities,8,openai,arg_hallucination,compile_time_reservation_refused,8,540,387,71.67,0,0,0,16.982
token_capabilities,9,openai,arg_hallucination,compile_time_reservation_refused,8,540,395,73.15,0,0,0,19.198
token_capabilities,10,openai,arg_hallucination,compile_time_reservation_refused,8,540,383,70.93,0,0,0,11.506
