class,idx,reservation_uc,actual_uc,margin_ratio,violated
cjk_dense,0,1153,1027,1.122687,false
cjk_dense,1,1192,1041,1.145053,false
cjk_dense,2,1231,1054,1.167932,false
cjk_dense,3,1257,1060,1.185849,false
cjk_dense,4,1305,1079,1.209453,false
cjk_dense,5,1137,1019,1.115800,false
cjk_dense,6,1174,1034,1.135397,false
cjk_dense,7,1222,1054,1.159393,false
cjk_dense,8,1282,1074,1.193669,false
cjk_dense,9,1327,1087,1.220791,false
cjk_dense,10,1153,1027,1.122687,false
cjk_dense,11,1192,1041,1.145053,false
cjk_dense,12,1231,1054,1.167932,false
cjk_dense,13,1257,1060,1.185849,false
cjk_dense,14,1305,1079,1.209453,false
cjk_dense,15,1137,1019,1.115800,false
cjk_dense,16,1174,1034,1.135397,false
cjk_dense,17,1222,1054,1.159393,false
cjk_dense,18,1282,1074,1.193669,false
cjk_dense,19,1327,1087,1.220791,false
cjk_dense,20,1153,1027,1.122687,false
cjk_dense,21,1192,1041,1.145053,false
cjk_dense,22,1231,1054,1.167932,false
cjk_dense,23,1257,1060,1.185849,false
cjk_dense,24,1305,1079,1.209453,false
cjk_dense,25,1137,1019,1.115800,false
cjk_dense,26,1174,1034,1.135397,false
cjk_dense,27,1222,1054,1.159393,false
cjk_dense,28,1282,1074,1.193669,false
cjk_dense,29,1327,1087,1.220791,false
cjk_dense,30,1153,1027,1.122687,false
cjk_dense,31,1192,1041,1.145053,false
cjk_dense,32,1231,1054,1.167932,false
cjk_dense,33,1257,1060,1.185849,false
cjk_dense,34,1305,1079,1.209453,false
cjk_dense,35,1137,1019,1.115800,false
cjk_dense,36,1174,1034,1.135397,false
cjk_dense,37,1222,1054,1.159393,false
cjk_dense,38,1282,1074,1.193669,false
cjk_dense,39,1327,1087,1.220791,false
cjk_dense,40,1153,1027,1.122687,false
cjk_dense,41,1192,1041,1.145053,false
cjk_dense,42,1231,1054,1.167932,false
cjk_dense,43,1257,1060,1.185849,false
cjk_dense,44,1305,1079,1.209453,false
cjk_dense,45,1137,1019,1.115800,false
cjk_dense,46,1174,1034,1.135397,false
cjk_dense,47,1222,1054,1.159393,false
cjk_dense,48,1282,1074,1.193669,false
cjk_dense,49,1327,1087,1.220791,false
cjk_dense,50,1153,1027,1.122687,false
cjk_dense,51,1192,1041,1.145053,false
cjk_dense,52,1231,1054,1.167932,false
cjk_dense,53,1257,1060,1.185849,false
