cell,prompt_id,prompt_class,has_tools,request_body_bytes,tiktoken_estimator_tokens,anthropic_input_tokens,anthropic_output_tokens,bt_ratio,k_byte,k_tiktoken
cell_1_plain,1,plain_short,false,117,35,14,10,8.357142857142858,0.11965811965811966,0.4
cell_1_plain,2,plain_short,false,133,37,17,150,7.823529411764706,0.12781954887218044,0.4594594594594595
cell_1_plain,3,plain_short,false,146,38,18,150,8.11111111111111,0.1232876712328767,0.47368421052631576
cell_1_plain,4,plain_short,false,148,43,22,150,6.7272727272727275,0.14864864864864866,0.5116279069767442
cell_1_plain,5,plain_short,false,150,41,20,117,7.5,0.13333333333333333,0.4878048780487805
cell_1_plain,6,plain_short,false,147,42,23,101,6.391304347826087,0.1564625850340136,0.5476190476190477
cell_1_plain,7,plain_short,false,142,41,24,81,5.916666666666667,0.16901408450704225,0.5853658536585366
cell_1_plain,8,plain_short,false,157,41,21,150,7.476190476190476,0.1337579617834395,0.5121951219512195
cell_1_plain,9,plain_short,false,144,39,18,63,8.0,0.125,0.46153846153846156
cell_1_plain,10,plain_short,false,156,42,21,150,7.428571428571429,0.1346153846153846,0.5
cell_1_plain,11,plain_medium,false,404,87,71,150,5.690140845070423,0.17574257425742573,0.8160919540229885
cell_1_plain,12,plain_medium,false,374,85,70,150,5.3428571428571425,0.18716577540106952,0.8235294117647058
cell_1_plain,13,plain_medium,false,372,82,65,150,5.723076923076923,0.17473118279569894,0.7926829268292683
cell_1_plain,14,plain_medium,false,408,84,67,150,6.08955223880597,0.1642156862745098,0.7976190476190477
cell_1_plain,15,plain_medium,false,350,82,69,150,5.072463768115942,0.19714285714285715,0.8414634146341463
cell_1_plain,16,plain_medium,false,338,81,66,150,5.121212121212121,0.1952662721893491,0.8148148148148148
cell_1_plain,17,plain_medium,false,346,79,67,150,5.164179104477612,0.1936416184971098,0.8481012658227848
cell_1_plain,18,plain_medium,false,392,80,64,150,6.125,0.16326530612244897,0.8
cell_1_plain,19,plain_medium,false,360,92,77,150,4.675324675324675,0.21388888888888888,0.8369565217391305
cell_1_plain,20,plain_medium,false,372,82,66,150,5.636363636363637,0.1774193548387097,0.8048780487804879
cell_1_plain,21,plain_long,false,1990,402,437,150,4.553775743707094,0.21959798994974875,1.0870646766169154
cell_1_plain,22,plain_long,false,1867,384,406,150,4.598522167487685,0.21746116764863418,1.0572916666666667
cell_1_plain,23,plain_long,false,1593,367,387,150,4.116279069767442,0.24293785310734464,1.0544959128065394
cell_1_plain,24,plain_long,false,1625,325,343,150,4.737609329446064,0.21107692307692308,1.0553846153846154
cell_1_plain,25,plain_long,false,1769,368,386,150,4.582901554404145,0.2182023742227247,1.048913043478261
cell_1_plain,26,plain_long,false,1846,412,419,150,4.405727923627685,0.22697724810400866,1.016990291262136
cell_1_plain,27,plain_long,false,2014,413,447,150,4.505592841163311,0.22194637537239326,1.082324455205811
cell_1_plain,28,plain_long,false,1926,426,449,150,4.289532293986637,0.23312564901349947,1.0539906103286385
cell_1_plain,29,plain_long,false,1983,412,428,150,4.633177570093458,0.21583459404942007,1.0388349514563107
cell_1_plain,30,plain_long,false,1899,426,458,150,4.146288209606987,0.2411795681937862,1.0751173708920188
cell_2_tools,1,sql_retry,true,3174,657,1297,150,2.4471858134155746,0.4086326402016383,1.974124809741248
cell_2_tools,2,sql_retry,true,3155,651,1289,150,2.447633824670287,0.40855784469096673,1.9800307219662059
cell_2_tools,3,sql_retry,true,3177,653,1292,150,2.458978328173375,0.4066729619137551,1.9785604900459417
cell_2_tools,4,sql_retry,true,3174,656,1296,150,2.449074074074074,0.40831758034026466,1.975609756097561
cell_2_tools,5,clarification,true,3126,645,1283,150,2.436477007014809,0.4104286628278951,1.9891472868217055
cell_2_tools,6,clarification,true,3102,636,1278,79,2.427230046948357,0.4119922630560928,2.009433962264151
cell_2_tools,7,clarification,true,3096,638,1276,127,2.426332288401254,0.41214470284237725,2.0
cell_2_tools,8,clarification,true,3104,640,1279,150,2.4268960125097734,0.41204896907216493,1.9984375
cell_2_tools,9,arg_hallucination,true,3185,655,1297,150,2.4556669236700075,0.4072213500784929,1.9801526717557252
cell_2_tools,10,arg_hallucination,true,3147,649,1288,100,2.4433229813664594,0.40927867810613283,1.9845916795069338
cell_2_tools,11,sql_retry,true,3174,657,1297,150,2.4471858134155746,0.4086326402016383,1.974124809741248
cell_2_tools,12,sql_retry,true,3155,651,1289,150,2.447633824670287,0.40855784469096673,1.9800307219662059
cell_2_tools,13,sql_retry,true,3177,653,1292,150,2.458978328173375,0.4066729619137551,1.9785604900459417
cell_2_tools,14,sql_retry,true,3174,656,1296,150,2.449074074074074,0.40831758034026466,1.975609756097561
cell_2_tools,15,clarification,true,3126,645,1283,150,2.436477007014809,0.4104286628278951,1.9891472868217055
cell_2_tools,16,clarification,true,3102,636,1278,68,2.427230046948357,0.4119922630560928,2.009433962264151
