idx,estimator,reservation_nc,actual_nc,input_tokens,output_tokens,margin_ratio
0,byte-length,1441000,136000,21,23,10.595588
1,byte-length,1417000,508000,18,98,2.789370
2,byte-length,1430000,712000,22,138,2.008427
3,byte-length,1404000,176000,16,32,7.977273
4,byte-length,1436000,423000,28,79,3.394799
5,byte-length,1405000,393000,18,75,3.575064
6,byte-length,1391000,196000,16,36,7.096939
7,byte-length,1401000,644000,19,125,2.175466
8,byte-length,1418000,309000,19,58,4.588997
9,byte-length,1407000,290000,15,55,4.851724
10,byte-length,1442000,146000,21,25,9.876712
11,byte-length,1418000,1273000,18,251,1.113904
12,byte-length,1431000,612000,22,118,2.338235
13,byte-length,1405000,341000,16,65,4.120235
14,byte-length,1437000,573000,28,109,2.507853
15,byte-length,1406000,463000,18,89,3.036717
16,byte-length,1392000,196000,16,36,7.102041
17,byte-length,1402000,709000,19,138,1.977433
18,byte-length,1419000,294000,19,55,4.826531
19,byte-length,1407000,160000,15,29,8.793750
20,byte-length,1442000,146000,21,25,9.876712
21,byte-length,1418000,1298000,18,256,1.092450
22,byte-length,1431000,517000,22,99,2.767892
23,byte-length,1405000,81000,16,13,17.345679
24,byte-length,1437000,583000,28,111,2.464837
25,byte-length,1406000,423000,18,81,3.323877
26,byte-length,1392000,196000,16,36,7.102041
27,byte-length,1402000,914000,19,179,1.533917
28,byte-length,1419000,409000,19,78,3.469438
29,byte-length,1407000,300000,15,57,4.690000
30,byte-length,1442000,146000,21,25,9.876712
31,byte-length,1418000,1298000,18,256,1.092450
32,byte-length,1431000,632000,22,122,2.264241
33,byte-length,1405000,81000,16,13,17.345679
34,byte-length,1437000,523000,28,99,2.747610
35,byte-length,1406000,428000,18,82,3.285047
36,byte-length,1392000,161000,16,29,8.645963
37,byte-length,1402000,714000,19,139,1.963585
38,byte-length,1419000,374000,19,71,3.794118
39,byte-length,1407000,300000,15,57,4.690000
40,byte-length,1442000,151000,21,26,9.549669
41,byte-length,1418000,1298000,18,256,1.092450
42,byte-length,1431000,707000,22,137,2.024045
43,byte-length,1405000,81000,16,13,17.345679
44,byte-length,1437000,433000,28,81,3.318707
45,byte-length,1406000,448000,18,86,3.138393
46,byte-length,1392000,331000,16,63,4.205438
47,byte-length,1402000,559000,19,108,2.508050
48,byte-length,1419000,339000,19,64,4.185841
49,byte-length,1407000,340000,15,65,4.138235
50,byte-length,1442000,156000,21,27,9.243590
51,byte-length,1418000,1298000,18,256,1.092450
52,byte-length,1431000,712000,22,138,2.009831
53,byte-length,1405000,81000,16,13,17.345679
54,byte-length,1437000,578000,28,110,2.486159
55,byte-length,1406000,488000,18,94,2.881148
56,byte-length,1392000,161000,16,29,8.645963
57,byte-length,1402000,784000,19,153,1.788265
58,byte-length,1419000,374000,19,71,3.794118
59,byte-length,1407000,200000,15,37,7.035000
