idx,estimator,reservation_nc,actual_nc,input_tokens,output_tokens,margin_ratio
0,byte-length,175650,14550,21,19,12.072165
1,byte-length,172050,68400,16,110,2.515351
2,byte-length,174000,123900,18,202,1.404358
3,byte-length,170100,20850,15,31,8.158273
4,byte-length,174900,87900,26,140,1.989761
5,byte-length,170250,92550,17,150,1.839546
6,byte-length,168150,18900,14,28,8.896825
7,byte-length,169650,156300,18,256,1.085413
8,byte-length,172200,97500,18,158,1.766154
9,byte-length,170550,54900,14,88,3.106557
10,byte-length,175800,14550,21,19,12.082474
11,byte-length,172200,156000,16,256,1.103846
12,byte-length,174150,112500,18,183,1.548000
13,byte-length,170250,38850,15,61,4.382239
14,byte-length,175050,110700,26,178,1.581301
15,byte-length,170400,76350,17,123,2.231827
16,byte-length,168300,45900,14,73,3.666667
17,byte-length,169800,156300,18,256,1.086372
18,byte-length,172350,118500,18,193,1.454430
19,byte-length,170550,57900,14,93,2.945596
20,byte-length,175800,15150,21,20,11.603960
21,byte-length,172200,153000,16,251,1.125490
22,byte-length,174150,104100,18,169,1.672911
23,byte-length,170250,56850,15,91,2.994723
24,byte-length,175050,116700,26,188,1.500000
25,byte-length,170400,79950,17,129,2.131332
26,byte-length,168300,65700,14,106,2.561644
27,byte-length,169800,156300,18,256,1.086372
28,byte-length,172350,129300,18,211,1.332947
29,byte-length,170550,54300,14,87,3.140884
30,byte-length,175800,15150,21,20,11.603960
31,byte-length,172200,156000,16,256,1.103846
32,byte-length,174150,98700,18,160,1.764438
33,byte-length,170250,8250,15,10,20.636364
34,byte-length,175050,110700,26,178,1.581301
35,byte-length,170400,88950,17,144,1.915683
36,byte-length,168300,74700,14,121,2.253012
37,byte-length,169800,156300,18,256,1.086372
38,byte-length,172350,107100,18,174,1.609244
39,byte-length,170550,53700,14,86,3.175978
40,byte-length,175800,15750,21,21,11.161905
41,byte-length,172200,156000,16,256,1.103846
42,byte-length,174150,100500,18,163,1.732836
43,byte-length,170250,8250,15,10,20.636364
44,byte-length,175050,137100,26,222,1.276805
45,byte-length,170400,129150,17,211,1.319396
46,byte-length,168300,83700,14,136,2.010753
47,byte-length,169800,156300,18,256,1.086372
48,byte-length,172350,115500,18,188,1.492208
49,byte-length,170550,59100,14,95,2.885787
50,byte-length,175800,15150,21,20,11.603960
51,byte-length,172200,156000,16,256,1.103846
52,byte-length,174150,96900,18,157,1.797214
53,byte-length,170250,8250,15,10,20.636364
54,byte-length,175050,105900,26,170,1.652975
55,byte-length,170400,112350,17,183,1.516689
56,byte-length,168300,76500,14,124,2.200000
57,byte-length,169800,156300,18,256,1.086372
58,byte-length,172350,137100,18,224,1.257112
59,byte-length,170550,51900,14,83,3.286127
60,byte-length,175800,16350,21,22,10.752294
61,byte-length,172200,156000,16,256,1.103846
62,byte-length,174150,96900,18,157,1.797214
63,byte-length,170250,8250,15,10,20.636364
64,byte-length,175050,107700,26,173,1.625348
65,byte-length,170400,108150,17,176,1.575589
66,byte-length,168300,57300,14,92,2.937173
67,byte-length,169800,156300,18,256,1.086372
68,byte-length,172350,86100,18,139,2.001742
69,byte-length,170550,53100,14,85,3.211864
70,byte-length,175800,15750,21,21,11.161905
71,byte-length,172200,156000,16,256,1.103846
72,byte-length,174150,98700,18,160,1.764438
73,byte-length,170250,8250,15,10,20.636364
74,byte-length,175050,122100,26,197,1.433661
75,byte-length,170400,103350,17,168,1.648766
76,byte-length,168300,53700,14,86,3.134078
77,byte-length,169800,156300,18,256,1.086372
78,byte-length,172350,81900,18,132,2.104396
79,byte-length,170550,53100,14,85,3.211864
80,byte-length,175800,15750,21,21,11.161905
81,byte-length,172200,156000,16,256,1.103846
82,byte-length,174150,129900,18,212,1.340647
83,byte-length,170250,8250,15,10,20.636364
84,byte-length,175050,115500,26,186,1.515584
85,byte-length,170400,102150,17,166,1.668135
86,byte-length,168300,69300,14,112,2.428571
87,byte-length,169800,156300,18,256,1.086372
88,byte-length,172350,117300,18,191,1.469309
89,byte-length,170550,51900,14,83,3.286127
90,byte-length,175800,15750,21,21,11.161905
91,byte-length,172200,156000,16,256,1.103846
92,byte-length,174150,91500,18,148,1.903279
93,byte-length,170250,8250,15,10,20.636364
94,byte-length,175050,102300,26,164,1.711144
95,byte-length,170400,112950,17,184,1.508632
96,byte-length,168300,71700,14,116,2.347280
97,byte-length,169800,151500,18,248,1.120792
98,byte-length,172350,117300,18,191,1.469309
99,byte-length,170700,44700,14,71,3.818792
0,tiktoken/cl100k_base,159450,14550,21,19,10.958763
1,tiktoken/cl100k_base,158550,69600,16,112,2.278017
2,tiktoken/cl100k_base,158850,112500,18,183,1.412000
3,tiktoken/cl100k_base,158700,19650,15,29,8.076336
4,tiktoken/cl100k_base,160200,106500,26,171,1.504225
5,tiktoken/cl100k_base,158700,93750,17,152,1.692800
6,tiktoken/cl100k_base,158550,15900,14,23,9.971698
7,tiktoken/cl100k_base,158850,156300,18,256,1.016315
8,tiktoken/cl100k_base,159150,99900,18,162,1.593093
9,tiktoken/cl100k_base,158250,51900,14,83,3.049133
10,tiktoken/cl100k_base,159450,14550,21,19,10.958763
11,tiktoken/cl100k_base,158550,156000,16,256,1.016346
12,tiktoken/cl100k_base,158850,129900,18,212,1.222864
13,tiktoken/cl100k_base,158700,38850,15,61,4.084942
14,tiktoken/cl100k_base,160200,102300,26,164,1.565982
15,tiktoken/cl100k_base,158700,79950,17,129,1.984991
16,tiktoken/cl100k_base,158550,59100,14,95,2.682741
17,tiktoken/cl100k_base,158850,156300,18,256,1.016315
18,tiktoken/cl100k_base,159150,104700,18,170,1.520057
19,tiktoken/cl100k_base,158250,53100,14,85,2.980226
20,tiktoken/cl100k_base,159450,15750,21,21,10.123810
21,tiktoken/cl100k_base,158550,147000,16,241,1.078571
22,tiktoken/cl100k_base,158850,97500,18,158,1.629231
23,tiktoken/cl100k_base,158700,56850,15,91,2.791557
24,tiktoken/cl100k_base,160200,111900,26,180,1.431635
25,tiktoken/cl100k_base,158700,84750,17,137,1.872566
26,tiktoken/cl100k_base,158550,59700,14,96,2.655779
27,tiktoken/cl100k_base,158850,156300,18,256,1.016315
28,tiktoken/cl100k_base,159150,89700,18,145,1.774247
29,tiktoken/cl100k_base,158250,55500,14,89,2.851351
30,tiktoken/cl100k_base,159450,15150,21,20,10.524752
31,tiktoken/cl100k_base,158550,156000,16,256,1.016346
32,tiktoken/cl100k_base,158850,85500,18,138,1.857895
33,tiktoken/cl100k_base,158700,8250,15,10,19.236364
34,tiktoken/cl100k_base,160200,102900,26,165,1.556851
35,tiktoken/cl100k_base,158700,103950,17,169,1.526696
36,tiktoken/cl100k_base,158550,53700,14,86,2.952514
37,tiktoken/cl100k_base,158850,156300,18,256,1.016315
