idx,scenario,turns_completed,turns_attempted,total_reserved_nc,total_actual_nc,total_refund_nc,final_budget_nc,violations,exhausted_early
0,trip_planning,12,12,141055000,60753000,80302000,89247000,0,false
1,code_debug,12,12,137517000,65775000,71742000,84225000,0,false
2,rust_learning,12,12,114473000,48301000,66172000,101699000,0,false
3,podcast_brainstorm,12,12,97145000,27547000,69598000,122453000,0,false
4,essay_revision,12,12,118031000,24738000,93293000,125262000,0,false
5,math_problem,12,12,101127000,47745000,53382000,102255000,0,false
6,tech_compare,12,12,158197000,65645000,92552000,84355000,0,false
7,recipe_iter,12,12,93832000,34076000,59756000,115924000,0,false
8,trip_planning,12,12,151030000,59681000,91349000,90319000,0,false
9,code_debug,12,12,141349000,66329000,75020000,83671000,0,false
10,rust_learning,12,12,117561000,51392000,66169000,98608000,0,false
11,podcast_brainstorm,12,12,99051000,28470000,70581000,121530000,0,false
12,essay_revision,12,12,117332000,25140000,92192000,124860000,0,false
13,math_problem,12,12,102830000,50526000,52304000,99474000,0,false
14,tech_compare,12,12,157001000,65635000,91366000,84365000,0,false
15,recipe_iter,12,12,95509000,34691000,60818000,115309000,0,false
16,trip_planning,12,12,156016000,60509000,95507000,89491000,0,false
17,code_debug,12,12,141649000,63826000,77823000,86174000,0,false
18,rust_learning,12,12,114530000,49535000,64995000,100465000,0,false
19,podcast_brainstorm,12,12,100738000,28714000,72024000,121286000,0,false
20,essay_revision,12,12,99952000,21495000,78457000,118267000,0,false
21,math_problem,12,12,63827000,34220000,29607000,94994000,0,false
22,tech_compare,12,12,75380000,35627000,39753000,101279000,0,false
23,recipe_iter,12,12,95289000,33566000,61723000,116434000,0,false
24,trip_planning,12,12,145775000,60061000,85714000,89939000,0,false
25,code_debug,12,12,139789000,61069000,78720000,88931000,0,false
26,rust_learning,12,12,109887000,48969000,60918000,101031000,0,false
27,podcast_brainstorm,12,12,101374000,28900000,72474000,121100000,0,false
28,essay_revision,12,12,114728000,24063000,90665000,125937000,0,false
29,math_problem,12,12,103756000,48556000,55200000,101444000,0,false
30,tech_compare,12,12,155687000,65644000,90043000,84356000,0,false
31,recipe_iter,12,12,94431000,33820000,60611000,116180000,0,false
32,trip_planning,12,12,153123000,61238000,91885000,88762000,0,false
33,code_debug,12,12,134669000,62998000,71671000,87002000,0,false
34,rust_learning,12,12,111527000,47809000,63718000,102191000,0,false
35,podcast_brainstorm,12,12,99269000,28530000,70739000,121470000,0,false
36,essay_revision,12,12,118750000,25350000,93400000,124650000,0,false
37,math_problem,12,12,103544000,49132000,54412000,100868000,0,false
38,tech_compare,12,12,152820000,65637000,87183000,84363000,0,false
39,recipe_iter,12,12,90160000,31319000,58841000,118681000,0,false
40,trip_planning,12,12,156562000,61424000,95138000,88576000,0,false
41,code_debug,12,12,139861000,65992000,73869000,84008000,0,false
42,rust_learning,12,12,110931000,48070000,62861000,101930000,0,false
43,podcast_brainstorm,12,12,95727000,27110000,68617000,122890000,0,false
44,essay_revision,12,12,112371000,23903000,88468000,126097000,0,false
45,math_problem,12,12,97950000,46888000,51062000,103112000,0,false
46,tech_compare,12,12,152429000,65626000,86803000,84374000,0,false
47,recipe_iter,12,12,90949000,32208000,58741000,117792000,0,false
48,trip_planning,12,12,125259000,52881000,72378000,76261000,0,false
49,code_debug,12,12,132482000,63858000,68624000,86142000,0,false
50,rust_learning,12,12,111044000,46734000,64310000,103266000,0,false
51,podcast_brainstorm,12,12,80947000,23137000,57810000,123045000,0,false
52,essay_revision,12,12,117385000,24719000,92666000,125281000,0,false
53,math_problem,12,12,102815000,47446000,55369000,102554000,0,false
54,tech_compare,12,12,158744000,65640000,93104000,84360000,0,false
55,recipe_iter,12,12,93072000,34371000,58701000,115629000,0,false
56,trip_planning,12,12,146300000,59330000,86970000,90670000,0,false
57,code_debug,12,12,143207000,65083000,78124000,84917000,0,false
58,rust_learning,12,12,107649000,45256000,62393000,104744000,0,false
59,podcast_brainstorm,12,12,98572000,28149000,70423000,121851000,0,false
60,essay_revision,12,12,113042000,23235000,89807000,126765000,0,false
61,math_problem,12,12,100817000,46687000,54130000,103313000,0,false
62,tech_compare,12,12,153684000,65652000,88032000,84348000,0,false
63,recipe_iter,12,12,93771000,34645000,59126000,115355000,0,false
64,trip_planning,12,12,150806000,60261000,90545000,89739000,0,false
65,code_debug,12,12,130271000,64703000,65568000,85297000,0,false
66,rust_learning,12,12,118206000,51974000,66232000,98026000,0,false
67,podcast_brainstorm,12,12,96933000,27650000,69283000,122350000,0,false
68,essay_revision,12,12,115189000,23764000,91425000,126236000,0,false
69,math_problem,12,12,108837000,54972000,53865000,95028000,0,false
70,tech_compare,12,12,160192000,65636000,94556000,84364000,0,false
71,recipe_iter,12,12,88986000,30628000,58358000,119372000,0,false
72,trip_planning,12,12,148948000,59837000,89111000,90163000,0,false
73,code_debug,12,12,135725000,65926000,69799000,84074000,0,false
74,rust_learning,12,12,101740000,40300000,61440000,109700000,0,false
75,podcast_brainstorm,12,12,95684000,26306000,69378000,123694000,0,false
76,essay_revision,12,12,116091000,23969000,92122000,126031000,0,false
77,math_problem,12,12,101596000,47504000,54092000,102496000,0,false
78,tech_compare,12,12,154223000,65646000,88577000,84354000,0,false
79,recipe_iter,12,12,87660000,31358000,56302000,118642000,0,false
80,trip_planning,12,12,150415000,58564000,91851000,91436000,0,false
81,code_debug,12,12,130529000,64758000,65771000,85242000,0,false
82,rust_learning,12,12,107257000,45807000,61450000,104193000,0,false
83,podcast_brainstorm,12,12,100396000,29378000,71018000,120622000,0,false
84,essay_revision,12,12,117928000,24770000,93158000,125230000,0,false
85,math_problem,12,12,103663000,49164000,54499000,100836000,0,false
86,tech_compare,12,12,159244000,65644000,93600000,84356000,0,false
87,recipe_iter,12,12,92040000,33690000,58350000,116310000,0,false
88,trip_planning,12,12,146179000,59841000,86338000,90159000,0,false
89,code_debug,12,12,140589000,66239000,74350000,83761000,0,false
90,rust_learning,12,12,106794000,45767000,61027000,104233000,0,false
91,podcast_brainstorm,12,12,98304000,27404000,70900000,122596000,0,false
92,essay_revision,12,12,120105000,25534000,94571000,124466000,0,false
93,math_problem,12,12,99751000,47057000,52694000,102943000,0,false
94,tech_compare,12,12,160009000,65643000,94366000,84357000,0,false
95,recipe_iter,12,12,88810000,31548000,57262000,118452000,0,false
96,trip_planning,12,12,146888000,58958000,87930000,91042000,0,false
97,code_debug,12,12,135755000,62176000,73579000,87824000,0,false
98,rust_learning,12,12,109591000,45584000,64007000,104416000,0,false
99,podcast_brainstorm,12,12,105549000,31391000,74158000,118609000,0,false
