session_idx,turn_idx,scenario,reservation_nc,actual_nc,refund_nc,input_tokens,output_tokens,body_bytes,margin_ratio,violated,latency_ms
0,0,trip_planning,2730000,2183000,547000,28,431,170,1.250573,false,5897
0,1,trip_planning,4251000,3030000,1221000,470,512,1691,1.402970,false,5126
0,2,trip_planning,5962000,3558000,2404000,998,512,3402,1.675660,false,5187
0,3,trip_planning,7413000,4085000,3328000,1525,512,4853,1.814688,false,8234
0,4,trip_planning,9309000,4611000,4698000,2051,512,6749,2.018868,false,6122
0,5,trip_planning,10982000,5138000,5844000,2578,512,8422,2.137408,false,6375
0,6,trip_planning,12677000,5667000,7010000,3107,512,10117,2.236986,false,6063
0,7,trip_planning,14366000,6193000,8173000,3633,512,11806,2.319716,false,8896
0,8,trip_planning,16069000,6724000,9345000,4164,512,13509,2.389798,false,6099
0,9,trip_planning,17554000,7254000,10300000,4694,512,14994,2.419906,false,9719
0,10,trip_planning,19409000,6249000,13160000,5224,205,16849,3.105937,false,17136
0,11,trip_planning,20333000,6061000,14272000,5441,124,17773,3.354727,false,3412
1,0,code_debug,2939000,2662000,277000,107,511,379,1.104057,false,4169
1,1,code_debug,4481000,3197000,1284000,637,512,1921,1.401627,false,4380
1,2,code_debug,5674000,3722000,1952000,1162,512,3114,1.524449,false,5780
1,3,code_debug,7428000,4252000,3176000,1692,512,4868,1.746943,false,3558
1,4,code_debug,8492000,4776000,3716000,2216,512,5932,1.778057,false,4234
1,5,code_debug,10056000,5300000,4756000,2740,512,7496,1.897358,false,3850
1,6,code_debug,11838000,5812000,6026000,3267,509,9278,2.036820,false,5606
1,7,code_debug,13619000,6349000,7270000,3789,512,11059,2.145062,false,8534
1,8,code_debug,15496000,6875000,8621000,4315,512,12936,2.253964,false,4767
1,9,code_debug,17320000,7401000,9919000,4841,512,14760,2.340224,false,4637
1,10,code_debug,19209000,7667000,11542000,5367,460,16649,2.505413,false,4983
1,11,code_debug,20965000,7762000,13203000,5837,385,18405,2.700979,false,6258
2,0,rust_learning,2695000,619000,2076000,19,120,135,4.353796,false,2152
2,1,rust_learning,3318000,1532000,1786000,152,276,758,2.165796,false,3255
2,2,rust_learning,4189000,2184000,2005000,444,348,1629,1.918040,false,3538
2,3,rust_learning,5258000,2722000,2536000,802,384,2698,1.931668,false,4895
2,4,rust_learning,6729000,3343000,3386000,1198,429,4169,2.012863,false,4668
2,5,rust_learning,8180000,3891000,4289000,1641,450,5620,2.102287,false,4561
2,6,rust_learning,9683000,4668000,5015000,2108,512,7123,2.074336,false,5191
2,7,rust_learning,11432000,5197000,6235000,2637,512,8872,2.199731,false,11666
2,8,rust_learning,13225000,5725000,7500000,3165,512,10665,2.310044,false,10864
2,9,rust_learning,15012000,6252000,8760000,3692,512,12452,2.401152,false,7181
2,10,rust_learning,16748000,5700000,11048000,4220,296,14188,2.938246,false,10784
2,11,rust_learning,18004000,6468000,11536000,4528,388,15444,2.783550,false,6582
3,0,podcast_brainstorm,2715000,1240000,1475000,25,243,155,2.189516,false,3748
3,1,podcast_brainstorm,3916000,1589000,2327000,279,262,1356,2.464443,false,4178
3,2,podcast_brainstorm,5141000,1855000,3286000,555,260,2581,2.771429,false,4169
3,3,podcast_brainstorm,6374000,1128000,5246000,828,60,3814,5.650709,false,1597
3,4,podcast_brainstorm,6707000,1913000,4794000,903,202,4147,3.506012,false,4193
3,5,podcast_brainstorm,7659000,1949000,5710000,1114,167,5099,3.929708,false,2557
3,6,podcast_brainstorm,8395000,2056000,6339000,1291,153,5835,4.083171,false,6055
3,7,podcast_brainstorm,9173000,2863000,6310000,1458,281,6613,3.203982,false,4204
3,8,podcast_brainstorm,10396000,2880000,7516000,1750,226,7836,3.609722,false,3869
3,9,podcast_brainstorm,11430000,2513000,8917000,1988,105,8870,4.548349,false,3230
3,10,podcast_brainstorm,12015000,3478000,8537000,2103,275,9455,3.454572,false,4898
3,11,podcast_brainstorm,13224000,4083000,9141000,2388,339,10664,3.238795,false,6292
4,0,essay_revision,2714000,1099000,1615000,19,216,154,2.469518,false,4544
4,1,essay_revision,4164000,1535000,2629000,245,258,1604,2.712704,false,3009
4,2,essay_revision,5908000,1251000,4657000,516,147,3348,4.722622,false,2418
