idx,reservation_nc,actual_nc,refund_nc,input_tokens,completion_tokens,reasoning_tokens,visible_output_tokens,latency_ms,margin_ratio,output_capped
0,18218200,941600,17276600,28,207,64,143,7909,19.348131,false
1,18311700,2038300,16273400,45,452,256,196,4722,8.983810,false
2,18206100,2600400,15605700,20,586,320,266,6956,7.001269,false
3,18221500,2393600,15827900,32,536,192,344,6983,7.612592,false
4,18196200,1555400,16640800,26,347,128,219,4573,11.698727,false
5,18267700,2110900,16156800,27,473,320,153,4933,8.653986,false
6,18312800,1335400,16977400,34,295,128,167,3740,13.713344,false
7,18239100,1668700,16570400,25,373,128,245,4053,10.930125,false
8,18232500,2029500,16203000,25,455,320,135,4296,8.983740,false
9,18278700,4290000,13988700,28,968,832,136,8119,4.260769,false
10,18218200,858000,17360200,28,188,64,124,3412,21.233333,false
11,18311700,2289100,16022600,45,509,320,189,5144,7.999519,false
12,18206100,2103200,16102900,20,473,256,217,6252,8.656381,false
13,18221500,1579600,16641900,32,351,192,159,4299,11.535515,false
14,18196200,1955800,16240400,26,438,192,246,5053,9.303712,false
15,18267700,1635700,16632000,27,365,192,173,4340,11.168124,false
16,18312800,2329800,15983000,34,521,256,265,4956,7.860246,false
17,18239100,2157100,16082000,25,484,192,292,14233,8.455380,false
18,18232500,2205500,16027000,25,495,384,111,5447,8.266833,false
19,18278700,7374400,10904300,28,1669,1536,133,12985,2.478669,false
20,18218200,840400,17377800,28,184,64,120,3051,21.678010,false
21,18311700,1259500,17052200,45,275,128,147,4168,14.538865,false
22,18206100,1249600,16956500,20,279,128,151,4027,14.569542,false
23,18221500,1971200,16250300,32,440,256,184,4742,9.243862,false
24,18196200,1577400,16618800,26,352,64,288,4518,11.535565,false
25,18267700,1569700,16698000,27,350,192,158,4645,11.637701,false
26,18312800,2791800,15521000,34,626,384,242,6340,6.559496,false
27,18239100,2082300,16156800,25,467,128,339,5144,8.759113,false
28,18232500,1475100,16757400,25,329,192,137,4930,12.360179,false
29,18278700,6560400,11718300,28,1484,1344,140,11064,2.786217,false
30,18218200,1166000,17052200,28,258,128,130,4115,15.624528,false
31,18311700,1334300,16977400,45,292,128,164,5246,13.723825,false
32,18206100,2120800,16085300,20,477,192,285,5322,8.584544,false
33,18221500,1641200,16580300,32,365,128,237,6255,11.102547,false
34,18196200,1542200,16654000,26,344,0,344,5574,11.798859,false
35,18267700,2568500,15699200,27,577,384,193,6527,7.112206,false
36,18312800,745800,17567000,34,161,64,97,2730,24.554572,false
37,18239100,2170300,16068800,25,487,192,295,5269,8.403953,false
38,18232500,1413500,16819000,25,315,192,123,3669,12.898833,false
39,18278700,5702400,12576300,28,1289,1152,137,9744,3.205440,false
40,18218200,827200,17391000,28,181,64,117,3224,22.023936,false
41,18311700,1712700,16599000,45,378,192,186,4742,10.691715,false
42,18206100,1311200,16894900,20,293,128,165,4381,13.885067,false
43,18221500,1562000,16659500,32,347,192,155,3921,11.665493,false
44,18196200,1546600,16649600,26,345,64,281,12155,11.765292,false
45,18267700,2256100,16011600,27,506,256,250,5816,8.097026,false
46,18312800,1287000,17025800,34,284,128,156,5085,14.229060,false
47,18239100,2579500,15659600,25,580,256,324,6708,7.070789,false
48,18232500,1109900,17122600,25,246,128,118,3470,16.427156,false
49,18278700,3638800,14639900,28,820,704,116,7784,5.023277,false
50,18218200,858000,17360200,28,188,64,124,3258,21.233333,false
51,18311700,1294700,17017000,45,283,128,155,3598,14.143585,false
52,18206100,1856800,16349300,20,417,128,289,6254,9.805095,false
53,18221500,2063600,16157900,32,461,192,269,5064,8.829957,false
54,18196200,1859000,16337200,26,416,192,224,4775,9.788166,false
55,18267700,1794100,16473600,27,401,192,209,4401,10.182097,false
56,18312800,1969000,16343800,34,439,256,183,5510,9.300559,false
57,18239100,1844700,16394400,25,413,192,221,5298,9.887299,false
58,18232500,1347500,16885000,25,300,192,108,3430,13.530612,false
59,18278700,3432000,14846700,28,773,640,133,8920,5.325962,false
60,18218200,871200,17347000,28,191,64,127,2506,20.911616,false
61,18311700,1783100,16528600,45,394,256,138,5105,10.269587,false
62,18206100,2855600,15350500,20,644,320,324,6333,6.375578,false
63,18221500,1848000,16373500,32,412,128,284,5499,9.860119,false
64,18196200,1784200,16412000,26,399,64,335,6429,10.198520,false
65,18267700,1574100,16693600,27,351,192,159,4947,11.605171,false
66,18312800,3236200,15076600,34,727,512,215,28721,5.658736,false
67,18239100,2513500,15725600,25,565,256,309,7786,7.256455,false
68,18232500,1778700,16453800,25,398,256,142,4179,10.250464,false
69,18278700,3467200,14811500,28,781,640,141,7547,5.271891,false
70,18218200,858000,17360200,28,188,64,124,4775,21.233333,false
71,18311700,1703900,16607800,45,376,192,184,4191,10.746934,false
72,18206100,2714800,15491300,20,612,320,292,6503,6.706240,false
73,18221500,1971200,16250300,32,440,192,248,9972,9.243862,false
74,18196200,1722600,16473600,26,385,128,257,4738,10.563218,false
75,18267700,2625700,15642000,27,590,320,270,18314,6.957269,false
76,18312800,1273800,17039000,34,281,192,89,3237,14.376511,false
77,18239100,2060300,16178800,25,462,192,270,4679,8.852643,false
78,18232500,1505900,16726600,25,336,192,144,4231,12.107378,false
79,18278700,3489200,14789500,28,786,640,146,7436,5.238651,false
80,18218200,541200,17677000,28,116,0,116,2595,33.662602,false
81,18311700,1488300,16823400,45,327,192,135,5586,12.303769,false
82,18206100,1135200,17070900,20,253,128,125,4476,16.037791,false
83,18221500,1588400,16633100,32,353,128,225,4389,11.471607,false
84,18196200,1265000,16931200,26,281,64,217,3293,14.384348,false
85,18267700,2264900,16002800,27,508,320,188,5423,8.065566,false
86,18312800,2585000,15727800,34,579,384,195,6251,7.084255,false
87,18239100,2099900,16139200,25,471,256,215,5277,8.685699,false
88,18232500,1479500,16753000,25,330,192,138,4577,12.323420,false
89,18278700,4012800,14265900,28,905,768,137,6865,4.555099,false
90,18218200,1117600,17100600,28,247,128,119,9086,16.301181,false
91,18311700,1334300,16977400,45,292,128,164,3779,13.723825,false
92,18206100,2173600,16032500,20,489,256,233,4838,8.376012,false
93,18221500,2477200,15744300,32,555,256,299,5522,7.355684,false
94,18196200,1661000,16535200,26,371,128,243,4254,10.954967,false
95,18267700,1842500,16425200,27,412,256,156,5605,9.914627,false
96,18312800,1287000,17025800,34,284,192,92,3625,14.229060,false
97,18239100,1950300,16288800,25,437,128,309,4320,9.351946,false
98,18232500,1532300,16700200,25,342,192,150,4753,11.898780,false
99,18278700,9350000,8928700,28,2118,1984,134,17933,1.954941,false
