idx,reservation_uc,actual_uc,refund_uc,input_tokens,output_tokens,latency_ms,margin_ratio
0,1130,456,674,16,88,3411,2.478070
1,1144,923,221,18,181,2520,1.239437
2,1110,1010,100,10,200,2251,1.099010
3,1128,669,459,14,131,3441,1.686099
4,1123,568,555,13,111,2009,1.977113
5,1125,708,417,13,139,2634,1.588983
6,1140,254,886,14,48,1479,4.488189
7,1140,1017,123,17,200,3057,1.120944
8,1153,167,986,22,29,1055,6.904192
9,1126,501,625,16,97,2092,2.247505
10,1131,221,910,16,41,1326,5.117647
11,1142,1018,124,18,200,3129,1.121807
12,1118,1011,107,11,200,2508,1.105836
13,1131,1013,118,13,200,3237,1.116486
14,1129,873,256,13,172,3606,1.293242
15,1130,1016,114,16,200,3444,1.112205
16,1135,415,720,15,80,1713,2.734940
17,1148,1017,131,17,200,3204,1.128810
18,1154,988,166,23,193,3339,1.168016
19,1127,439,688,14,85,2326,2.567198
20,1131,281,850,16,53,1788,4.024911
21,1135,1017,118,17,200,3993,1.116028
22,1111,1010,101,10,200,3253,1.100000
23,1130,1015,115,15,200,2574,1.113300
24,1128,294,834,14,56,1449,3.836735
25,1120,950,170,15,187,2900,1.178947
26,1135,220,915,15,41,1215,5.159091
27,1127,1017,110,17,200,2886,1.108161
28,1143,173,970,23,30,1076,6.606936
29,1127,481,646,16,93,1841,2.343035
30,1131,526,605,16,102,1611,2.150190
31,1144,1018,126,18,200,2804,1.123772
32,1110,1010,100,10,200,2972,1.099010
33,1128,779,349,14,153,2351,1.448010
34,1123,598,525,13,117,3685,1.877926
35,1125,503,622,13,98,1816,2.236581
36,1140,264,876,14,50,1330,4.318182
37,1140,1017,123,17,200,2927,1.120944
38,1153,167,986,22,29,1087,6.904192
39,1126,526,600,16,102,1815,2.140684
40,1131,486,645,16,94,1748,2.327160
41,1142,1018,124,18,200,2533,1.121807
42,1118,1011,107,11,200,2259,1.105836
43,1131,1013,118,13,200,3073,1.116486
44,1129,543,586,13,106,2091,2.079190
45,1130,1016,114,16,200,2697,1.112205
46,1135,455,680,15,88,1437,2.494505
47,1148,1017,131,17,200,2479,1.128810
48,1154,653,501,23,126,2356,1.767228
49,1127,419,708,14,81,1911,2.689737
50,1131,521,610,16,101,1685,2.170825
51,1135,952,183,17,187,3342,1.192227
52,1111,1010,101,10,200,3379,1.100000
53,1130,1015,115,15,200,2581,1.113300
54,1128,254,874,14,48,1671,4.440945
55,1120,1015,105,15,200,3085,1.103448
56,1135,235,900,15,44,1799,4.829787
57,1127,1017,110,17,200,3102,1.108161
58,1143,173,970,23,30,1125,6.606936
59,1127,486,641,16,94,2149,2.318930
60,1131,476,655,16,92,1833,2.376050
61,1144,1018,126,18,200,2925,1.123772
62,1110,1010,100,10,200,2382,1.099010
63,1128,724,404,14,142,2099,1.558011
64,1123,563,560,13,110,2076,1.994671
65,1125,653,472,13,128,2084,1.722818
66,1140,304,836,14,58,1906,3.750000
67,1140,1017,123,17,200,3114,1.120944
68,1153,157,996,22,27,1266,7.343949
69,1126,516,610,16,100,2095,2.182171
70,1131,481,650,16,93,1759,2.351351
71,1142,1018,124,18,200,3472,1.121807
72,1118,1011,107,11,200,2976,1.105836
73,1131,1013,118,13,200,2773,1.116486
74,1129,658,471,13,129,2255,1.715805
75,1130,1016,114,16,200,2941,1.112205
76,1135,455,680,15,88,1948,2.494505
77,1148,1017,131,17,200,2625,1.128810
78,1154,963,191,23,188,3388,1.198339
79,1127,604,523,14,118,2257,1.865894
80,1131,501,630,16,97,1675,2.257485
81,1135,932,203,17,183,2579,1.217811
82,1111,1010,101,10,200,2630,1.100000
83,1130,1015,115,15,200,3127,1.113300
84,1128,304,824,14,58,1502,3.710526
85,1120,1015,105,15,200,3278,1.103448
86,1135,250,885,15,47,1721,4.540000
87,1127,1017,110,17,200,3033,1.108161
88,1143,173,970,23,30,1111,6.606936
