idx,reservation_nc,actual_nc,refund_nc,input_tokens,output_tokens,latency_ms,margin_ratio,output_capped
0,1130000,431000,699000,16,83,1883,2.621810,false
1,1144000,758000,386000,18,148,2575,1.509235,false
2,1110000,1010000,100000,10,200,2743,1.099010,true
3,1128000,884000,244000,14,174,2520,1.276018,false
4,1123000,578000,545000,13,113,1793,1.942907,false
5,1125000,673000,452000,13,132,2160,1.671620,false
6,1140000,294000,846000,14,56,1842,3.877551,false
7,1140000,1017000,123000,17,200,3072,1.120944,true
8,1153000,167000,986000,22,29,1098,6.904192,false
9,1126000,426000,700000,16,82,1785,2.643192,false
10,1131000,506000,625000,16,98,1602,2.235178,false
11,1142000,1018000,124000,18,200,2269,1.121807,true
12,1118000,1011000,107000,11,200,2332,1.105836,true
13,1131000,868000,263000,13,171,2794,1.302995,false
14,1129000,743000,386000,13,146,2475,1.519515,false
15,1130000,1016000,114000,16,200,2523,1.112205,true
16,1135000,435000,700000,15,84,2094,2.609195,false
17,1148000,1017000,131000,17,200,3210,1.128810,true
18,1154000,403000,751000,23,76,1521,2.863524,false
19,1127000,469000,658000,14,91,1905,2.402985,false
20,1131000,536000,595000,16,104,1602,2.110075,false
21,1135000,942000,193000,17,185,2860,1.204883,false
22,1111000,1010000,101000,10,200,3294,1.100000,true
23,1130000,1015000,115000,15,200,2867,1.113300,true
24,1128000,249000,879000,14,47,1280,4.530120,false
25,1120000,1015000,105000,15,200,2692,1.103448,true
26,1135000,230000,905000,15,43,1382,4.934783,false
27,1127000,1017000,110000,17,200,2806,1.108161,true
28,1143000,173000,970000,23,30,985,6.606936,false
29,1127000,466000,661000,16,90,1906,2.418455,false
30,1131000,466000,665000,16,90,1647,2.427039,false
31,1144000,738000,406000,18,144,4181,1.550136,false
32,1110000,1010000,100000,10,200,2770,1.099010,true
33,1128000,694000,434000,14,136,2257,1.625360,false
34,1123000,653000,470000,13,128,2048,1.719755,false
35,1125000,598000,527000,13,117,2264,1.881271,false
36,1140000,364000,776000,14,70,1773,3.131868,false
37,1140000,947000,193000,17,186,3335,1.203801,false
38,1153000,167000,986000,22,29,1465,6.904192,false
39,1126000,421000,705000,16,81,1859,2.674584,false
40,1131000,401000,730000,16,77,1807,2.820449,false
41,1142000,1018000,124000,18,200,2644,1.121807,true
42,1118000,1011000,107000,11,200,2332,1.105836,true
