idx,reservation_nc,actual_nc,refund_nc,input_tokens,output_tokens,latency_ms,margin_ratio,output_capped
0,1153,74,1079,34,40,3002,15.581081,false
1,1167,139,1028,35,104,7190,8.395683,false
2,1133,435,698,28,407,28081,2.604598,false
3,1151,188,963,31,157,10787,6.122340,false
4,1146,326,820,31,295,19889,3.515337,false
5,1148,243,905,31,212,14146,4.724280,false
6,1163,107,1056,32,75,5025,10.869159,false
7,1163,243,920,34,209,13830,4.786008,false
8,1176,68,1108,40,28,2354,17.294118,false
9,1149,90,1059,33,57,4159,12.766667,false
10,1154,70,1084,34,36,2666,16.485714,false
11,1165,225,940,35,190,13422,5.177778,false
12,1141,284,857,29,255,17869,4.017606,false
13,1154,152,1002,31,121,8350,7.592105,false
14,1152,249,903,31,218,15005,4.626506,false
15,1153,285,868,34,251,17342,4.045614,false
16,1158,124,1034,33,91,6306,9.338710,false
17,1171,233,938,35,198,13684,5.025751,false
18,1177,55,1122,41,14,1229,21.400000,false
19,1150,102,1048,32,70,4832,11.274510,false
20,1154,77,1077,34,43,3066,14.987013,false
21,1158,168,990,34,134,9231,6.892857,false
22,1134,239,895,28,211,14413,4.744770,false
23,1153,212,941,32,180,12375,5.438679,false
24,1151,203,948,32,171,11744,5.669951,false
25,1143,251,892,33,218,14837,4.553785,false
26,1158,59,1099,33,26,1893,19.627119,false
27,1150,288,862,34,254,17393,3.993056,false
28,1166,409,757,40,369,25796,2.850856,false
29,1150,108,1042,33,75,5260,10.648148,false
30,1154,90,1064,34,56,3980,12.822222,false
31,1167,168,999,35,133,9215,6.946429,false
32,1133,376,757,28,348,24064,3.013298,false
33,1151,189,962,31,158,10931,6.089947,false
34,1146,222,924,31,191,13543,5.162162,false
35,1148,252,896,31,221,15461,4.555556,false
36,1163,103,1060,32,71,5331,11.291262,false
37,1163,255,908,34,221,15830,4.560784,false
38,1176,97,1079,40,57,4174,12.123711,false
39,1149,128,1021,33,95,6978,8.976562,false
40,1154,115,1039,34,81,6181,10.034783,false
41,1165,355,810,35,320,23263,3.281690,false
42,1141,331,810,29,302,21658,3.447130,false
43,1154,134,1020,31,103,7175,8.611940,false
44,1152,238,914,31,207,14863,4.840336,false
45,1153,539,614,34,505,35568,2.139147,false
46,1158,107,1051,33,74,5274,10.822430,false
47,1171,249,922,35,214,15540,4.702811,false
48,1177,119,1058,41,78,5930,9.890756,false
49,1150,99,1051,32,67,4828,11.616162,false
50,1154,134,1020,34,100,6923,8.611940,false
51,1158,153,1005,34,119,8236,7.568627,false
52,1134,220,914,28,192,12999,5.154545,false
53,1153,249,904,32,217,15050,4.630522,false
54,1151,126,1025,32,94,6687,9.134921,false
55,1143,246,897,33,213,14923,4.646341,false
56,1158,101,1057,33,68,4809,11.465347,false
57,1150,274,876,34,240,16270,4.197080,false
58,1166,208,958,40,168,12521,5.605769,false
59,1150,87,1063,33,54,4296,13.218391,false
60,1154,66,1088,34,32,2449,17.484848,false
61,1167,151,1016,35,116,8563,7.728477,false
62,1133,390,743,28,362,25646,2.905128,false
63,1151,128,1023,31,97,6763,8.992188,false
64,1146,247,899,31,216,14967,4.639676,false
65,1148,202,946,31,171,11849,5.683168,false
66,1163,37,1126,32,5,513,31.432432,false
67,1163,476,687,34,442,31444,2.443277,false
68,1176,71,1105,40,31,2440,16.563380,false
69,1149,124,1025,33,91,6415,9.266129,false
70,1154,72,1082,34,38,2997,16.027778,false
71,1165,216,949,35,181,12920,5.393519,false
72,1141,299,842,29,270,19572,3.816054,false
73,1154,190,964,31,159,11424,6.073684,false
74,1152,325,827,31,294,20785,3.544615,false
75,1153,158,995,34,124,8707,7.297468,false
76,1158,100,1058,33,67,4763,11.580000,false
77,1171,322,849,35,287,20210,3.636646,false
78,1177,58,1119,41,17,1439,20.293103,false
79,1150,124,1026,32,92,6374,9.274194,false
80,1154,78,1076,34,44,3051,14.794872,false
81,1158,222,936,34,188,12681,5.216216,false
