idx,reservation_nc,actual_nc,refund_nc,input_tokens,output_tokens,latency_ms,margin_ratio,output_capped
0,631950,20400,611550,16,30,3094,30.977941,false
1,634050,60750,573300,17,97,3778,10.437037,false
2,628950,134100,494850,10,221,3560,4.690157,false
3,631650,115950,515700,13,190,3078,5.447607,false
4,630900,75750,555150,13,123,3623,8.328713,false
5,631200,57150,574050,13,92,3584,11.044619,false
6,633450,31500,601950,14,49,1477,20.109524,false
7,633450,132600,500850,16,217,3514,4.777149,false
8,635400,10500,624900,22,12,890,60.514286,false
9,631350,38700,592650,14,61,1692,16.313953,false
10,632100,43800,588300,16,69,2034,14.431507,false
11,633750,86550,547200,17,140,3644,7.322357,false
12,630150,124650,505500,11,205,4741,5.055355,false
13,632100,107550,524550,13,176,3839,5.877266,false
14,631800,57750,574050,13,93,2555,10.940260,false
15,631950,274200,357750,16,453,10348,2.304705,false
16,632700,31050,601650,15,48,2036,20.376812,false
17,634650,225600,409050,16,372,8739,2.813165,false
18,635550,14700,620850,22,19,1156,43.234694,false
19,631500,38550,592950,13,61,2187,16.381323,false
20,632100,37800,594300,16,59,1607,16.722222,false
21,632700,62400,570300,16,100,3107,10.139423,false
22,629100,167100,462000,10,276,6472,3.764811,false
23,631950,164250,467700,15,270,7510,3.847489,false
24,631650,27900,603750,14,43,1947,22.639785,false
25,630450,135900,494550,14,223,3441,4.639073,false
26,632700,26100,606600,14,40,2894,24.241379,false
27,631500,238800,392700,16,394,5550,2.644472,false
28,633900,30900,603000,22,46,1552,20.514563,false
29,631500,56100,575400,14,90,1868,11.256684,false
30,632100,41400,590700,16,65,1838,15.268116,false
31,634050,63150,570900,17,101,2294,10.040380,false
32,628950,180300,448650,10,298,3632,3.488353,false
33,631650,112350,519300,13,184,2808,5.622163,false
34,630900,64950,565950,13,105,3482,9.713626,false
35,631200,61350,569850,13,99,3480,10.288509,false
36,633450,35100,598350,14,55,1231,18.047009,false
37,633450,136200,497250,16,223,3852,4.650881,false
38,635400,36300,599100,22,55,1285,17.504132,false
39,631350,35700,595650,14,56,1806,17.684874,false
40,632100,42600,589500,16,67,1426,14.838028,false
41,633750,102150,531600,17,166,3937,6.204112,false
42,630150,124050,506100,11,204,3861,5.079807,false
43,632100,118350,513750,13,194,3691,5.340938,false
44,631800,70950,560850,13,115,3746,8.904863,false
45,631950,247200,384750,16,408,8988,2.556432,false
