prompt_idx,prompt_byte_len,reservation_uc,actual_uc,refund_uc,input_tokens,output_tokens,budget_before,budget_after
0,126,1126,64,1062,14,10,1000000,999936
1,132,1132,631,501,16,123,999936,999305
2,122,1122,262,860,12,50,999305,999043
3,116,1116,86,1030,16,14,999043,998957
4,142,1142,398,744,18,76,998957,998559
5,129,1129,446,683,16,86,998559,998113
6,148,1148,428,720,18,82,998113,997685
7,140,1140,57,1083,17,8,997685,997628
8,131,1131,215,916,15,40,997628,997413
9,135,1135,1017,118,17,200,997413,996396
