runtime,run_id,provider,workload,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,wall_seconds
langgraph_with_guard,1,openai,lang001,runtime_guard_fired_after_call,3,1500,1668,111.2,168,0,698,5.088
langgraph_with_guard,2,openai,lang001,runtime_guard_fired_after_call,3,1500,1670,111.33,170,0,690,4.02
langgraph_with_guard,3,openai,lang001,runtime_guard_fired_after_call,3,1500,1668,111.2,168,0,698,25.226
langgraph_with_guard,4,openai,lang001,runtime_guard_fired_after_call,3,1500,1690,112.67,190,0,710,7.209
langgraph_with_guard,5,openai,lang001,runtime_guard_fired_after_call,3,1500,1668,111.2,168,0,698,7.418
langgraph_with_guard,6,openai,lang001,runtime_guard_fired_after_call,3,1500,1690,112.67,190,0,710,18.181
langgraph_with_guard,7,openai,lang001,runtime_guard_fired_after_call,3,1500,1692,112.8,192,0,702,4.427
langgraph_with_guard,8,openai,lang001,runtime_guard_fired_after_call,3,1500,1690,112.67,190,0,710,4.348
langgraph_with_guard,9,openai,lang001,runtime_guard_fired_after_call,3,1500,1668,111.2,168,0,698,3.64
langgraph_with_guard,10,openai,lang001,runtime_guard_fired_after_call,3,1500,1668,111.2,168,0,698,3.481
langgraph_with_guard,11,openai,lang001,runtime_guard_fired_after_call,3,1500,1690,112.67,190,0,710,3.891
langgraph_with_guard,12,openai,lang001,runtime_guard_fired_after_call,3,1500,1668,111.2,168,0,698,4.095
langgraph_with_guard,13,openai,lang001,runtime_guard_fired_after_call,3,1500,1668,111.2,168,0,698,3.731
langgraph_with_guard,14,openai,lang001,runtime_guard_fired_after_call,3,1500,1668,111.2,168,0,698,7.123
langgraph_with_guard,15,openai,lang001,runtime_guard_fired_after_call,3,1500,1690,112.67,190,0,710,3.603
langgraph_with_guard,16,openai,lang001,runtime_guard_fired_after_call,3,1500,1668,111.2,168,0,698,5.097
langgraph_with_guard,17,openai,lang001,runtime_guard_fired_after_call,3,1500,1668,111.2,168,0,698,3.792
langgraph_with_guard,18,openai,lang001,runtime_guard_fired_after_call,3,1500,1668,111.2,168,0,698,3.955
langgraph_with_guard,19,openai,lang001,runtime_guard_fired_after_call,3,1500,1668,111.2,168,0,698,6.993
langgraph_with_guard,20,openai,lang001,runtime_guard_fired_after_call,3,1500,1668,111.2,168,0,698,7.17
langgraph_with_guard,21,openai,lang001,runtime_guard_fired_after_call,3,1500,1668,111.2,168,0,698,6.495
langgraph_with_guard,22,openai,lang001,runtime_guard_fired_after_call,3,1500,1690,112.67,190,0,710,12.974
langgraph_with_guard,23,openai,lang001,runtime_guard_fired_after_call,3,1500,1668,111.2,168,0,698,5.159
langgraph_with_guard,24,openai,lang001,runtime_guard_fired_after_call,3,1500,1670,111.33,170,0,690,3.741
langgraph_with_guard,25,openai,lang001,runtime_guard_fired_after_call,3,1500,1668,111.2,168,0,698,3.259
langgraph_with_guard,26,openai,lang001,runtime_guard_fired_after_call,3,1500,1668,111.2,168,0,698,5.755
langgraph_with_guard,27,openai,lang001,runtime_guard_fired_after_call,3,1500,1668,111.2,168,0,698,3.477
langgraph_with_guard,28,openai,lang001,runtime_guard_fired_after_call,3,1500,1668,111.2,168,0,698,4.299
langgraph_with_guard,29,openai,lang001,runtime_guard_fired_after_call,3,1500,1668,111.2,168,0,698,4.508
langgraph_with_guard,30,openai,lang001,runtime_guard_fired_after_call,3,1500,1668,111.2,168,0,698,4.949
