runtime,outcome,agent_steps,cap_uc,total_spent_uc,pct_of_cap,overshoot_uc,structural_undershoot_uc,wasted_call_cost_uc,provider,model,workload,trial
token_capabilities,completed_no_cap_hit,10,1500,4441,296.07,2941,0,0,openai,gpt-4o,lang001,0
token_capabilities,completed_no_cap_hit,10,1500,3544,236.27,2044,0,0,openai,gpt-4o,lang001,1
token_capabilities,completed_no_cap_hit,10,1500,4384,292.27,2884,0,0,openai,gpt-4o,lang001,2
token_capabilities,completed_no_cap_hit,10,1500,3537,235.8,2037,0,0,openai,gpt-4o,lang001,3
token_capabilities,completed_no_cap_hit,10,1500,2770,184.67,1270,0,0,openai,gpt-4o,lang001,4
token_capabilities,completed_no_cap_hit,10,1500,3347,223.13,1847,0,0,openai,gpt-4o,lang001,5
token_capabilities,completed_no_cap_hit,10,1500,4378,291.87,2878,0,0,openai,gpt-4o,lang001,6
token_capabilities,completed_no_cap_hit,10,1500,3819,254.6,2319,0,0,openai,gpt-4o,lang001,7
token_capabilities,completed_no_cap_hit,10,1500,3717,247.8,2217,0,0,openai,gpt-4o,lang001,8
token_capabilities,completed_no_cap_hit,10,1500,3796,253.07,2296,0,0,openai,gpt-4o,lang001,9
token_capabilities,completed_no_cap_hit,10,1500,2974,198.27,1474,0,0,openai,gpt-4o,lang001,10
token_capabilities,completed_no_cap_hit,10,1500,3775,251.67,2275,0,0,openai,gpt-4o,lang001,11
token_capabilities,completed_no_cap_hit,10,1500,3650,243.33,2150,0,0,openai,gpt-4o,lang001,12
token_capabilities,completed_no_cap_hit,10,1500,4042,269.47,2542,0,0,openai,gpt-4o,lang001,13
token_capabilities,completed_no_cap_hit,10,1500,3728,248.53,2228,0,0,openai,gpt-4o,lang001,14
token_capabilities,completed_no_cap_hit,10,1500,2483,165.53,983,0,0,openai,gpt-4o,lang001,15
token_capabilities,completed_no_cap_hit,10,1500,3296,219.73,1796,0,0,openai,gpt-4o,lang001,16
token_capabilities,completed_no_cap_hit,10,1500,3637,242.47,2137,0,0,openai,gpt-4o,lang001,17
token_capabilities,completed_no_cap_hit,10,1500,3489,232.6,1989,0,0,openai,gpt-4o,lang001,18
token_capabilities,completed_no_cap_hit,10,1500,3243,216.2,1743,0,0,openai,gpt-4o,lang001,19
token_capabilities,completed_no_cap_hit,10,1500,3330,222.0,1830,0,0,openai,gpt-4o,lang001,20
token_capabilities,completed_no_cap_hit,10,1500,3729,248.6,2229,0,0,openai,gpt-4o,lang001,21
token_capabilities,completed_no_cap_hit,10,1500,4405,293.67,2905,0,0,openai,gpt-4o,lang001,22
token_capabilities,completed_no_cap_hit,10,1500,4030,268.67,2530,0,0,openai,gpt-4o,lang001,23
token_capabilities,completed_no_cap_hit,10,1500,3774,251.6,2274,0,0,openai,gpt-4o,lang001,24
token_capabilities,completed_no_cap_hit,10,1500,3030,202.0,1530,0,0,openai,gpt-4o,lang001,25
token_capabilities,completed_no_cap_hit,10,1500,2897,193.13,1397,0,0,openai,gpt-4o,lang001,26
token_capabilities,completed_no_cap_hit,10,1500,3728,248.53,2228,0,0,openai,gpt-4o,lang001,27
token_capabilities,completed_no_cap_hit,10,1500,3822,254.8,2322,0,0,openai,gpt-4o,lang001,28
token_capabilities,completed_no_cap_hit,10,1500,3915,261.0,2415,0,0,openai,gpt-4o,lang001,29
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,331,22.07,0,0,0,openai,gpt-4o,lang001,0
token_capabilities_bytelen,compile_time_reservation_refused,3,1500,685,45.67,0,0,0,openai,gpt-4o,lang001,1
token_capabilities_bytelen,compile_time_reservation_refused,4,1500,503,33.53,0,0,0,openai,gpt-4o,lang001,2
token_capabilities_bytelen,compile_time_reservation_refused,4,1500,466,31.07,0,0,0,openai,gpt-4o,lang001,3
